PRESSURE,CONJPOS,CONKPOS,CONIDX,DRAWDOWN,DATE,DEPTH,SGAS,WELLMODEL,CONIPOS,CONBPRES,WELL,SWAT
300.5992126464844,30,1,1,0,2018-01-01,1641.1280517578125,0.0,STANDARD,22,300.5992126464844,R_A2,0.05897486209869385
300.72381591796875,30,2,2,0,2018-01-01,1642.9866943359375,0.0,STANDARD,22,300.72381591796875,R_A2,0.06191766634583473
300.84844970703125,30,3,3,0,2018-01-01,1644.8453369140625,0.0,STANDARD,22,300.84844970703125,R_A2,0.06430970132350922
300.97308349609375,30,4,4,0,2018-01-01,1646.7039794921875,0.0,STANDARD,22,300.97308349609375,R_A2,0.07033557444810867
301.09771728515625,30,5,5,0,2018-01-01,1648.5626220703125,0.0,STANDARD,22,301.09771728515625,R_A2,0.07296274602413177
301.2223815917969,30,6,6,0,2018-01-01,1650.4212646484375,0.0,STANDARD,22,301.2223815917969,R_A2,0.3137700855731964
301.3470153808594,30,7,7,0,2018-01-01,1652.280029296875,0.0,STANDARD,22,301.3470153808594,R_A2,0.9207537174224854
301.4716796875,30,8,8,0,2018-01-01,1654.138671875,0.0,STANDARD,22,301.4716796875,R_A2,0.8994184732437134
301.5963134765625,30,9,9,0,2018-01-01,1655.997314453125,0.0,STANDARD,22,301.5963134765625,R_A2,0.9175914525985718
301.7209777832031,30,10,10,0,2018-01-01,1657.85595703125,0.0,STANDARD,22,301.7209777832031,R_A2,0.9214832782745361
301.85223388671875,30,11,11,0,2018-01-01,1659.812744140625,0.0,STANDARD,22,301.85223388671875,R_A2,0.08656856417655945
301.99005126953125,30,12,12,0,2018-01-01,1661.86767578125,0.0,STANDARD,22,301.99005126953125,R_A2,0.09453848749399185
302.1278991699219,30,13,13,0,2018-01-01,1663.9224853515625,0.0,STANDARD,22,302.1278991699219,R_A2,0.4771818518638611
302.2657165527344,30,14,14,0,2018-01-01,1665.9774169921875,0.0,STANDARD,22,302.2657165527344,R_A2,0.5534606575965881
302.403564453125,30,15,15,0,2018-01-01,1668.0322265625,0.0,STANDARD,22,302.403564453125,R_A2,0.7472184896469116
302.3705139160156,29,15,16,0,2018-01-01,1667.53955078125,0.0,STANDARD,22,302.3705139160156,R_A2,0.9785411357879639
302.51275634765625,29,16,17,0,2018-01-01,1669.659912109375,0.0,STANDARD,22,302.51275634765625,R_A2,0.9997672438621521
302.6549987792969,29,17,18,0,2018-01-01,1671.7802734375,0.0,STANDARD,22,302.6549987792969,R_A2,0.9792547821998596
302.78240966796875,29,18,19,0,2018-01-01,1673.6793212890625,0.0,STANDARD,22,302.78240966796875,R_A2,0.9998083114624023
302.9410095214844,29,28,20,0,2018-01-01,1675.49658203125,0.0,STANDARD,22,302.9410095214844,R_A2,1.0
303.4149475097656,29,29,21,0,2018-01-01,1677.2711181640625,0.0,STANDARD,22,303.4149475097656,R_A2,1.0
303.5830993652344,29,30,22,0,2018-01-01,1679.0455322265625,0.0,STANDARD,22,303.5830993652344,R_A2,1.0
303.7512512207031,29,31,23,0,2018-01-01,1680.820068359375,0.0,STANDARD,22,303.7512512207031,R_A2,1.0
303.9194030761719,29,32,24,0,2018-01-01,1682.594482421875,0.0,STANDARD,22,303.9194030761719,R_A2,1.0
298.5972900390625,41,1,1,0,2018-01-01,1611.263916015625,0.0,STANDARD,28,298.5972900390625,R_A3,0.2925010323524475
298.73687744140625,41,2,2,0,2018-01-01,1613.3470458984375,0.0,STANDARD,28,298.73687744140625,R_A3,0.20097623765468597
298.8764953613281,41,3,3,0,2018-01-01,1615.4300537109375,0.0,STANDARD,28,298.8764953613281,R_A3,0.19712872803211212
298.03289794921875,41,3,4,0,2018-01-01,1602.841796875,0.0,STANDARD,29,298.03289794921875,R_A3,0.18867173790931702
298.1705017089844,41,4,5,0,2018-01-01,1604.895263671875,0.0,STANDARD,29,298.1705017089844,R_A3,0.36802029609680176
298.30810546875,41,5,6,0,2018-01-01,1606.94873046875,0.0,STANDARD,29,298.30810546875,R_A3,0.812699019908905
298.4457092285156,41,6,7,0,2018-01-01,1609.002197265625,0.0,STANDARD,29,298.4457092285156,R_A3,0.2829253375530243
