SGAS,DATE,CONIPOS,CONKPOS,CONJPOS,WELLMODEL,CONIDX,DRAWDOWN,WELL,PRESSURE,DEPTH,CONBPRES,SWAT
0.0,2018-01-01,22,1,30,STANDARD,1,0,R_A2,300.4918518066406,1639.9559326171875,300.4918518066406,0.05800076574087143
0.0,2018-01-01,22,2,30,STANDARD,2,0,R_A2,300.6116027832031,1641.741943359375,300.6116027832031,0.06104608625173569
0.0,2018-01-01,22,3,30,STANDARD,3,0,R_A2,300.7313537597656,1643.5279541015625,300.7313537597656,0.27272263169288635
0.0,2018-01-01,22,4,30,STANDARD,4,0,R_A2,300.8511047363281,1645.3138427734375,300.8511047363281,0.07080604881048203
0.0,2018-01-01,22,5,30,STANDARD,5,0,R_A2,300.9708557128906,1647.099853515625,300.9708557128906,0.07509710639715195
0.0,2018-01-01,22,6,30,STANDARD,6,0,R_A2,301.09063720703125,1648.8858642578125,301.09063720703125,0.1825069785118103
0.0,2018-01-01,22,7,30,STANDARD,7,0,R_A2,301.2104187011719,1650.671875,301.2104187011719,0.6871800422668457
0.0,2018-01-01,22,8,30,STANDARD,8,0,R_A2,301.3301696777344,1652.457763671875,301.3301696777344,0.9054129123687744
0.0,2018-01-01,22,9,30,STANDARD,9,0,R_A2,301.449951171875,1654.2437744140625,301.449951171875,0.9170402884483337
0.0,2018-01-01,22,10,30,STANDARD,10,0,R_A2,301.5697326660156,1656.02978515625,301.5697326660156,0.928753674030304
0.0,2018-01-01,22,11,30,STANDARD,11,0,R_A2,301.6951904296875,1657.900146484375,301.6951904296875,0.08186434954404831
0.0,2018-01-01,22,12,30,STANDARD,12,0,R_A2,301.8262939453125,1659.85498046875,301.8262939453125,0.08851619064807892
0.0,2018-01-01,22,13,30,STANDARD,13,0,R_A2,301.9573974609375,1661.809814453125,301.9573974609375,0.4737136960029602
0.0,2018-01-01,22,14,30,STANDARD,14,0,R_A2,302.0885314941406,1663.7646484375,302.0885314941406,0.548888623714447
0.0,2018-01-01,22,15,30,STANDARD,15,0,R_A2,302.21966552734375,1665.719482421875,302.21966552734375,0.7338488101959229
0.0,2018-01-01,22,16,30,STANDARD,16,0,R_A2,302.35076904296875,1667.67431640625,302.35076904296875,0.9819360971450806
0.0,2018-01-01,22,17,30,STANDARD,17,0,R_A2,302.4819030761719,1669.629150390625,302.4819030761719,0.9700044989585876
0.0,2018-01-01,22,17,29,STANDARD,18,0,R_A2,302.4551696777344,1669.2305908203125,302.4551696777344,0.9731789827346802
0.0,2018-01-01,22,18,29,STANDARD,19,0,R_A2,302.5915832519531,1671.26416015625,302.5915832519531,0.9935714602470398
0.0,2018-01-01,22,25,29,STANDARD,20,0,R_A2,303.0461120605469,1673.3787841796875,303.0461120605469,1.0
0.0,2018-01-01,22,26,29,STANDARD,21,0,R_A2,302.9146423339844,1675.21826171875,302.9146423339844,1.0
0.0,2018-01-01,22,27,29,STANDARD,22,0,R_A2,303.39471435546875,1677.0576171875,303.39471435546875,1.0
0.0,2018-01-01,22,28,29,STANDARD,23,0,R_A2,303.56903076171875,1678.89697265625,303.56903076171875,1.0
0.0,2018-01-01,22,29,29,STANDARD,24,0,R_A2,303.74334716796875,1680.7364501953125,303.74334716796875,1.0
0.0,2018-01-01,28,1,41,STANDARD,1,0,R_A3,298.3775634765625,1608.4141845703125,298.3775634765625,0.6481541991233826
0.0,2018-01-01,28,2,41,STANDARD,2,0,R_A3,298.51416015625,1610.4525146484375,298.51416015625,0.19740842282772064
0.0,2018-01-01,28,3,41,STANDARD,3,0,R_A3,298.6507568359375,1612.4908447265625,298.6507568359375,0.1984562873840332
0.0,2018-01-01,29,3,41,STANDARD,4,0,R_A3,298.1563720703125,1605.1134033203125,298.1563720703125,0.18741723895072937
0.0,2018-01-01,29,4,41,STANDARD,5,0,R_A3,298.2970275878906,1607.212646484375,298.2970275878906,0.37603169679641724
0.0,2018-01-01,29,5,41,STANDARD,6,0,R_A3,298.4377136230469,1609.311767578125,298.4377136230469,0.8191869258880615
0.0,2018-01-01,29,6,41,STANDARD,7,0,R_A3,298.5783996582031,1611.4111328125,298.5783996582031,0.6481541991233826
0.0,2018-01-01,29,7,41,STANDARD,8,0,R_A3,298.7190856933594,1613.5103759765625,298.7190856933594,0.2974958121776581
0.0,2018-01-01,29,8,41,STANDARD,9,0,R_A3,298.8597717285156,1615.6094970703125,298.8597717285156,0.20492008328437805
0.0,2018-01-01,29,9,41,STANDARD,10,0,R_A3,299.0004577636719,1617.708740234375,299.0004577636719,0.8092517256736755
0.0,2018-01-01,29,10,41,STANDARD,11,0,R_A3,299.14117431640625,1619.8079833984375,299.14117431640625,0.8132388591766357
0.0,2018-01-01,29,11,41,STANDARD,12,0,R_A3,299.286376953125,1621.9744873046875,299.286376953125,0.04828493669629097
0.0,2018-01-01,29,12,41,STANDARD,13,0,R_A3,299.43609619140625,1624.2080078125,299.43609619140625,0.0560348741710186
0.0,2018-01-01,29,13,41,STANDARD,14,0,R_A3,299.5858459472656,1626.4417724609375,299.5858459472656,0.37604647874832153
0.0,2018-01-01,29,14,41,STANDARD,15,0,R_A3,299.7355651855469,1628.6754150390625,299.7355651855469,0.256203293800354
0.0,2018-01-01,29,15,41,STANDARD,16,0,R_A3,299.88531494140625,1630.9090576171875,299.88531494140625,0.5129584074020386
0.0,2018-01-01,29,16,41,STANDARD,17,0,R_A3,300.0184631347656,1632.89501953125,300.0184631347656,0.8248212933540344
0.0,2018-01-01,29,25,41,STANDARD,18,0,R_A3,300.19580078125,1635.5404052734375,300.19580078125,0.6481541991233826
0.0,2018-01-01,29,26,41,STANDARD,19,0,R_A3,300.4339599609375,1639.0927734375,300.4339599609375,0.04799044877290726
