SWAT,CONIDX,PRESSURE,DEPTH,SGAS,CONJPOS,CONIPOS,CONKPOS,WELLMODEL,DRAWDOWN,DATE,WELL,CONBPRES
0.053323421627283096,1,300.6789245605469,1639.615966796875,0.0,30,22,1,STANDARD,0,2018-01-01,R_A2,300.6789245605469
0.05452437698841095,2,300.7982177734375,1641.3953857421875,0.0,30,22,2,STANDARD,0,2018-01-01,R_A2,300.7982177734375
0.058115649968385696,3,300.91754150390625,1643.1748046875,0.0,30,22,3,STANDARD,0,2018-01-01,R_A2,300.91754150390625
0.06390483677387238,4,301.0368957519531,1644.954345703125,0.0,30,22,4,STANDARD,0,2018-01-01,R_A2,301.0368957519531
0.06555115431547165,5,301.1562194824219,1646.7337646484375,0.0,30,22,5,STANDARD,0,2018-01-01,R_A2,301.1562194824219
0.30642440915107727,6,301.2755432128906,1648.51318359375,0.0,30,22,6,STANDARD,0,2018-01-01,R_A2,301.2755432128906
0.7240592241287231,7,301.3948669433594,1650.2926025390625,0.0,30,22,7,STANDARD,0,2018-01-01,R_A2,301.3948669433594
0.6481541991233826,8,301.51422119140625,1652.0721435546875,0.0,30,22,8,STANDARD,0,2018-01-01,R_A2,301.51422119140625
0.6481541991233826,9,301.6335754394531,1653.8515625,0.0,30,22,9,STANDARD,0,2018-01-01,R_A2,301.6335754394531
0.6481541991233826,10,301.7528991699219,1655.631103515625,0.0,30,22,10,STANDARD,0,2018-01-01,R_A2,301.7528991699219
0.068470299243927,11,301.8813171386719,1657.545654296875,0.0,30,22,11,STANDARD,0,2018-01-01,R_A2,301.8813171386719
0.07277707010507584,12,302.018798828125,1659.59521484375,0.0,30,22,12,STANDARD,0,2018-01-01,R_A2,302.018798828125
0.4377005100250244,13,302.1562805175781,1661.6448974609375,0.0,30,22,13,STANDARD,0,2018-01-01,R_A2,302.1562805175781
0.4717782735824585,14,302.29376220703125,1663.6944580078125,0.0,30,22,14,STANDARD,0,2018-01-01,R_A2,302.29376220703125
0.898632287979126,15,302.4312438964844,1665.744140625,0.0,30,22,15,STANDARD,0,2018-01-01,R_A2,302.4312438964844
0.9088073968887329,16,302.5687561035156,1667.793701171875,0.0,30,22,16,STANDARD,0,2018-01-01,R_A2,302.5687561035156
0.8847744464874268,17,302.70623779296875,1669.84326171875,0.0,30,22,17,STANDARD,0,2018-01-01,R_A2,302.70623779296875
0.9371030330657959,18,303.00360107421875,1674.2755126953125,0.0,29,22,17,STANDARD,0,2018-01-01,R_A2,303.00360107421875
0.9820181727409363,19,303.1222229003906,1676.043701171875,0.0,29,22,18,STANDARD,0,2018-01-01,R_A2,303.1222229003906
0.5869755744934082,20,303.2310485839844,1677.665771484375,0.0,29,22,26,STANDARD,0,2018-01-01,R_A2,303.2310485839844
1.0,21,303.3477478027344,1679.4049072265625,0.0,29,22,27,STANDARD,0,2018-01-01,R_A2,303.3477478027344
1.0,22,303.7819519042969,1681.14404296875,0.0,29,22,28,STANDARD,0,2018-01-01,R_A2,303.7819519042969
1.0,23,303.94677734375,1682.8831787109375,0.0,29,22,29,STANDARD,0,2018-01-01,R_A2,303.94677734375
1.0,24,304.111572265625,1684.622314453125,0.0,29,22,30,STANDARD,0,2018-01-01,R_A2,304.111572265625
