PRESSURE,CONKPOS,SWAT,SGAS,CONIDX,DEPTH,CONJPOS,WELL,DATE,CONBPRES,CONIPOS,WELLMODEL,DRAWDOWN
300.6733093261719,1,0.10821601003408432,0.0,1,1641.094970703125,30,R_A2,2018-01-01,300.6733093261719,22,STANDARD,0
300.7936096191406,2,0.11058630049228668,0.0,2,1642.8890380859375,30,R_A2,2018-01-01,300.7936096191406,22,STANDARD,0
300.9139099121094,3,0.07774579524993896,0.0,3,1644.68310546875,30,R_A2,2018-01-01,300.9139099121094,22,STANDARD,0
301.0342102050781,4,0.06678543984889984,0.0,4,1646.4771728515625,30,R_A2,2018-01-01,301.0342102050781,22,STANDARD,0
301.1545104980469,5,0.07244458049535751,0.0,5,1648.2713623046875,30,R_A2,2018-01-01,301.1545104980469,22,STANDARD,0
301.27484130859375,6,0.1185254231095314,0.0,6,1650.0654296875,30,R_A2,2018-01-01,301.27484130859375,22,STANDARD,0
301.3951721191406,7,0.6481541991233826,0.0,7,1651.859619140625,30,R_A2,2018-01-01,301.3951721191406,22,STANDARD,0
301.5154724121094,8,0.6481541991233826,0.0,8,1653.6536865234375,30,R_A2,2018-01-01,301.5154724121094,22,STANDARD,0
301.63580322265625,9,0.1735297441482544,0.0,9,1655.44775390625,30,R_A2,2018-01-01,301.63580322265625,22,STANDARD,0
301.7561340332031,10,0.32667964696884155,0.0,10,1657.2418212890625,30,R_A2,2018-01-01,301.7561340332031,22,STANDARD,0
301.88323974609375,11,0.07769951224327087,0.0,11,1659.1368408203125,30,R_A2,2018-01-01,301.88323974609375,22,STANDARD,0
302.01708984375,12,0.07633190602064133,0.0,12,1661.132568359375,30,R_A2,2018-01-01,302.01708984375,22,STANDARD,0
302.1509704589844,13,0.4555773138999939,0.0,13,1663.12841796875,30,R_A2,2018-01-01,302.1509704589844,22,STANDARD,0
302.28485107421875,14,0.49689048528671265,0.0,14,1665.1241455078125,30,R_A2,2018-01-01,302.28485107421875,22,STANDARD,0
302.4187316894531,15,0.697963297367096,0.0,15,1667.1199951171875,30,R_A2,2018-01-01,302.4187316894531,22,STANDARD,0
302.5526123046875,16,0.9702016711235046,0.0,16,1669.11572265625,30,R_A2,2018-01-01,302.5526123046875,22,STANDARD,0
