DATE,FGIP,FGPR,FGPRH,FGPT,FGPTH,FOIP,FOPR,FOPRH,FOPT,FOPTF,FOPTH,FOPTS,FWIP,FWPT,FWPTH,YEARS
2000-01-01,7048006656.0,0.0,0.0,0.0,0.0,38304384.0,0.0,0.0,0.0,0.0,0.0,0.0,311767872.0,0.0,0.0,0.0
2000-02-01,7047993344.0,0.0,0.0,0.0,0.0,38304308.0,0.0,0.0,0.0,0.0,0.0,0.0,311767968.0,0.0,0.0,0.08487337082624435
2000-03-01,6986613760.0,2096085.0,2123621.5,61379424.0,61585024.0,37970724.0,11391.7666015625,11540.0,333583.84375,333583.84375,334660.0,0.0,311906272.0,1692.01220703125,0.0,0.1642710417509079
2000-04-01,6929003008.0,1835988.875,1887736.75,118989448.0,120104864.0,37657624.0,9978.2001953125,10257.2578125,646681.75,646681.75,652635.0,0.0,312049120.0,13854.3857421875,4548.0009765625,0.24914442002773285
2000-05-01,6877292032.0,1717781.125,1695579.625,170700528.0,170972256.0,37376584.0,9335.7666015625,9213.5673828125,927720.25,927720.25,929042.0,0.0,312185024.0,27946.23046875,25817.001953125,0.3312799334526062
2000-06-01,6825265152.0,1674627.125,1638625.75,222727136.0,221769648.0,37093828.0,9101.234375,8903.451171875,1210473.5,1210473.5,1205049.0,0.0,312325408.0,42556.8203125,50901.0,0.41615331172943115
2000-07-01,6778983424.0,1531389.75,1509394.625,269009152.0,267051488.0,36841936.0,8347.2998046875,8201.7001953125,1462365.875,1462365.875,1451100.0,0.0,312604224.0,58728.5078125,75951.0,0.4982888400554657
2000-08-01,6734971392.0,1410026.5,1398302.75,313021312.0,310398880.0,36601364.0,7722.09423828125,7597.41943359375,1702935.875,1702935.875,1686620.0,0.0,312892096.0,80871.6171875,105138.0,0.5831621885299683
2000-09-01,6693506560.0,1329360.0,1325874.25,354485024.0,351500960.0,36373596.0,7318.068359375,7203.8388671875,1930705.875,1930705.875,1909939.0,0.0,313175936.0,107020.7890625,136780.015625,0.6680355668067932
2000-10-01,6655279616.0,1266989.625,1270949.375,392711552.0,389629472.0,36162416.0,7016.5078125,6905.7666015625,2141890.0,2141890.0,2117112.0,0.0,313447744.0,135224.6875,169202.0,0.7501711249351501
2000-11-01,6617381376.0,1215719.0,1227013.0,430604000.0,427666848.0,35951764.0,6776.67919921875,6666.935546875,2352574.5,2352574.5,2323787.0,0.0,313726112.0,166840.546875,204244.0,0.8350445032119751
2000-12-01,6581962240.0,1175079.875,1191768.75,466019840.0,463419936.0,35753608.0,6591.25244140625,6475.7666015625,2550746.75,2550746.75,2518060.0,0.0,313993536.0,199426.265625,239515.0,0.9171800017356873
2001-01-01,6546414592.0,1141833.875,1163525.625,501567456.0,499489216.0,35553468.0,6443.79443359375,6321.87109375,2750889.0,2750889.0,2714038.0,0.0,314268128.0,234830.25,277189.0,1.0020533800125122
2001-02-01,6490866176.0,1734941.375,1873729.0,557115840.0,557574848.0,35247476.0,9555.328125,10180.322265625,3056879.25,3056879.25,3029628.0,0.0,314523328.0,289635.375,314403.0,1.086926817893982
2001-03-01,6455905792.0,1219932.0,1401034.0,592076032.0,596803776.0,35055272.0,6701.0478515625,7610.60693359375,3249083.5,3249083.5,3242725.0,0.0,314738880.0,354066.875,344655.0,1.1635866165161133
2001-04-01,6421356544.0,1090278.625,1301814.625,626625216.0,637160000.0,34865808.0,5972.94677734375,7072.09716796875,3438550.0,3438550.0,3461960.0,0.0,315080864.0,472053.65625,414866.03125,1.2484599351882935
2001-05-01,6389096960.0,1056911.875,1283700.25,658884672.0,675671040.0,34689280.0,5778.6064453125,6973.00048828125,3615073.75,3615073.75,3671150.0,0.0,315385120.0,617799.0625,508601.0,1.3305954933166504
2001-06-01,6356634624.0,1031372.6875,1268368.5,691348416.0,714990464.0,34511928.0,5630.48388671875,6890.2255859375,3792418.5,3792418.5,3884747.0,0.0,315682176.0,785765.0625,619142.0,1.4154688119888306
2001-07-01,6326030848.0,1007560.875,1244567.125,721950784.0,752327488.0,34344944.0,5494.12548828125,6761.6005859375,3959375.25,3959375.25,4087595.0,0.0,315960352.0,957591.875,734308.0,1.4976043701171875
2001-08-01,6295085568.0,987905.0625,1216663.5,752897216.0,790044032.0,34176280.0,5381.4990234375,6611.193359375,4128027.5,4128027.5,4292542.0,0.0,316243552.0,1139389.5,858961.0,1.5824778079986572
