SGAS,CONIDX,CONKPOS,PRESSURE,CONIPOS,DEPTH,DRAWDOWN,WELL,CONJPOS,DATE,WELLMODEL,CONBPRES,SWAT
0.0,1,1,300.7148132324219,22,1640.05224609375,0,R_A2,30,2018-01-01,STANDARD,300.7148132324219,0.15445001423358917
0.0,2,2,300.8336486816406,22,1641.824462890625,0,R_A2,30,2018-01-01,STANDARD,300.8336486816406,0.05651221424341202
0.0,3,3,300.9524841308594,22,1643.5966796875,0,R_A2,30,2018-01-01,STANDARD,300.9524841308594,0.05838855355978012
0.0,4,4,301.0713195800781,22,1645.3687744140625,0,R_A2,30,2018-01-01,STANDARD,301.0713195800781,0.0843176394701004
0.0,5,5,301.1901550292969,22,1647.1409912109375,0,R_A2,30,2018-01-01,STANDARD,301.1901550292969,0.2515725791454315
0.0,6,6,301.3089904785156,22,1648.9130859375,0,R_A2,30,2018-01-01,STANDARD,301.3089904785156,0.6481541991233826
0.0,7,7,301.4278564453125,22,1650.685302734375,0,R_A2,30,2018-01-01,STANDARD,301.4278564453125,0.871617317199707
0.0,8,8,301.54669189453125,22,1652.45751953125,0,R_A2,30,2018-01-01,STANDARD,301.54669189453125,0.8495597839355469
0.0,9,9,301.6655578613281,22,1654.229736328125,0,R_A2,30,2018-01-01,STANDARD,301.6655578613281,0.8760748505592346
0.0,10,10,301.784423828125,22,1656.0018310546875,0,R_A2,30,2018-01-01,STANDARD,301.784423828125,0.8817364573478699
0.0,11,11,301.9123229980469,22,1657.908935546875,0,R_A2,30,2018-01-01,STANDARD,301.9123229980469,0.06763172149658203
0.0,12,12,302.0492858886719,22,1659.95068359375,0,R_A2,30,2018-01-01,STANDARD,302.0492858886719,0.06977703422307968
0.0,13,13,302.1862487792969,22,1661.9925537109375,0,R_A2,30,2018-01-01,STANDARD,302.1862487792969,0.4292454719543457
0.0,14,14,302.3232116699219,22,1664.034423828125,0,R_A2,30,2018-01-01,STANDARD,302.3232116699219,0.4602036774158478
0.0,15,15,302.4601745605469,22,1666.076171875,0,R_A2,30,2018-01-01,STANDARD,302.4601745605469,0.8975271582603455
0.0,16,16,302.5971374511719,22,1668.1180419921875,0,R_A2,30,2018-01-01,STANDARD,302.5971374511719,0.9187612533569336
0.0,17,17,302.734130859375,22,1670.1597900390625,0,R_A2,30,2018-01-01,STANDARD,302.734130859375,0.890568196773529
