SWAT,SGAS,CONJPOS,DATE,WELL,WELLMODEL,DRAWDOWN,CONIDX,CONBPRES,DEPTH,CONKPOS,CONIPOS,PRESSURE
0.1533900797367096,0.0,30,2018-01-01,R_A2,STANDARD,0,1,300.7032775878906,1641.6617431640625,1,22,300.7032775878906
0.1547238826751709,0.0,30,2018-01-01,R_A2,STANDARD,0,2,300.8236999511719,1643.457275390625,2,22,300.8236999511719
0.06272071599960327,0.0,30,2018-01-01,R_A2,STANDARD,0,3,300.944091796875,1645.2528076171875,3,22,300.944091796875
0.0686267539858818,0.0,30,2018-01-01,R_A2,STANDARD,0,4,301.0644836425781,1647.04833984375,4,22,301.0644836425781
0.07143113762140274,0.0,30,2018-01-01,R_A2,STANDARD,0,5,301.1849060058594,1648.8438720703125,5,22,301.1849060058594
0.3195382058620453,0.0,30,2018-01-01,R_A2,STANDARD,0,6,301.3052978515625,1650.639404296875,6,22,301.3052978515625
0.8989430069923401,0.0,30,2018-01-01,R_A2,STANDARD,0,7,301.42572021484375,1652.4349365234375,7,22,301.42572021484375
0.8786685466766357,0.0,30,2018-01-01,R_A2,STANDARD,0,8,301.546142578125,1654.23046875,8,22,301.546142578125
0.9204195737838745,0.0,30,2018-01-01,R_A2,STANDARD,0,9,301.66656494140625,1656.0260009765625,9,22,301.66656494140625
0.9122639894485474,0.0,30,2018-01-01,R_A2,STANDARD,0,10,301.7869873046875,1657.821533203125,10,22,301.7869873046875
0.07926821708679199,0.0,30,2018-01-01,R_A2,STANDARD,0,11,301.9156494140625,1659.7396240234375,11,22,301.9156494140625
0.476861834526062,0.0,30,2018-01-01,R_A2,STANDARD,0,12,302.18939208984375,1663.8209228515625,13,22,302.18939208984375
0.517089307308197,0.0,30,2018-01-01,R_A2,STANDARD,0,13,302.3262939453125,1665.861572265625,14,22,302.3262939453125
0.6902573108673096,0.0,30,2018-01-01,R_A2,STANDARD,0,14,302.4631652832031,1667.902099609375,15,22,302.4631652832031
0.9808551073074341,0.0,30,2018-01-01,R_A2,STANDARD,0,15,302.6000671386719,1669.9427490234375,16,22,302.6000671386719
0.9694193601608276,0.0,30,2018-01-01,R_A2,STANDARD,0,16,302.7369689941406,1671.9833984375,17,22,302.7369689941406
0.9935635328292847,0.0,30,2018-01-01,R_A2,STANDARD,0,17,302.8689880371094,1673.951171875,18,22,302.8689880371094
0.9992437958717346,0.0,30,2018-01-01,R_A2,STANDARD,0,18,302.94061279296875,1675.018798828125,19,22,302.94061279296875
1.0,0.0,30,2018-01-01,R_A2,STANDARD,0,19,303.0105895996094,1676.062255859375,24,22,303.0105895996094
1.0,0.0,30,2018-01-01,R_A2,STANDARD,0,20,303.4753723144531,1677.9088134765625,25,22,303.4753723144531
1.0,0.0,30,2018-01-01,R_A2,STANDARD,0,21,303.6503601074219,1679.75537109375,26,22,303.6503601074219
1.0,0.0,30,2018-01-01,R_A2,STANDARD,0,22,303.8253479003906,1681.60205078125,27,22,303.8253479003906
1.0,0.0,30,2018-01-01,R_A2,STANDARD,0,23,304.0003356933594,1683.44873046875,28,22,304.0003356933594
0.6481541991233826,0.0,41,2018-01-01,R_A3,STANDARD,0,1,298.60504150390625,1610.3612060546875,1,28,298.60504150390625
0.2014409601688385,0.0,41,2018-01-01,R_A3,STANDARD,0,2,298.7418212890625,1612.4022216796875,2,28,298.7418212890625
0.15875260531902313,0.0,41,2018-01-01,R_A3,STANDARD,0,3,298.8786315917969,1614.4432373046875,3,28,298.8786315917969
0.19983473420143127,0.0,41,2018-01-01,R_A3,STANDARD,0,4,299.0154113769531,1616.484130859375,4,28,299.0154113769531
0.6481541991233826,0.0,41,2018-01-01,R_A3,STANDARD,0,5,299.1522216796875,1618.525146484375,5,28,299.1522216796875
0.8194449543952942,0.0,41,2018-01-01,R_A3,STANDARD,0,6,298.3566589355469,1606.6546630859375,5,29,298.3566589355469
0.6481541991233826,0.0,41,2018-01-01,R_A3,STANDARD,0,7,298.4944763183594,1608.711181640625,6,29,298.4944763183594
0.19611622393131256,0.0,41,2018-01-01,R_A3,STANDARD,0,8,298.6322937011719,1610.7677001953125,7,29,298.6322937011719
0.199036106467247,0.0,41,2018-01-01,R_A3,STANDARD,0,9,298.7701110839844,1612.82421875,8,29,298.7701110839844
0.8020419478416443,0.0,41,2018-01-01,R_A3,STANDARD,0,10,298.9079284667969,1614.880615234375,9,29,298.9079284667969
