ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4908777,848995,582586,406267,57202327
Valysar,CentralSouth,67833576,13169021,9878944,6889083,969982867
Valysar,CentralNorth,36382608,6291830,4384888,3057802,430538572
Valysar,NorthHorst,4782407,618863,363777,223450,43773936
Valysar,CentralRamp,13747335,1856105,1162702,810810,114162070
Valysar,CentralHorst,86367811,13987100,10253707,7150424,1006779686
Valysar,EastLowland,288978,15869,960,669,94218
Therys,WestLowland,2193689,377104,170796,119105,16769971
Therys,CentralSouth,12475726,2750421,1698156,1184209,166736694
Therys,CentralNorth,20653864,4025338,2384919,1663123,234167772
Therys,NorthHorst,8150674,1106205,445494,273645,53607036
Therys,CentralRamp,6771661,1667571,1276931,890468,125377922
Therys,CentralHorst,29249147,7617804,5882933,4102463,577626873
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,252999,41224,13142,9164,1290326
Volon,CentralSouth,35001289,6494223,4516842,3149820,443494645
Volon,CentralNorth,6828593,1037793,594908,414859,58412123
Volon,NorthHorst,5577924,1112355,887084,544892,106744295
Volon,CentralRamp,12644289,2294367,1698979,1184783,166817501
Volon,CentralHorst,80624036,14752937,11474747,8001916,1126669771
Volon,EastLowland,0,0,0,0,0
