FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,402976.0,0.0,402976.0,81957466.0,0.0,56747090.0,56747090.0,85328033.0,577981.0,84750052.0,0.0,577981.0,WestLowland,Valysar
2,6849944.0,0.0,6849944.0,13986131.0,0.0,964609152.0,964609152.0,24283912.0,9820334.0,14463578.0,0.0,9820334.0,CentralSouth,Valysar
3,2995648.0,0.0,2995648.0,12798136.0,0.0,421847133.0,421847133.0,17528889.0,4294830.0,13234059.0,0.0,4294830.0,CentralNorth,Valysar
4,226707.0,66258.0,292965.0,2989180.0,432016443.0,44418712.0,476435154.0,5319677.0,369131.0,3091601.0,1858945.0,2228076.0,NorthHorst,Valysar
5,772915.0,0.0,772915.0,724556.0,0.0,108841834.0,108841834.0,1858175.0,1108659.0,749516.0,0.0,1108659.0,CentralRamp,Valysar
6,7004041.0,0.0,7004041.0,6536400.0,0.0,986309085.0,986309085.0,16808090.0,10047250.0,6760840.0,0.0,10047250.0,CentralHorst,Valysar
7,498.0,0.0,498.0,38458072.0,0.0,70180.0,70180.0,39753228.0,715.0,39752513.0,0.0,715.0,EastLowland,Valysar
8,127658.0,0.0,127658.0,108712986.0,-0.0,17976847.0,17976847.0,112598947.0,183074.0,112415873.0,0.0,183074.0,WestLowland,Therys
9,1193306.0,0.0,1193306.0,4904530.0,0.0,168041381.0,168041381.0,6782719.0,1710416.0,5072303.0,0.0,1710416.0,CentralSouth,Therys
10,1678746.0,0.0,1678746.0,12056198.0,0.0,236401081.0,236401081.0,14872943.0,2406433.0,12466509.0,0.0,2406433.0,CentralNorth,Therys
11,268704.0,65761.0,334465.0,3965434.0,426835914.0,52647085.0,479482999.0,6373979.0,437516.0,4101198.0,1835265.0,2272781.0,NorthHorst,Therys
12,890573.0,0.0,890573.0,379386.0,0.0,125410490.0,125410490.0,1669521.0,1277087.0,392434.0,0.0,1277087.0,CentralRamp,Therys
13,4103843.0,0.0,4103843.0,4913754.0,0.0,577903237.0,577903237.0,10968106.0,5886240.0,5081866.0,0.0,5886240.0,CentralHorst,Therys
14,0.0,0.0,0.0,18340955.0,0.0,0.0,0.0,18954545.0,0.0,18954545.0,0.0,0.0,EastLowland,Therys
15,11972.0,0.0,11972.0,77392047.0,0.0,1685921.0,1685921.0,80034830.0,17166.0,80017664.0,0.0,17166.0,WestLowland,Volon
16,3144880.0,0.0,3144880.0,33676330.0,0.0,442862043.0,442862043.0,39330310.0,4507659.0,34822651.0,0.0,4507659.0,CentralSouth,Volon
17,410608.0,0.0,410608.0,6168782.0,0.0,57821776.0,57821776.0,6967048.0,588505.0,6378543.0,0.0,588505.0,CentralNorth,Volon
18,541698.0,14520.0,556218.0,1540173.0,93876727.0,106134919.0,200011646.0,2878232.0,882037.0,1592805.0,403390.0,1285427.0,NorthHorst,Volon
19,1150656.0,0.0,1150656.0,774165.0,0.0,162035379.0,162035379.0,2450282.0,1649564.0,800718.0,0.0,1649564.0,CentralRamp,Volon
20,7736680.0,0.0,7736680.0,8632892.0,-0.0,1089479259.0,1089479259.0,20023029.0,11094573.0,8928456.0,0.0,11094573.0,CentralHorst,Volon
21,0.0,0.0,0.0,33834851.0,0.0,0.0,0.0,34976090.0,0.0,34976090.0,0.0,0.0,EastLowland,Volon
