CONIPOS,DRAWDOWN,PRESSURE,CONBPRES,WELLMODEL,DEPTH,SWAT,CONKPOS,DATE,CONJPOS,CONIDX,WELL,SGAS
22,0,300.89373779296875,300.89373779296875,STANDARD,1642.6546630859375,0.05567190423607826,1,2018-01-01,30,1,R_A2,0.0
22,0,301.0187683105469,301.0187683105469,STANDARD,1644.51953125,0.05578598380088806,2,2018-01-01,30,2,R_A2,0.0
22,0,301.1438293457031,301.1438293457031,STANDARD,1646.3843994140625,0.05908289551734924,3,2018-01-01,30,3,R_A2,0.0
22,0,301.2688903808594,301.2688903808594,STANDARD,1648.2491455078125,0.10530922561883926,4,2018-01-01,30,4,R_A2,0.0
22,0,301.3939514160156,301.3939514160156,STANDARD,1650.114013671875,0.06726517528295517,5,2018-01-01,30,5,R_A2,0.0
22,0,301.5190124511719,301.5190124511719,STANDARD,1651.9788818359375,0.32326745986938477,6,2018-01-01,30,6,R_A2,0.0
22,0,301.64410400390625,301.64410400390625,STANDARD,1653.84375,0.8977338671684265,7,2018-01-01,30,7,R_A2,0.0
22,0,301.7691650390625,301.7691650390625,STANDARD,1655.70849609375,0.8824408054351807,8,2018-01-01,30,8,R_A2,0.0
22,0,301.8942565917969,301.8942565917969,STANDARD,1657.5733642578125,0.8846177458763123,9,2018-01-01,30,9,R_A2,0.0
22,0,302.0193176269531,302.0193176269531,STANDARD,1659.438232421875,0.8947332501411438,10,2018-01-01,30,10,R_A2,0.0
22,0,302.1531982421875,302.1531982421875,STANDARD,1661.4339599609375,0.07267628610134125,11,2018-01-01,30,11,R_A2,0.0
22,0,302.29583740234375,302.29583740234375,STANDARD,1663.5606689453125,0.0786060020327568,12,2018-01-01,30,12,R_A2,0.0
22,0,302.4385070800781,302.4385070800781,STANDARD,1665.6873779296875,0.44321754574775696,13,2018-01-01,30,13,R_A2,0.0
22,0,302.5811767578125,302.5811767578125,STANDARD,1667.814208984375,0.5010420680046082,14,2018-01-01,30,14,R_A2,0.0
22,0,302.7238464355469,302.7238464355469,STANDARD,1669.94091796875,0.9319716095924377,15,2018-01-01,30,15,R_A2,0.0
22,0,302.86651611328125,302.86651611328125,STANDARD,1672.0675048828125,0.9577420949935913,16,2018-01-01,30,16,R_A2,0.0
22,0,303.00921630859375,303.00921630859375,STANDARD,1674.1942138671875,0.9386528134346008,17,2018-01-01,30,17,R_A2,0.0
22,0,303.1268005371094,303.1268005371094,STANDARD,1675.947021484375,0.9672949314117432,18,2018-01-01,30,18,R_A2,0.0
22,0,302.9451904296875,302.9451904296875,STANDARD,1673.2401123046875,0.9465431571006775,18,2018-01-01,29,19,R_A2,0.0
22,0,303.0656433105469,303.0656433105469,STANDARD,1675.035400390625,0.6481541991233826,24,2018-01-01,29,20,R_A2,0.0
22,0,303.1871337890625,303.1871337890625,STANDARD,1676.84619140625,1.0,25,2018-01-01,29,21,R_A2,0.0
22,0,303.3086242675781,303.3086242675781,STANDARD,1678.656982421875,1.0,26,2018-01-01,29,22,R_A2,0.0
22,0,303.4301452636719,303.4301452636719,STANDARD,1680.4677734375,1.0,27,2018-01-01,29,23,R_A2,0.0
22,0,303.88946533203125,303.88946533203125,STANDARD,1682.278564453125,1.0,28,2018-01-01,29,24,R_A2,0.0
28,0,298.6260681152344,298.6260681152344,STANDARD,1608.827880859375,0.6481541991233826,1,2018-01-01,41,1,R_A3,0.0
28,0,298.7616271972656,298.7616271972656,STANDARD,1610.8504638671875,0.19336166977882385,2,2018-01-01,41,2,R_A3,0.0
28,0,298.8971862792969,298.8971862792969,STANDARD,1612.8731689453125,0.19457125663757324,3,2018-01-01,41,3,R_A3,0.0
28,0,299.03277587890625,299.03277587890625,STANDARD,1614.895751953125,0.36741361021995544,4,2018-01-01,41,4,R_A3,0.0
28,0,299.1683349609375,299.1683349609375,STANDARD,1616.91845703125,0.8221676349639893,5,2018-01-01,41,5,R_A3,0.0
28,0,299.3039245605469,299.3039245605469,STANDARD,1618.941162109375,0.6481541991233826,6,2018-01-01,41,6,R_A3,0.0
28,0,299.4394836425781,299.4394836425781,STANDARD,1620.9637451171875,0.19647003710269928,7,2018-01-01,41,7,R_A3,0.0
29,0,298.824951171875,298.824951171875,STANDARD,1611.7952880859375,0.29272398352622986,7,2018-01-01,41,8,R_A3,0.0
29,0,298.9610290527344,298.9610290527344,STANDARD,1613.8255615234375,0.16954155266284943,8,2018-01-01,41,9,R_A3,0.0
29,0,299.09710693359375,299.09710693359375,STANDARD,1615.855712890625,0.21853166818618774,9,2018-01-01,41,10,R_A3,0.0
29,0,299.2331848144531,299.2331848144531,STANDARD,1617.8858642578125,0.31063908338546753,10,2018-01-01,41,11,R_A3,0.0
29,0,299.3793029785156,299.3793029785156,STANDARD,1620.0660400390625,0.04828479886054993,11,2018-01-01,41,12,R_A3,0.0
29,0,299.5355224609375,299.5355224609375,STANDARD,1622.396484375,0.05394754186272621,12,2018-01-01,41,13,R_A3,0.0
29,0,299.6917419433594,299.6917419433594,STANDARD,1624.7269287109375,0.36045145988464355,13,2018-01-01,41,14,R_A3,0.0
29,0,299.8479919433594,299.8479919433594,STANDARD,1627.057373046875,0.3544006943702698,14,2018-01-01,41,15,R_A3,0.0
