DEPTH,WELL,DATE,CONJPOS,CONIPOS,WELLMODEL,DRAWDOWN,SWAT,CONKPOS,CONIDX,CONBPRES,SGAS,PRESSURE
1640.46240234375,R_A2,2018-01-01,30,22,STANDARD,0,0.05280177667737007,1,1,300.7666320800781,0.0,300.7666320800781
1642.2333984375,R_A2,2018-01-01,30,22,STANDARD,0,0.05369068309664726,2,2,300.8853759765625,0.0,300.8853759765625
1644.0042724609375,R_A2,2018-01-01,30,22,STANDARD,0,0.057886503636837006,3,3,301.0041198730469,0.0,301.0041198730469
1645.7750244140625,R_A2,2018-01-01,30,22,STANDARD,0,0.062255747616291046,4,4,301.1228942871094,0.0,301.1228942871094
1647.5458984375,R_A2,2018-01-01,30,22,STANDARD,0,0.06503569334745407,5,5,301.24163818359375,0.0,301.24163818359375
1649.3167724609375,R_A2,2018-01-01,30,22,STANDARD,0,0.6768319606781006,6,6,301.3603820800781,0.0,301.3603820800781
1651.087646484375,R_A2,2018-01-01,30,22,STANDARD,0,0.8713262677192688,7,7,301.4791564941406,0.0,301.4791564941406
1652.8583984375,R_A2,2018-01-01,30,22,STANDARD,0,0.6481541991233826,8,8,301.5979309082031,0.0,301.5979309082031
1654.62939453125,R_A2,2018-01-01,30,22,STANDARD,0,0.11486823111772537,9,9,301.7167053222656,0.0,301.7167053222656
1656.4002685546875,R_A2,2018-01-01,30,22,STANDARD,0,0.16524702310562134,10,10,301.8354797363281,0.0,301.8354797363281
1658.28369140625,R_A2,2018-01-01,30,22,STANDARD,0,0.06820064038038254,11,11,301.9617919921875,0.0,301.9617919921875
1660.2796630859375,R_A2,2018-01-01,30,22,STANDARD,0,0.07198452204465866,12,12,302.0956726074219,0.0,302.0956726074219
1662.2757568359375,R_A2,2018-01-01,30,22,STANDARD,0,0.41745129227638245,13,13,302.22955322265625,0.0,302.22955322265625
1664.271728515625,R_A2,2018-01-01,30,22,STANDARD,0,0.45892950892448425,14,14,302.36346435546875,0.0,302.36346435546875
1666.2677001953125,R_A2,2018-01-01,30,22,STANDARD,0,0.8917310237884521,15,15,302.4973449707031,0.0,302.4973449707031
1668.263671875,R_A2,2018-01-01,30,22,STANDARD,0,0.9187092185020447,16,16,302.6312561035156,0.0,302.6312561035156
1671.07958984375,R_A2,2018-01-01,29,22,STANDARD,0,0.9025235176086426,16,17,302.8201599121094,0.0,302.8201599121094
1673.1871337890625,R_A2,2018-01-01,29,22,STANDARD,0,0.887000560760498,17,18,302.9615478515625,0.0,302.9615478515625
1675.1448974609375,R_A2,2018-01-01,29,22,STANDARD,0,0.9595993757247925,18,19,303.0928955078125,0.0,303.0928955078125
1677.1239013671875,R_A2,2018-01-01,29,22,STANDARD,0,1.0,25,20,303.2256774902344,0.0,303.2256774902344
1678.9068603515625,R_A2,2018-01-01,29,22,STANDARD,0,1.0,26,21,303.3453063964844,0.0,303.3453063964844
1680.689697265625,R_A2,2018-01-01,29,22,STANDARD,0,1.0,27,22,303.4649353027344,0.0,303.4649353027344
