DRAWDOWN,CONJPOS,CONIDX,SWAT,CONKPOS,DEPTH,SGAS,CONBPRES,DATE,WELL,CONIPOS,PRESSURE,WELLMODEL
0,30,1,0.052835628390312195,1,1639.59765625,0.0,300.6893005371094,2018-01-01,R_A2,22,300.6893005371094,STANDARD
0,30,2,0.05315610021352768,2,1641.25830078125,0.0,300.8006591796875,2018-01-01,R_A2,22,300.8006591796875,STANDARD
0,30,3,0.0567818209528923,3,1642.9190673828125,0.0,300.9120178222656,2018-01-01,R_A2,22,300.9120178222656,STANDARD
0,30,4,0.06215807795524597,4,1644.5797119140625,0.0,301.02337646484375,2018-01-01,R_A2,22,301.02337646484375,STANDARD
0,30,5,0.06493739783763885,5,1646.240478515625,0.0,301.1347351074219,2018-01-01,R_A2,22,301.1347351074219,STANDARD
0,30,6,0.3101039230823517,6,1647.901123046875,0.0,301.24609375,2018-01-01,R_A2,22,301.24609375,STANDARD
0,30,7,0.6674743890762329,7,1649.5618896484375,0.0,301.35748291015625,2018-01-01,R_A2,22,301.35748291015625,STANDARD
0,30,8,0.6481541991233826,8,1651.2225341796875,0.0,301.4688415527344,2018-01-01,R_A2,22,301.4688415527344,STANDARD
0,30,9,0.6481541991233826,9,1652.88330078125,0.0,301.5802307128906,2018-01-01,R_A2,22,301.5802307128906,STANDARD
0,30,10,0.8770819306373596,10,1654.5439453125,0.0,301.6916198730469,2018-01-01,R_A2,22,301.6916198730469,STANDARD
0,30,11,0.06510255485773087,11,1656.3751220703125,0.0,301.8144226074219,2018-01-01,R_A2,22,301.8144226074219,STANDARD
0,30,12,0.06910287588834763,12,1658.376708984375,0.0,301.94866943359375,2018-01-01,R_A2,22,301.94866943359375,STANDARD
0,30,13,0.4200608730316162,13,1660.378173828125,0.0,302.0829162597656,2018-01-01,R_A2,22,302.0829162597656,STANDARD
0,30,14,0.4652462899684906,14,1662.3797607421875,0.0,302.2171936035156,2018-01-01,R_A2,22,302.2171936035156,STANDARD
0,30,15,0.8841447830200195,15,1664.3812255859375,0.0,302.3514404296875,2018-01-01,R_A2,22,302.3514404296875,STANDARD
