ENSEMBLE,REAL,CONBPRES,CONIDX,CONIPOS,CONJPOS,CONKPOS,DATE,DEPTH,Drawdown,PRESSURE,SGAS,SWAT,WELL,WELLMODEL
iter-0,0,303.51947021484375,1,27,30,5,2000-02-01,1609.04541015625,0,303.51947021484375,0.0,0.029154310002923005,OP_1,MULTISEG
iter-0,0,303.7008972167969,2,27,30,6,2000-02-01,1611.8785400390625,0,303.7008972167969,0.0,0.043757449835538864,OP_1,MULTISEG
iter-0,0,303.90234375,3,27,30,7,2000-02-01,1615.0367431640625,0,303.90234375,0.0,0.04023977369070053,OP_1,MULTISEG
iter-0,0,304.10382080078125,4,27,30,8,2000-02-01,1618.19482421875,0,304.10382080078125,0.0,0.04986381158232689,OP_1,MULTISEG
iter-0,0,304.3052978515625,5,27,30,9,2000-02-01,1621.353271484375,0,304.3052978515625,0.0,0.03783852234482765,OP_1,MULTISEG
iter-0,0,304.50677490234375,6,27,30,10,2000-02-01,1624.5113525390625,0,304.50677490234375,0.0,0.040516722947359085,OP_1,MULTISEG
iter-0,0,304.7065734863281,7,27,30,11,2000-02-01,1627.6478271484375,0,304.7065734863281,0.0,0.13102464377880094,OP_1,MULTISEG
iter-0,0,305.9459228515625,1,20,13,6,2000-02-01,1652.9434814453125,0,305.9459228515625,0.0,0.1006736308336258,OP_2,MULTISEG
iter-0,0,306.1074523925781,2,20,13,7,2000-02-01,1655.467041015625,0,306.1074523925781,0.0,0.039902597665786736,OP_2,MULTISEG
iter-0,0,306.2685546875,3,20,13,8,2000-02-01,1657.9903564453125,0,306.2685546875,0.0,0.04288004338741303,OP_2,MULTISEG
iter-0,0,306.4296569824219,4,20,13,9,2000-02-01,1660.5137939453125,0,306.4296569824219,0.0,0.042680423706769936,OP_2,MULTISEG
iter-0,0,306.59149169921875,5,20,13,10,2000-02-01,1663.0372314453125,0,306.59149169921875,0.0,0.1739872246980667,OP_2,MULTISEG
iter-0,0,306.4566650390625,1,28,47,8,2000-02-01,1655.7171630859375,0,306.4566650390625,0.0,0.11534473299980165,OP_3,MULTISEG
iter-0,0,306.6764221191406,2,28,47,9,2000-02-01,1659.1593017578125,0,306.6764221191406,0.0,0.1304643452167511,OP_3,MULTISEG
iter-0,0,306.8961486816406,3,28,47,10,2000-02-01,1662.6009521484375,0,306.8961486816406,0.0,0.08540252596139908,OP_3,MULTISEG
iter-0,0,307.0935363769531,4,28,47,11,2000-02-01,1665.692626953125,0,307.0935363769531,0.0,0.06598182022571564,OP_3,MULTISEG
iter-0,0,307.2685546875,5,28,47,12,2000-02-01,1668.4339599609375,0,307.2685546875,0.0,0.06907594203948975,OP_3,MULTISEG
iter-0,0,307.4435729980469,6,28,47,13,2000-02-01,1671.1749267578125,0,307.4435729980469,0.0,0.07277712225914001,OP_3,MULTISEG
iter-0,0,307.61859130859375,7,28,47,14,2000-02-01,1673.916015625,0,307.61859130859375,0.0,0.08115121722221375,OP_3,MULTISEG
iter-0,0,309.60992431640625,1,14,38,2,2000-02-01,1702.460205078125,0,309.60992431640625,6.697866566929278e-11,1.0,WI_1,MULTISEG
iter-0,0,309.850830078125,2,14,38,3,2000-02-01,1705.012939453125,0,309.850830078125,8.554400243721005e-11,1.0,WI_1,MULTISEG
iter-0,0,310.09173583984375,3,14,38,4,2000-02-01,1707.565673828125,0,310.09173583984375,2.2262233723147066e-11,1.0,WI_1,MULTISEG
iter-0,0,310.3326416015625,4,14,38,5,2000-02-01,1710.1185302734375,0,310.3326416015625,6.566012317188452e-11,1.0,WI_1,MULTISEG
iter-0,0,281.44644165039057,1,28,20,7,2000-06-01,1693.6297607421875,0,281.44644165039057,0.0,0.3935778439044952,WI_2,MULTISEG
iter-0,0,281.6504211425781,2,28,20,8,2000-06-01,1696.1705322265625,0,281.6504211425781,0.0,0.2084646075963974,WI_2,MULTISEG
iter-0,0,281.8853454589844,3,28,20,9,2000-06-01,1698.71142578125,0,281.8853454589844,0.0,0.6412280797958374,WI_2,MULTISEG
