FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,1176576.0,0.0,1176576.0,89970121.0,0.0,165685425.0,165685425.0,94723742.0,1687596.0,93036146.0,0.0,1687596.0,WestLowland,Valysar
2,6104472.0,0.0,6104472.0,14922272.0,0.0,859631750.0,859631750.0,24184012.0,8752288.0,15431724.0,0.0,8752288.0,CentralSouth,Valysar
3,2574973.0,0.0,2574973.0,12120380.0,-0.0,362607642.0,362607642.0,16225512.0,3692240.0,12533272.0,0.0,3692240.0,CentralNorth,Valysar
4,260257.0,74000.0,334257.0,3683608.0,482561814.0,50992109.0,533553923.0,6310873.0,423794.0,3809894.0,2077184.0,2500979.0,NorthHorst,Valysar
5,1061225.0,0.0,1061225.0,756027.0,0.0,149441669.0,149441669.0,2304306.0,1522247.0,782058.0,0.0,1522247.0,CentralRamp,Valysar
6,5610913.0,0.0,5610913.0,7427331.0,0.0,790128713.0,790128713.0,15732243.0,8050119.0,7682124.0,0.0,8050119.0,CentralHorst,Valysar
7,20704.0,0.0,20704.0,36261559.0,0.0,2915528.0,2915528.0,37512344.0,29687.0,37482657.0,0.0,29687.0,EastLowland,Valysar
8,209002.0,0.0,209002.0,112754156.0,0.0,29431704.0,29431704.0,116892918.0,299770.0,116593148.0,0.0,299770.0,WestLowland,Therys
9,1160563.0,0.0,1160563.0,5414690.0,0.0,163430530.0,163430530.0,7263745.0,1663783.0,5599962.0,0.0,1663783.0,CentralSouth,Therys
10,1507315.0,0.0,1507315.0,11372765.0,0.0,212260136.0,212260136.0,13920694.0,2160952.0,11759742.0,0.0,2160952.0,CentralNorth,Therys
11,206326.0,66679.0,273005.0,4288076.0,433763547.0,40425516.0,474189064.0,6637210.0,335972.0,4434867.0,1866371.0,2202343.0,NorthHorst,Therys
12,838735.0,0.0,838735.0,429945.0,0.0,118110626.0,118110626.0,1647490.0,1202765.0,444726.0,0.0,1202765.0,CentralRamp,Therys
13,3783311.0,0.0,3783311.0,5221492.0,0.0,532765832.0,532765832.0,10827179.0,5427117.0,5400062.0,0.0,5427117.0,CentralHorst,Therys
14,0.0,0.0,0.0,18780246.0,0.0,0.0,0.0,19408648.0,0.0,19408648.0,0.0,0.0,EastLowland,Therys
15,45361.0,0.0,45361.0,78033180.0,0.0,6387674.0,6387674.0,80744888.0,65051.0,80679837.0,0.0,65051.0,WestLowland,Volon
16,2028659.0,0.0,2028659.0,36690324.0,0.0,285675762.0,285675762.0,40846793.0,2907972.0,37938821.0,0.0,2907972.0,CentralSouth,Volon
17,303090.0,0.0,303090.0,5795033.0,0.0,42681119.0,42681119.0,6426503.0,434459.0,5992044.0,0.0,434459.0,CentralNorth,Volon
18,215090.0,24125.0,239216.0,1688121.0,156232113.0,42142658.0,198374771.0,2767762.0,350240.0,1745804.0,671718.0,1021958.0,NorthHorst,Volon
19,776772.0,0.0,776772.0,1350063.0,0.0,109384985.0,109384985.0,2509964.0,1113653.0,1396311.0,0.0,1113653.0,CentralRamp,Volon
20,7396500.0,0.0,7396500.0,8996438.0,0.0,1041575194.0,1041575194.0,19911747.0,10607431.0,9304316.0,0.0,10607431.0,CentralHorst,Volon
21,0.0,0.0,0.0,34374229.0,0.0,0.0,0.0,35533807.0,0.0,35533807.0,0.0,0.0,EastLowland,Volon
