WELLMODEL,CONBPRES,CONJPOS,PRESSURE,DEPTH,WELL,CONKPOS,SWAT,SGAS,CONIDX,DATE,CONIPOS,DRAWDOWN
STANDARD,300.6793212890625,30,300.6793212890625,1639.3663330078125,R_A2,1,0.05137090012431145,0.0,1,2018-01-01,22,0
STANDARD,300.7967529296875,30,300.7967529296875,1641.11767578125,R_A2,2,0.053894635289907455,0.0,2,2018-01-01,22,0
STANDARD,300.9141845703125,30,300.9141845703125,1642.8690185546875,R_A2,3,0.0574786514043808,0.0,3,2018-01-01,22,0
STANDARD,301.0316467285156,30,301.0316467285156,1644.6204833984375,R_A2,4,0.06344053149223328,0.0,4,2018-01-01,22,0
STANDARD,301.1490783691406,30,301.1490783691406,1646.371826171875,R_A2,5,0.06483278423547745,0.0,5,2018-01-01,22,0
STANDARD,301.26654052734375,30,301.26654052734375,1648.123291015625,R_A2,6,0.3013479709625244,0.0,6,2018-01-01,22,0
STANDARD,301.38397216796875,30,301.38397216796875,1649.87451171875,R_A2,7,0.8674705028533936,0.0,7,2018-01-01,22,0
STANDARD,301.5014343261719,30,301.5014343261719,1651.6259765625,R_A2,8,0.8628208637237549,0.0,8,2018-01-01,22,0
STANDARD,301.618896484375,30,301.618896484375,1653.3773193359375,R_A2,9,0.8787744641304016,0.0,9,2018-01-01,22,0
STANDARD,301.7363586425781,30,301.7363586425781,1655.128662109375,R_A2,10,0.8845635056495667,0.0,10,2018-01-01,22,0
STANDARD,301.8663330078125,30,301.8663330078125,1657.066650390625,R_A2,11,0.06734371930360794,0.0,11,2018-01-01,22,0
STANDARD,302.00885009765625,30,302.00885009765625,1659.191162109375,R_A2,12,0.07522226870059967,0.0,12,2018-01-01,22,0
STANDARD,302.1513366699219,30,302.1513366699219,1661.3157958984375,R_A2,13,0.42344051599502563,0.0,13,2018-01-01,22,0
STANDARD,302.2938537597656,30,302.2938537597656,1663.4404296875,R_A2,14,0.4582083523273468,0.0,14,2018-01-01,22,0
STANDARD,302.4363708496094,30,302.4363708496094,1665.56494140625,R_A2,15,0.9011152386665344,0.0,15,2018-01-01,22,0
STANDARD,302.57891845703125,30,302.57891845703125,1667.6895751953125,R_A2,16,0.9007874131202698,0.0,16,2018-01-01,22,0
STANDARD,302.721435546875,30,302.721435546875,1669.814208984375,R_A2,17,0.8775460124015808,0.0,17,2018-01-01,22,0
STANDARD,302.82537841796875,30,302.82537841796875,1671.363525390625,R_A2,18,0.9226327538490295,0.0,18,2018-01-01,22,0
STANDARD,302.9148864746094,30,302.9148864746094,1672.69775390625,R_A2,26,0.8157224059104919,0.0,19,2018-01-01,22,0
STANDARD,303.3891906738281,29,303.3891906738281,1679.76708984375,R_A2,26,0.7960889339447021,0.0,20,2018-01-01,22,0
STANDARD,303.8172607421875,29,303.8172607421875,1681.5164794921875,R_A2,27,1.0,0.0,21,2018-01-01,22,0
STANDARD,303.9830322265625,29,303.9830322265625,1683.2659912109375,R_A2,28,1.0,0.0,22,2018-01-01,22,0
STANDARD,304.1488037109375,29,304.1488037109375,1685.015380859375,R_A2,29,1.0,0.0,23,2018-01-01,22,0
STANDARD,304.3146057128906,29,304.3146057128906,1686.764892578125,R_A2,30,1.0,0.0,24,2018-01-01,22,0
STANDARD,298.5928039550781,41,298.5928039550781,1608.24072265625,R_A3,1,0.6481541991233826,0.0,1,2018-01-01,28,0
