DRAWDOWN,CONJPOS,SGAS,CONKPOS,SWAT,DEPTH,CONIDX,DATE,WELL,PRESSURE,CONIPOS,CONBPRES,WELLMODEL
0,30,0.0,1,0.10821601003408432,1641.094970703125,1,2018-01-01,R_A2,300.6733093261719,22,300.6733093261719,STANDARD
0,30,0.0,2,0.11058630049228668,1642.8890380859375,2,2018-01-01,R_A2,300.7936096191406,22,300.7936096191406,STANDARD
0,30,0.0,3,0.07774579524993896,1644.68310546875,3,2018-01-01,R_A2,300.9139099121094,22,300.9139099121094,STANDARD
0,30,0.0,4,0.06678543984889984,1646.4771728515625,4,2018-01-01,R_A2,301.0342102050781,22,301.0342102050781,STANDARD
0,30,0.0,5,0.07244458049535751,1648.2713623046875,5,2018-01-01,R_A2,301.1545104980469,22,301.1545104980469,STANDARD
0,30,0.0,6,0.1185254231095314,1650.0654296875,6,2018-01-01,R_A2,301.27484130859375,22,301.27484130859375,STANDARD
0,30,0.0,7,0.6481541991233826,1651.859619140625,7,2018-01-01,R_A2,301.3951721191406,22,301.3951721191406,STANDARD
0,30,0.0,8,0.6481541991233826,1653.6536865234375,8,2018-01-01,R_A2,301.5154724121094,22,301.5154724121094,STANDARD
0,30,0.0,9,0.1735297441482544,1655.44775390625,9,2018-01-01,R_A2,301.63580322265625,22,301.63580322265625,STANDARD
0,30,0.0,10,0.32667964696884155,1657.2418212890625,10,2018-01-01,R_A2,301.7561340332031,22,301.7561340332031,STANDARD
0,30,0.0,11,0.07769951224327087,1659.1368408203125,11,2018-01-01,R_A2,301.88323974609375,22,301.88323974609375,STANDARD
0,30,0.0,12,0.07633190602064133,1661.132568359375,12,2018-01-01,R_A2,302.01708984375,22,302.01708984375,STANDARD
0,30,0.0,13,0.4555773138999939,1663.12841796875,13,2018-01-01,R_A2,302.1509704589844,22,302.1509704589844,STANDARD
0,30,0.0,14,0.49689048528671265,1665.1241455078125,14,2018-01-01,R_A2,302.28485107421875,22,302.28485107421875,STANDARD
0,30,0.0,15,0.697963297367096,1667.1199951171875,15,2018-01-01,R_A2,302.4187316894531,22,302.4187316894531,STANDARD
0,30,0.0,16,0.9702016711235046,1669.11572265625,16,2018-01-01,R_A2,302.5526123046875,22,302.5526123046875,STANDARD
0,30,0.0,17,0.9523286819458008,1671.111572265625,17,2018-01-01,R_A2,302.6864929199219,22,302.6864929199219,STANDARD
0,30,0.0,18,0.9832528829574585,1672.9881591796875,18,2018-01-01,R_A2,302.8123779296875,22,302.8123779296875,STANDARD
0,29,0.0,18,0.9928692579269409,1674.229736328125,19,2018-01-01,R_A2,302.89569091796875,22,302.89569091796875,STANDARD
0,29,0.0,27,0.6481541991233826,1676.1676025390625,20,2018-01-01,R_A2,303.02569580078125,22,303.02569580078125,STANDARD
0,29,0.0,28,1.0,1677.9368896484375,21,2018-01-01,R_A2,303.47802734375,22,303.47802734375,STANDARD
0,29,0.0,29,1.0,1679.7061767578125,22,2018-01-01,R_A2,303.64569091796875,22,303.64569091796875,STANDARD
0,29,0.0,30,1.0,1681.4754638671875,23,2018-01-01,R_A2,303.8133544921875,22,303.8133544921875,STANDARD
0,29,0.0,31,1.0,1683.2447509765625,24,2018-01-01,R_A2,303.98101806640625,22,303.98101806640625,STANDARD
0,41,0.0,1,0.1351146101951599,1609.243408203125,1,2018-01-01,R_A3,298.53814697265625,28,298.53814697265625,STANDARD
0,41,0.0,2,0.11823459714651108,1611.3077392578125,2,2018-01-01,R_A3,298.676513671875,28,298.676513671875,STANDARD
0,41,0.0,3,0.12243370711803436,1613.3720703125,3,2018-01-01,R_A3,298.8148498535156,28,298.8148498535156,STANDARD
0,41,0.0,4,0.24829745292663574,1615.4365234375,4,2018-01-01,R_A3,298.9532165527344,28,298.9532165527344,STANDARD
0,41,0.0,5,0.6481541991233826,1617.5008544921875,5,2018-01-01,R_A3,299.0915832519531,28,299.0915832519531,STANDARD
0,41,0.0,6,0.3404858112335205,1619.565185546875,6,2018-01-01,R_A3,299.2299499511719,28,299.2299499511719,STANDARD
0,41,0.0,6,0.6481541991233826,1609.3663330078125,7,2018-01-01,R_A3,298.54638671875,29,298.54638671875,STANDARD
0,41,0.0,7,0.1983322650194168,1611.4163818359375,8,2018-01-01,R_A3,298.68377685546875,29,298.68377685546875,STANDARD
0,41,0.0,8,0.20094092190265656,1613.46630859375,9,2018-01-01,R_A3,298.8211669921875,29,298.8211669921875,STANDARD
0,41,0.0,9,0.6481541991233826,1615.516357421875,10,2018-01-01,R_A3,298.95855712890625,29,298.95855712890625,STANDARD
0,41,0.0,10,0.7979751825332642,1617.5662841796875,11,2018-01-01,R_A3,299.095947265625,29,299.095947265625,STANDARD
0,41,0.0,11,0.05079192295670509,1619.750732421875,12,2018-01-01,R_A3,299.24237060546875,29,299.24237060546875,STANDARD
0,41,0.0,12,0.05455172061920166,1622.0697021484375,13,2018-01-01,R_A3,299.3978271484375,29,299.3978271484375,STANDARD
0,41,0.0,13,0.3680056035518646,1624.388671875,14,2018-01-01,R_A3,299.5532531738281,29,299.5532531738281,STANDARD
0,41,0.0,14,0.3714577257633209,1626.707763671875,15,2018-01-01,R_A3,299.7087097167969,29,299.7087097167969,STANDARD
0,41,0.0,15,0.4909714162349701,1629.026611328125,16,2018-01-01,R_A3,299.8641662597656,29,299.8641662597656,STANDARD
0,41,0.0,16,0.8089039921760559,1630.9468994140625,17,2018-01-01,R_A3,299.992919921875,29,299.992919921875,STANDARD
0,41,0.0,27,0.3014692962169647,1633.5262451171875,18,2018-01-01,R_A3,300.16583251953125,29,300.16583251953125,STANDARD
0,41,0.0,28,0.044041041284799576,1637.1630859375,19,2018-01-01,R_A3,300.40966796875,29,300.40966796875,STANDARD
0,41,0.0,29,0.08846355974674225,1640.8001708984375,20,2018-01-01,R_A3,300.6535339355469,29,300.6535339355469,STANDARD
0,41,0.0,30,1.0,1644.4371337890625,21,2018-01-01,R_A3,300.89739990234375,29,300.89739990234375,STANDARD
0,41,0.0,31,0.06317919492721558,1648.0740966796875,22,2018-01-01,R_A3,301.14129638671875,29,301.14129638671875,STANDARD
0,52,0.0,1,0.05148448422551155,1631.1873779296875,1,2018-01-01,R_A4,300.009033203125,30,300.009033203125,STANDARD
0,52,0.0,1,0.04942012205719948,1627.4293212890625,2,2018-01-01,R_A4,299.7571105957031,31,299.7571105957031,STANDARD
0,52,0.0,2,0.05094006285071373,1629.4896240234375,3,2018-01-01,R_A4,299.89520263671875,31,299.89520263671875,STANDARD
0,52,0.0,3,0.05282565578818321,1631.5498046875,4,2018-01-01,R_A4,300.0333251953125,31,300.0333251953125,STANDARD
0,52,0.0,4,0.059012703597545624,1633.610107421875,5,2018-01-01,R_A4,300.17144775390625,31,300.17144775390625,STANDARD
0,52,0.0,4,0.05643600597977638,1632.3968505859375,6,2018-01-01,R_A4,300.0901184082031,32,300.0901184082031,STANDARD
0,51,0.0,4,0.05788363516330719,1635.880615234375,7,2018-01-01,R_A4,300.3236999511719,32,300.3236999511719,STANDARD
0,51,0.0,4,0.058634817600250244,1637.321044921875,8,2018-01-01,R_A4,300.4202575683594,33,300.4202575683594,STANDARD
0,51,0.0,3,0.05906778573989868,1635.474609375,9,2018-01-01,R_A4,300.29644775390625,33,300.29644775390625,STANDARD
0,50,0.0,4,0.13861097395420074,1642.1485595703125,10,2018-01-01,R_A4,300.74395751953125,33,300.74395751953125,STANDARD
0,50,0.0,4,0.13421428203582764,1641.132080078125,11,2018-01-01,R_A4,300.67578125,34,300.67578125,STANDARD
0,50,0.0,3,0.1400769203901291,1639.20703125,12,2018-01-01,R_A4,300.5467224121094,34,300.5467224121094,STANDARD
0,50,0.0,3,0.23393802344799042,1640.9061279296875,13,2018-01-01,R_A4,300.66064453125,35,300.66064453125,STANDARD
0,50,0.0,2,0.22923102974891663,1639.0426025390625,14,2018-01-01,R_A4,300.53570556640625,35,300.53570556640625,STANDARD
