DATE,SGAS,CONJPOS,WELLMODEL,DEPTH,CONIPOS,CONIDX,CONBPRES,WELL,CONKPOS,PRESSURE,SWAT,DRAWDOWN
2018-01-01,0.0,30,STANDARD,1640.2137451171875,22,1,300.4845275878906,R_A2,1,300.4845275878906,0.0584418922662735,0
2018-01-01,0.0,30,STANDARD,1641.9759521484375,22,2,300.6026611328125,R_A2,2,300.6026611328125,0.06133757159113884,0
2018-01-01,0.0,30,STANDARD,1643.7381591796875,22,3,300.7208251953125,R_A2,3,300.7208251953125,0.0653541162610054,0
2018-01-01,0.0,30,STANDARD,1645.5003662109375,22,4,300.8389892578125,R_A2,4,300.8389892578125,0.07263199985027313,0
2018-01-01,0.0,30,STANDARD,1647.2625732421875,22,5,300.9571533203125,R_A2,5,300.9571533203125,0.07451339811086655,0
2018-01-01,0.0,30,STANDARD,1649.0247802734375,22,6,301.0753479003906,R_A2,6,301.0753479003906,0.12145018577575684,0
2018-01-01,0.0,30,STANDARD,1650.7869873046875,22,7,301.1935119628906,R_A2,7,301.1935119628906,0.17158272862434387,0
2018-01-01,0.0,30,STANDARD,1652.5491943359375,22,8,301.3116760253906,R_A2,8,301.3116760253906,0.9001007080078125,0
2018-01-01,0.0,30,STANDARD,1654.3114013671875,22,9,301.42987060546875,R_A2,9,301.42987060546875,0.6481541991233826,0
2018-01-01,0.0,30,STANDARD,1656.0736083984375,22,10,301.5480651855469,R_A2,10,301.5480651855469,0.9321826696395874,0
2018-01-01,0.0,30,STANDARD,1657.9468994140625,22,11,301.6736755371094,R_A2,11,301.6736755371094,0.08422292023897171,0
2018-01-01,0.0,30,STANDARD,1659.9312744140625,22,12,301.8067932128906,R_A2,12,301.8067932128906,0.07996337860822678,0
2018-01-01,0.0,30,STANDARD,1661.9156494140625,22,13,301.93988037109375,R_A2,13,301.93988037109375,0.495625376701355,0
2018-01-01,0.0,30,STANDARD,1663.9000244140625,22,14,302.0729675292969,R_A2,14,302.0729675292969,0.563582718372345,0
2018-01-01,0.0,30,STANDARD,1665.8843994140625,22,15,302.2060852050781,R_A2,15,302.2060852050781,0.9789945483207703,0
2018-01-01,0.0,30,STANDARD,1667.8687744140625,22,16,302.3392028808594,R_A2,16,302.3392028808594,0.9937471747398376,0
2018-01-01,0.0,29,STANDARD,1670.057861328125,22,17,302.4860534667969,R_A2,16,302.4860534667969,1.0,0
2018-01-01,0.0,29,STANDARD,1672.170166015625,22,18,302.62774658203125,R_A2,17,302.62774658203125,0.9961947202682495,0
2018-01-01,0.0,29,STANDARD,1674.0751953125,22,19,302.96343994140625,R_A2,18,302.96343994140625,1.0,0
2018-01-01,0.0,29,STANDARD,1675.961669921875,22,20,303.2908630371094,R_A2,25,303.2908630371094,1.0,0
2018-01-01,0.0,29,STANDARD,1677.72412109375,22,21,303.4578857421875,R_A2,26,303.4578857421875,1.0,0
2018-01-01,0.0,29,STANDARD,1679.486572265625,22,22,303.6249084472656,R_A2,27,303.6249084472656,1.0,0
2018-01-01,0.0,29,STANDARD,1681.2491455078125,22,23,303.7919006347656,R_A2,28,303.7919006347656,1.0,0
2018-01-01,0.0,29,STANDARD,1683.0115966796875,22,24,303.95892333984375,R_A2,29,303.95892333984375,1.0,0
2018-01-01,0.0,41,STANDARD,1608.6748046875,28,1,298.37042236328125,R_A3,1,298.37042236328125,0.6481541991233826,0
2018-01-01,0.0,41,STANDARD,1610.72509765625,28,2,298.5078125,R_A3,2,298.5078125,0.2022952437400818,0
2018-01-01,0.0,41,STANDARD,1612.775390625,28,3,298.6452331542969,R_A3,3,298.6452331542969,0.13372142612934113,0
2018-01-01,0.0,41,STANDARD,1602.994384765625,29,4,297.9897766113281,R_A3,3,297.9897766113281,0.19012023508548737,0
2018-01-01,0.0,41,STANDARD,1605.0521240234375,29,5,298.1276550292969,R_A3,4,298.1276550292969,0.18074852228164673,0
2018-01-01,0.0,41,STANDARD,1607.10986328125,29,6,298.2655334472656,R_A3,5,298.2655334472656,0.8171915411949158,0
2018-01-01,0.0,41,STANDARD,1609.1676025390625,29,7,298.4034423828125,R_A3,6,298.4034423828125,0.20991314947605133,0
2018-01-01,0.0,41,STANDARD,1611.225341796875,29,8,298.5413513183594,R_A3,7,298.5413513183594,0.1748642772436142,0
2018-01-01,0.0,41,STANDARD,1613.2830810546875,29,9,298.67926025390625,R_A3,8,298.67926025390625,0.2032627910375595,0
2018-01-01,0.0,41,STANDARD,1615.3408203125,29,10,298.8171691894531,R_A3,9,298.8171691894531,0.8090784549713135,0
2018-01-01,0.0,41,STANDARD,1617.3985595703125,29,11,298.955078125,R_A3,10,298.955078125,0.809430718421936,0
2018-01-01,0.0,41,STANDARD,1619.622314453125,29,12,299.1041259765625,R_A3,11,299.1041259765625,0.04929474741220474,0
2018-01-01,0.0,41,STANDARD,1622.011962890625,29,13,299.2642822265625,R_A3,12,299.2642822265625,0.05876592546701431,0
2018-01-01,0.0,41,STANDARD,1624.4017333984375,29,14,299.4244689941406,R_A3,13,299.4244689941406,0.37859565019607544,0
2018-01-01,0.0,41,STANDARD,1626.7913818359375,29,15,299.58465576171875,R_A3,14,299.58465576171875,0.22437620162963867,0
2018-01-01,0.0,41,STANDARD,1629.18115234375,29,16,299.744873046875,R_A3,15,299.744873046875,0.5189341306686401,0
2018-01-01,0.0,41,STANDARD,1631.1463623046875,29,17,299.8766174316406,R_A3,16,299.8766174316406,0.8138890862464905,0
2018-01-01,0.0,41,STANDARD,1633.78466796875,29,18,300.053466796875,R_A3,25,300.053466796875,0.3922293186187744,0
2018-01-01,0.0,41,STANDARD,1637.5203857421875,29,19,300.3039245605469,R_A3,26,300.3039245605469,0.04810565710067749,0
2018-01-01,0.0,41,STANDARD,1641.2559814453125,29,20,300.5544128417969,R_A3,27,300.5544128417969,0.055820345878601074,0
2018-01-01,0.0,41,STANDARD,1644.99169921875,29,21,300.8049011230469,R_A3,28,300.8049011230469,0.6481541991233826,0
2018-01-01,0.0,41,STANDARD,1648.7274169921875,29,22,301.0553894042969,R_A3,29,301.0553894042969,0.07187920063734055,0
2018-01-01,0.0,52,STANDARD,1630.86669921875,30,1,299.85784912109375,R_A4,1,299.85784912109375,0.054793618619441986,0
2018-01-01,0.0,52,STANDARD,1626.56591796875,31,2,299.5695495605469,R_A4,1,299.5695495605469,0.050820909440517426,0
2018-01-01,0.0,52,STANDARD,1628.6346435546875,31,3,299.7082214355469,R_A4,2,299.7082214355469,0.053415823727846146,0
2018-01-01,0.0,52,STANDARD,1630.703369140625,31,4,299.8468933105469,R_A4,3,299.8468933105469,0.05558464303612709,0
2018-01-01,0.0,52,STANDARD,1632.7720947265625,31,5,299.985595703125,R_A4,4,299.985595703125,0.057005930691957474,0
2018-01-01,0.0,52,STANDARD,1632.331298828125,32,6,299.9560546875,R_A4,4,299.9560546875,0.05874742567539215,0
2018-01-01,0.0,52,STANDARD,1634.2010498046875,32,7,300.0813903808594,R_A4,5,300.0813903808594,0.08084800094366074,0
2018-01-01,0.0,51,STANDARD,1635.6280517578125,32,8,300.17706298828125,R_A4,5,300.17706298828125,0.060598284006118774,0
2018-01-01,0.0,51,STANDARD,1633.83349609375,32,9,300.0567626953125,R_A4,4,300.0567626953125,0.06120836362242699,0
2018-01-01,0.0,51,STANDARD,1636.159423828125,33,10,300.2126770019531,R_A4,4,300.2126770019531,0.063749298453331,0
2018-01-01,0.0,51,STANDARD,1637.983154296875,33,11,300.3349609375,R_A4,5,300.3349609375,0.1941460520029068,0
2018-01-01,0.0,50,STANDARD,1644.561279296875,33,12,300.7760314941406,R_A4,5,300.7760314941406,0.1068299412727356,0
2018-01-01,0.0,50,STANDARD,1643.7366943359375,34,13,300.7207336425781,R_A4,5,300.7207336425781,0.06614348292350769,0
2018-01-01,0.0,50,STANDARD,1641.8642578125,34,14,300.5951843261719,R_A4,4,300.5951843261719,0.06874073296785355,0
2018-01-01,0.0,50,STANDARD,1639.9918212890625,34,15,300.4696350097656,R_A4,3,300.4696350097656,0.06818152219057083,0
2018-01-01,0.0,50,STANDARD,1641.0166015625,35,16,300.5383605957031,R_A4,3,300.5383605957031,0.06826082617044449,0
2018-01-01,0.0,50,STANDARD,1639.2236328125,35,17,300.4181213378906,R_A4,2,300.4181213378906,0.2378867119550705,0
2018-01-01,0.0,50,STANDARD,1637.4306640625,35,18,300.29791259765625,R_A4,1,300.29791259765625,0.23126278817653656,0
2018-01-01,0.0,49,STANDARD,1642.70458984375,35,19,300.6515197753906,R_A4,1,300.6515197753906,0.2505168318748474,0
