SWAT,CONJPOS,DATE,CONBPRES,WELLMODEL,SGAS,WELL,PRESSURE,DRAWDOWN,DEPTH,CONKPOS,CONIDX,CONIPOS
0.05321109667420387,30,2018-01-01,300.81719970703125,STANDARD,0.0,R_A2,300.81719970703125,0,1641.253662109375,1,1,22
0.05460413545370102,30,2018-01-01,300.936279296875,STANDARD,0.0,R_A2,300.936279296875,0,1643.0296630859375,2,2,22
0.05760123208165169,30,2018-01-01,301.0553894042969,STANDARD,0.0,R_A2,301.0553894042969,0,1644.8056640625,3,3,22
0.0646345466375351,30,2018-01-01,301.17449951171875,STANDARD,0.0,R_A2,301.17449951171875,0,1646.5816650390625,4,4,22
0.06605019420385361,30,2018-01-01,301.2935791015625,STANDARD,0.0,R_A2,301.2935791015625,0,1648.357666015625,5,5,22
0.3050471544265747,30,2018-01-01,301.4126892089844,STANDARD,0.0,R_A2,301.4126892089844,0,1650.1337890625,6,6,22
0.8704552054405212,30,2018-01-01,301.53179931640625,STANDARD,0.0,R_A2,301.53179931640625,0,1651.9097900390625,7,7,22
0.6481541991233826,30,2018-01-01,301.6509094238281,STANDARD,0.0,R_A2,301.6509094238281,0,1653.685791015625,8,8,22
0.12277834862470627,30,2018-01-01,301.7700500488281,STANDARD,0.0,R_A2,301.7700500488281,0,1655.4617919921875,9,9,22
0.8844813108444214,30,2018-01-01,301.88916015625,STANDARD,0.0,R_A2,301.88916015625,0,1657.2379150390625,10,10,22
0.06761321425437927,30,2018-01-01,302.0169982910156,STANDARD,0.0,R_A2,302.0169982910156,0,1659.1436767578125,11,11,22
0.06902776658535004,30,2018-01-01,302.15350341796875,STANDARD,0.0,R_A2,302.15350341796875,0,1661.178955078125,12,12,22
0.41864433884620667,30,2018-01-01,302.2900390625,STANDARD,0.0,R_A2,302.2900390625,0,1663.21435546875,13,13,22
0.47555777430534363,30,2018-01-01,302.42657470703125,STANDARD,0.0,R_A2,302.42657470703125,0,1665.2496337890625,14,14,22
0.9066659212112427,30,2018-01-01,302.5631103515625,STANDARD,0.0,R_A2,302.5631103515625,0,1667.2850341796875,15,15,22
0.9263613820075989,30,2018-01-01,302.69964599609375,STANDARD,0.0,R_A2,302.69964599609375,0,1669.3203125,16,16,22
0.8913393020629883,29,2018-01-01,302.80340576171875,STANDARD,0.0,R_A2,302.80340576171875,0,1670.8671875,16,17,22
0.8875341415405273,29,2018-01-01,302.945068359375,STANDARD,0.0,R_A2,302.945068359375,0,1672.978271484375,17,18,22
0.965133011341095,29,2018-01-01,303.0751037597656,STANDARD,0.0,R_A2,303.0751037597656,0,1674.916748046875,18,19,22
1.0,29,2018-01-01,303.20135498046875,STANDARD,0.0,R_A2,303.20135498046875,0,1676.79833984375,26,20,22
0.8291198015213013,29,2018-01-01,303.3214416503906,STANDARD,0.0,R_A2,303.3214416503906,0,1678.588134765625,27,21,22
1.0,29,2018-01-01,303.4415283203125,STANDARD,0.0,R_A2,303.4415283203125,0,1680.3778076171875,28,22,22
