CONIDX,WELLMODEL,PRESSURE,DATE,CONBPRES,CONIPOS,CONJPOS,DRAWDOWN,SGAS,SWAT,CONKPOS,WELL,DEPTH
1,STANDARD,300.65032958984375,2018-01-01,300.65032958984375,22,30,0,0.0,0.05246029421687126,1,R_A2,1638.917724609375
2,STANDARD,300.7674560546875,2018-01-01,300.7674560546875,22,30,0,0.0,0.05343884974718094,2,R_A2,1640.6641845703125
3,STANDARD,300.8845520019531,2018-01-01,300.8845520019531,22,30,0,0.0,0.05568390712141991,3,R_A2,1642.4105224609375
4,STANDARD,301.00164794921875,2018-01-01,301.00164794921875,22,30,0,0.0,0.059670500457286835,4,R_A2,1644.1568603515625
5,STANDARD,301.1187744140625,2018-01-01,301.1187744140625,22,30,0,0.0,0.06280498951673508,5,R_A2,1645.9031982421875
6,STANDARD,301.2358703613281,2018-01-01,301.2358703613281,22,30,0,0.0,0.6481541991233826,6,R_A2,1647.649658203125
7,STANDARD,301.3529968261719,2018-01-01,301.3529968261719,22,30,0,0.0,0.8690314292907715,7,R_A2,1649.39599609375
8,STANDARD,301.4701232910156,2018-01-01,301.4701232910156,22,30,0,0.0,0.8516653180122375,8,R_A2,1651.142333984375
9,STANDARD,301.5872497558594,2018-01-01,301.5872497558594,22,30,0,0.0,0.8717144131660461,9,R_A2,1652.8887939453125
10,STANDARD,301.7043762207031,2018-01-01,301.7043762207031,22,30,0,0.0,0.8973211050033569,10,R_A2,1654.63525390625
11,STANDARD,301.83111572265625,2018-01-01,301.83111572265625,22,30,0,0.0,0.06547761708498001,11,R_A2,1656.5250244140625
12,STANDARD,302.1038818359375,2018-01-01,302.1038818359375,22,30,0,0.0,0.4223143458366394,13,R_A2,1660.591796875
13,STANDARD,302.24029541015625,2018-01-01,302.24029541015625,22,30,0,0.0,0.4586469531059265,14,R_A2,1662.6251220703125
14,STANDARD,302.3766784667969,2018-01-01,302.3766784667969,22,30,0,0.0,0.882986843585968,15,R_A2,1664.658447265625
15,STANDARD,302.5130920410156,2018-01-01,302.5130920410156,22,30,0,0.0,0.896159291267395,16,R_A2,1666.6917724609375
16,STANDARD,302.64947509765625,2018-01-01,302.64947509765625,22,30,0,0.0,0.8526328802108765,17,R_A2,1668.72509765625
17,STANDARD,303.0308837890625,2018-01-01,303.0308837890625,22,29,0,0.0,0.9462406635284424,17,R_A2,1674.4100341796875
18,STANDARD,303.14141845703125,2018-01-01,303.14141845703125,22,29,0,0.0,0.9794688820838928,18,R_A2,1676.0576171875
19,STANDARD,303.2396545410156,2018-01-01,303.2396545410156,22,29,0,0.0,1.0,26,R_A2,1677.5216064453125
20,STANDARD,303.3557434082031,2018-01-01,303.3557434082031,22,29,0,0.0,1.0,27,R_A2,1679.251953125
21,STANDARD,303.4718322753906,2018-01-01,303.4718322753906,22,29,0,0.0,0.8627363443374634,28,R_A2,1680.9822998046875
22,STANDARD,303.93060302734375,2018-01-01,303.93060302734375,22,29,0,0.0,1.0,29,R_A2,1682.712646484375
23,STANDARD,304.0945739746094,2018-01-01,304.0945739746094,22,29,0,0.0,1.0,30,R_A2,1684.44287109375
1,STANDARD,298.771240234375,2018-01-01,298.771240234375,28,41,0,0.0,0.6481541991233826,1,R_A3,1610.8865966796875
2,STANDARD,298.90625,2018-01-01,298.90625,28,41,0,0.0,0.11823459714651108,2,R_A3,1612.901123046875
3,STANDARD,298.16827392578125,2018-01-01,298.16827392578125,29,41,0,0.0,0.1425468772649765,2,R_A3,1601.8892822265625
4,STANDARD,298.3079833984375,2018-01-01,298.3079833984375,29,41,0,0.0,0.11823459714651108,3,R_A3,1603.973876953125
5,STANDARD,298.44769287109375,2018-01-01,298.44769287109375,29,41,0,0.0,0.16042757034301758,4,R_A3,1606.05859375
6,STANDARD,298.5873718261719,2018-01-01,298.5873718261719,29,41,0,0.0,0.6698601841926575,5,R_A3,1608.143310546875
7,STANDARD,298.7270812988281,2018-01-01,298.7270812988281,29,41,0,0.0,0.2308736890554428,6,R_A3,1610.2279052734375
8,STANDARD,298.8668212890625,2018-01-01,298.8668212890625,29,41,0,0.0,0.19411617517471313,7,R_A3,1612.3125
9,STANDARD,299.00653076171875,2018-01-01,299.00653076171875,29,41,0,0.0,0.1950497031211853,8,R_A3,1614.397216796875
10,STANDARD,299.1462707519531,2018-01-01,299.1462707519531,29,41,0,0.0,0.7986230254173279,9,R_A3,1616.48193359375
11,STANDARD,299.2859802246094,2018-01-01,299.2859802246094,29,41,0,0.0,0.7990072965621948,10,R_A3,1618.5665283203125
12,STANDARD,299.432373046875,2018-01-01,299.432373046875,29,41,0,0.0,0.04845089465379715,11,R_A3,1620.7506103515625
13,STANDARD,299.58544921875,2018-01-01,299.58544921875,29,41,0,0.0,0.05437944456934929,12,R_A3,1623.033935546875
14,STANDARD,299.738525390625,2018-01-01,299.738525390625,29,41,0,0.0,0.3659955859184265,13,R_A3,1625.3173828125
15,STANDARD,299.8916015625,2018-01-01,299.8916015625,29,41,0,0.0,0.15722236037254333,14,R_A3,1627.600830078125
16,STANDARD,300.044677734375,2018-01-01,300.044677734375,29,41,0,0.0,0.49289458990097046,15,R_A3,1629.88427734375
17,STANDARD,300.1778869628906,2018-01-01,300.1778869628906,29,41,0,0.0,0.8068834543228149,16,R_A3,1631.87109375
18,STANDARD,300.36260986328125,2018-01-01,300.36260986328125,29,41,0,0.0,1.0,26,R_A3,1634.62646484375
19,STANDARD,300.6050720214844,2018-01-01,300.6050720214844,29,41,0,0.0,0.041421715170145035,27,R_A3,1638.24267578125
20,STANDARD,300.8475341796875,2018-01-01,300.8475341796875,29,41,0,0.0,0.049615371972322464,28,R_A3,1641.8587646484375
21,STANDARD,301.09002685546875,2018-01-01,301.09002685546875,29,41,0,0.0,0.6481541991233826,29,R_A3,1645.474853515625
22,STANDARD,301.3325500488281,2018-01-01,301.3325500488281,29,41,0,0.0,0.06225071847438812,30,R_A3,1649.091064453125
1,STANDARD,299.9296569824219,2018-01-01,299.9296569824219,30,52,0,0.0,0.04837733134627342,1,R_A4,1628.1688232421875
2,STANDARD,299.6475524902344,2018-01-01,299.6475524902344,31,52,0,0.0,0.046402160078287125,1,R_A4,1623.96044921875
