SWAT,CONIPOS,PRESSURE,SGAS,CONIDX,CONKPOS,DRAWDOWN,CONJPOS,WELLMODEL,DATE,WELL,CONBPRES,DEPTH
0.05572303757071495,22,300.7491149902344,0.0,1,1,0,30,STANDARD,2018-01-01,R_A2,300.7491149902344,1641.8916015625
0.05965548753738403,22,300.8741455078125,0.0,2,2,0,30,STANDARD,2018-01-01,R_A2,300.8741455078125,1643.7562255859375
0.06231488287448883,22,300.9991760253906,0.0,3,3,0,30,STANDARD,2018-01-01,R_A2,300.9991760253906,1645.6209716796875
0.06817402690649033,22,301.1242370605469,0.0,4,4,0,30,STANDARD,2018-01-01,R_A2,301.1242370605469,1647.485595703125
0.0703938826918602,22,301.2492980957031,0.0,5,5,0,30,STANDARD,2018-01-01,R_A2,301.2492980957031,1649.350341796875
0.3169479966163635,22,301.37432861328125,0.0,6,6,0,30,STANDARD,2018-01-01,R_A2,301.37432861328125,1651.2149658203125
0.8981741070747375,22,301.4993896484375,0.0,7,7,0,30,STANDARD,2018-01-01,R_A2,301.4993896484375,1653.0797119140625
0.8899019360542297,22,301.62445068359375,0.0,8,8,0,30,STANDARD,2018-01-01,R_A2,301.62445068359375,1654.9443359375
0.6481541991233826,22,301.74951171875,0.0,9,9,0,30,STANDARD,2018-01-01,R_A2,301.74951171875,1656.80908203125
0.16531148552894592,22,301.87457275390625,0.0,10,10,0,30,STANDARD,2018-01-01,R_A2,301.87457275390625,1658.673828125
0.07921501994132996,22,302.0060119628906,0.0,11,11,0,30,STANDARD,2018-01-01,R_A2,302.0060119628906,1660.633056640625
0.08233364671468735,22,302.1437683105469,0.0,12,12,0,30,STANDARD,2018-01-01,R_A2,302.1437683105469,1662.68701171875
0.4550250172615051,22,302.2815246582031,0.0,13,13,0,30,STANDARD,2018-01-01,R_A2,302.2815246582031,1664.7408447265625
0.5203042030334473,22,302.4193115234375,0.0,14,14,0,30,STANDARD,2018-01-01,R_A2,302.4193115234375,1666.794677734375
0.7025701999664307,22,302.5570983886719,0.0,15,15,0,30,STANDARD,2018-01-01,R_A2,302.5570983886719,1668.8485107421875
0.9873383641242981,22,302.69488525390625,0.0,16,16,0,30,STANDARD,2018-01-01,R_A2,302.69488525390625,1670.9024658203125
0.9645785093307495,22,302.8326416015625,0.0,17,17,0,30,STANDARD,2018-01-01,R_A2,302.8326416015625,1672.956298828125
0.9844700694084167,22,302.9669189453125,0.0,18,18,0,30,STANDARD,2018-01-01,R_A2,302.9669189453125,1674.95751953125
0.9949077367782593,22,303.0444030761719,0.0,19,19,0,30,STANDARD,2018-01-01,R_A2,303.0444030761719,1676.112548828125
0.6262338161468506,22,303.12188720703125,0.0,20,27,0,30,STANDARD,2018-01-01,R_A2,303.12188720703125,1677.2674560546875
0.7249178290367126,22,302.8998107910156,0.0,21,27,0,29,STANDARD,2018-01-01,R_A2,302.8998107910156,1673.9573974609375
1.0,22,303.0181884765625,0.0,22,28,0,29,STANDARD,2018-01-01,R_A2,303.0181884765625,1675.7215576171875
1.0,22,303.13653564453125,0.0,23,29,0,29,STANDARD,2018-01-01,R_A2,303.13653564453125,1677.48583984375
1.0,22,303.60247802734375,0.0,24,30,0,29,STANDARD,2018-01-01,R_A2,303.60247802734375,1679.25
1.0,22,303.7696533203125,0.0,25,31,0,29,STANDARD,2018-01-01,R_A2,303.7696533203125,1681.01416015625
0.6481541991233826,28,298.6950378417969,0.0,1,1,0,41,STANDARD,2018-01-01,R_A3,298.6950378417969,1611.250244140625
0.6481541991233826,29,297.8840637207031,0.0,2,1,0,41,STANDARD,2018-01-01,R_A3,297.8840637207031,1599.1483154296875
0.2712686061859131,29,298.02471923828125,0.0,3,2,0,41,STANDARD,2018-01-01,R_A3,298.02471923828125,1601.247802734375
0.22710400819778442,29,298.1654052734375,0.0,4,3,0,41,STANDARD,2018-01-01,R_A3,298.1654052734375,1603.34716796875
0.6481541991233826,29,298.30609130859375,0.0,5,4,0,41,STANDARD,2018-01-01,R_A3,298.30609130859375,1605.4466552734375
0.8090634346008301,29,298.44677734375,0.0,6,5,0,41,STANDARD,2018-01-01,R_A3,298.44677734375,1607.5460205078125
