CONKPOS,DEPTH,WELL,DRAWDOWN,CONJPOS,SGAS,CONBPRES,DATE,WELLMODEL,PRESSURE,SWAT,CONIPOS,CONIDX
1,1641.591552734375,R_A2,0,30,0.0,300.70660400390625,2018-01-01,STANDARD,300.70660400390625,0.05682721361517906,22,1
2,1643.255859375,R_A2,0,30,0.0,300.8182067871094,2018-01-01,STANDARD,300.8182067871094,0.059432126581668854,22,2
3,1644.92041015625,R_A2,0,30,0.0,300.9298095703125,2018-01-01,STANDARD,300.9298095703125,0.06174053996801376,22,3
4,1646.5848388671875,R_A2,0,30,0.0,301.04144287109375,2018-01-01,STANDARD,301.04144287109375,0.06720054894685745,22,4
5,1648.249267578125,R_A2,0,30,0.0,301.1530456542969,2018-01-01,STANDARD,301.1530456542969,0.0707971602678299,22,5
6,1649.91357421875,R_A2,0,30,0.0,301.2646484375,2018-01-01,STANDARD,301.2646484375,0.23947378993034363,22,6
7,1651.5780029296875,R_A2,0,30,0.0,301.37628173828125,2018-01-01,STANDARD,301.37628173828125,0.8945242762565613,22,7
8,1653.2425537109375,R_A2,0,30,0.0,301.4879150390625,2018-01-01,STANDARD,301.4879150390625,0.8645824790000916,22,8
9,1654.906982421875,R_A2,0,30,0.0,301.59954833984375,2018-01-01,STANDARD,301.59954833984375,0.8901066184043884,22,9
10,1656.5714111328125,R_A2,0,30,0.0,301.711181640625,2018-01-01,STANDARD,301.711181640625,0.9061199426651001,22,10
11,1658.34716796875,R_A2,0,30,0.0,301.83026123046875,2018-01-01,STANDARD,301.83026123046875,0.07684558629989624,22,11
12,1660.2342529296875,R_A2,0,30,0.0,301.95684814453125,2018-01-01,STANDARD,301.95684814453125,0.0769197940826416,22,12
13,1662.121337890625,R_A2,0,30,0.0,302.08343505859375,2018-01-01,STANDARD,302.08343505859375,0.44561585783958435,22,13
14,1664.008544921875,R_A2,0,30,0.0,302.2099914550781,2018-01-01,STANDARD,302.2099914550781,0.5001885890960693,22,14
15,1665.8956298828125,R_A2,0,30,0.0,302.3365783691406,2018-01-01,STANDARD,302.3365783691406,0.9298779964447021,22,15
16,1667.78271484375,R_A2,0,30,0.0,302.46319580078125,2018-01-01,STANDARD,302.46319580078125,0.9621743559837341,22,16
17,1678.6669921875,R_A2,0,29,0.0,303.3985290527344,2018-01-01,STANDARD,303.3985290527344,1.0,22,17
18,1680.392822265625,R_A2,0,29,0.0,303.56207275390625,2018-01-01,STANDARD,303.56207275390625,1.0,22,18
26,1681.9052734375,R_A2,0,29,0.0,303.5483093261719,2018-01-01,STANDARD,303.5483093261719,1.0,22,19
27,1683.55810546875,R_A2,0,29,0.0,304.0107116699219,2018-01-01,STANDARD,304.0107116699219,1.0,22,20
28,1685.2109375,R_A2,0,29,0.0,304.1673278808594,2018-01-01,STANDARD,304.1673278808594,1.0,22,21
29,1686.8636474609375,R_A2,0,29,0.0,304.323974609375,2018-01-01,STANDARD,304.323974609375,1.0,22,22
30,1688.5164794921875,R_A2,0,29,0.0,304.4805908203125,2018-01-01,STANDARD,304.4805908203125,1.0,22,23
1,1610.462158203125,R_A3,0,41,0.0,298.61981201171875,2018-01-01,STANDARD,298.61981201171875,0.6481541991233826,28,1
2,1612.435791015625,R_A3,0,41,0.0,298.7521057128906,2018-01-01,STANDARD,298.7521057128906,0.19796833395957947,28,2
3,1614.409423828125,R_A3,0,41,0.0,298.8843688964844,2018-01-01,STANDARD,298.8843688964844,0.20135372877120972,28,3
3,1602.9893798828125,R_A3,0,41,0.0,298.1190490722656,2018-01-01,STANDARD,298.1190490722656,0.1870463639497757,29,4
4,1605.0767822265625,R_A3,0,41,0.0,298.2589111328125,2018-01-01,STANDARD,298.2589111328125,0.36946505308151245,29,5
5,1607.1641845703125,R_A3,0,41,0.0,298.3988037109375,2018-01-01,STANDARD,298.3988037109375,0.8162441253662109,29,6
6,1609.2515869140625,R_A3,0,41,0.0,298.5386962890625,2018-01-01,STANDARD,298.5386962890625,0.6481541991233826,29,7
7,1611.3389892578125,R_A3,0,41,0.0,298.6785888671875,2018-01-01,STANDARD,298.6785888671875,0.1975073367357254,29,8
8,1613.4263916015625,R_A3,0,41,0.0,298.8184814453125,2018-01-01,STANDARD,298.8184814453125,0.19778957962989807,29,9
9,1615.5137939453125,R_A3,0,41,0.0,298.9584045410156,2018-01-01,STANDARD,298.9584045410156,0.8045594692230225,29,10
10,1617.601318359375,R_A3,0,41,0.0,299.0982971191406,2018-01-01,STANDARD,299.0982971191406,0.8025810718536377,29,11
11,1619.724853515625,R_A3,0,41,0.0,299.2406311035156,2018-01-01,STANDARD,299.2406311035156,0.050349924713373184,29,12
12,1621.884521484375,R_A3,0,41,0.0,299.3854064941406,2018-01-01,STANDARD,299.3854064941406,0.05370790883898735,29,13
13,1624.044189453125,R_A3,0,41,0.0,299.5301818847656,2018-01-01,STANDARD,299.5301818847656,0.20141302049160004,29,14
14,1626.203857421875,R_A3,0,41,0.0,299.6749572753906,2018-01-01,STANDARD,299.6749572753906,0.39230334758758545,29,15
15,1628.363525390625,R_A3,0,41,0.0,299.8197326660156,2018-01-01,STANDARD,299.8197326660156,0.3558353781700134,29,16
16,1630.4595947265625,R_A3,0,41,0.0,299.9602355957031,2018-01-01,STANDARD,299.9602355957031,0.8017916679382324,29,17
17,1631.6881103515625,R_A3,0,41,0.0,300.0426025390625,2018-01-01,STANDARD,300.0426025390625,0.7968158721923828,29,18
26,1633.758544921875,R_A3,0,41,0.0,300.181396484375,2018-01-01,STANDARD,300.181396484375,1.0,29,19
27,1637.474853515625,R_A3,0,41,0.0,300.4305725097656,2018-01-01,STANDARD,300.4305725097656,0.043967798352241516,29,20
28,1641.1912841796875,R_A3,0,41,0.0,300.67974853515625,2018-01-01,STANDARD,300.67974853515625,0.051839105784893036,29,21
29,1644.90771484375,R_A3,0,41,0.0,300.928955078125,2018-01-01,STANDARD,300.928955078125,1.0,29,22
30,1648.6241455078125,R_A3,0,41,0.0,301.1781921386719,2018-01-01,STANDARD,301.1781921386719,0.10293098539113998,29,23
1,1629.1259765625,R_A4,0,52,0.0,299.8708190917969,2018-01-01,STANDARD,299.8708190917969,0.05090145766735077,30,1
1,1628.5377197265625,R_A4,0,52,0.0,299.8313903808594,2018-01-01,STANDARD,299.8313903808594,0.049834102392196655,31,2
2,1630.5859375,R_A4,0,52,0.0,299.9687194824219,2018-01-01,STANDARD,299.9687194824219,0.053950972855091095,31,3
3,1632.6341552734375,R_A4,0,52,0.0,300.10601806640625,2018-01-01,STANDARD,300.10601806640625,0.05527549237012863,31,4
3,1632.1279296875,R_A4,0,52,0.0,300.07208251953125,2018-01-01,STANDARD,300.07208251953125,0.05520646646618843,32,5
4,1634.02392578125,R_A4,0,52,0.0,300.1991882324219,2018-01-01,STANDARD,300.1991882324219,0.07392732053995132,32,6
4,1636.2947998046875,R_A4,0,51,0.0,300.3514404296875,2018-01-01,STANDARD,300.3514404296875,0.1382323056459427,32,7
3,1634.47607421875,R_A4,0,51,0.0,300.2295227050781,2018-01-01,STANDARD,300.2295227050781,0.05517495051026344,32,8
3,1636.1707763671875,R_A4,0,51,0.0,300.3431396484375,2018-01-01,STANDARD,300.3431396484375,0.058957066386938095,33,9
3,1642.3927001953125,R_A4,0,50,0.0,300.76031494140625,2018-01-01,STANDARD,300.76031494140625,0.06294789165258408,33,10
3,1639.4075927734375,R_A4,0,50,0.0,300.5601501464844,2018-01-01,STANDARD,300.5601501464844,0.06058720499277115,34,11
3,1637.8724365234375,R_A4,0,50,0.0,300.45721435546875,2018-01-01,STANDARD,300.45721435546875,0.060218118131160736,35,12
30,1641.4874267578125,R_A4,0,49,0.0,300.6996154785156,2018-01-01,STANDARD,300.6996154785156,0.1669347882270813,35,13
30,1645.71435546875,R_A4,0,49,0.0,300.9830627441406,2018-01-01,STANDARD,300.9830627441406,0.0608852319419384,36,14
29,1639.8255615234375,R_A4,0,49,0.0,300.58819580078125,2018-01-01,STANDARD,300.58819580078125,0.09126146137714386,36,15
30,1648.437255859375,R_A4,0,48,0.0,301.1656494140625,2018-01-01,STANDARD,301.1656494140625,0.20094139873981476,36,16
29,1642.9176025390625,R_A4,0,48,0.0,300.7955322265625,2018-01-01,STANDARD,300.7955322265625,0.6481541991233826,36,17
29,1648.38134765625,R_A4,0,48,0.0,301.1618957519531,2018-01-01,STANDARD,301.1618957519531,0.2993447482585907,37,18
29,1656.2625732421875,R_A4,0,48,0.0,301.6904602050781,2018-01-01,STANDARD,301.6904602050781,0.11199101060628891,38,19
28,1650.4879150390625,R_A4,0,48,0.0,301.30316162109375,2018-01-01,STANDARD,301.30316162109375,0.06717497855424881,38,20
28,1654.078125,R_A4,0,47,0.0,301.5439453125,2018-01-01,STANDARD,301.5439453125,0.6481541991233826,38,21
1,1684.427001953125,R_A5,0,20,0.0,303.7872619628906,2018-01-01,STANDARD,303.7872619628906,1.0,31,1
2,1686.6614990234375,R_A5,0,20,0.0,303.9990234375,2018-01-01,STANDARD,303.9990234375,1.0,31,2
3,1688.8961181640625,R_A5,0,20,0.0,304.2107849121094,2018-01-01,STANDARD,304.2107849121094,1.0,31,3
4,1691.130615234375,R_A5,0,20,0.0,304.42254638671875,2018-01-01,STANDARD,304.42254638671875,1.0,31,4
5,1693.365234375,R_A5,0,20,0.0,304.63427734375,2018-01-01,STANDARD,304.63427734375,1.0,31,5
6,1695.5997314453125,R_A5,0,20,0.0,304.8460388183594,2018-01-01,STANDARD,304.8460388183594,1.0,31,6
7,1697.8343505859375,R_A5,0,20,0.0,305.36358642578125,2018-01-01,STANDARD,305.36358642578125,1.0,31,7
7,1693.4012451171875,R_A5,0,21,0.0,304.9434814453125,2018-01-01,STANDARD,304.9434814453125,1.0,31,8
11,1702.5250244140625,R_A5,0,21,0.0,305.5024719238281,2018-01-01,STANDARD,305.5024719238281,1.0,31,9
12,1704.43701171875,R_A5,0,21,0.0,305.68365478515625,2018-01-01,STANDARD,305.68365478515625,1.0,31,10
13,1706.348876953125,R_A5,0,21,0.0,305.8768310546875,2018-01-01,STANDARD,305.8768310546875,1.0,31,11
14,1708.2608642578125,R_A5,0,21,0.0,306.0580139160156,2018-01-01,STANDARD,306.0580139160156,1.0,31,12
15,1710.1728515625,R_A5,0,21,0.0,306.2392272949219,2018-01-01,STANDARD,306.2392272949219,1.0,31,13
16,1712.0848388671875,R_A5,0,21,0.0,306.5654296875,2018-01-01,STANDARD,306.5654296875,1.0,31,14
17,1713.98193359375,R_A5,0,21,0.0,306.7452392578125,2018-01-01,STANDARD,306.7452392578125,1.0,31,15
18,1715.546875,R_A5,0,21,0.0,306.8935546875,2018-01-01,STANDARD,306.8935546875,1.0,31,16
26,1717.4669189453125,R_A5,0,21,0.0,306.9184265136719,2018-01-01,STANDARD,306.9184265136719,1.0,31,17
27,1719.7080078125,R_A5,0,21,0.0,307.1308288574219,2018-01-01,STANDARD,307.1308288574219,1.0,31,18
28,1721.9490966796875,R_A5,0,21,0.0,307.6490173339844,2018-01-01,STANDARD,307.6490173339844,1.0,31,19
29,1724.190185546875,R_A5,0,21,0.0,307.8614196777344,2018-01-01,STANDARD,307.8614196777344,1.0,31,20
30,1726.43115234375,R_A5,0,21,0.0,308.0738220214844,2018-01-01,STANDARD,308.0738220214844,1.0,31,21
1,1695.860107421875,R_A6,0,42,0.0,305.176513671875,2018-01-01,STANDARD,305.176513671875,1.0,17,1
2,1697.41455078125,R_A6,0,42,0.0,305.3238220214844,2018-01-01,STANDARD,305.3238220214844,1.0,17,2
3,1698.96923828125,R_A6,0,42,0.0,305.4711608886719,2018-01-01,STANDARD,305.4711608886719,1.0,17,3
4,1700.5238037109375,R_A6,0,42,0.0,305.61846923828125,2018-01-01,STANDARD,305.61846923828125,1.0,17,4
5,1702.078369140625,R_A6,0,42,0.0,305.76580810546875,2018-01-01,STANDARD,305.76580810546875,1.0,17,5
6,1703.633056640625,R_A6,0,42,0.0,305.91314697265625,2018-01-01,STANDARD,305.91314697265625,1.0,17,6
7,1705.1876220703125,R_A6,0,42,0.0,305.76141357421875,2018-01-01,STANDARD,305.76141357421875,1.0,17,7
8,1706.7421875,R_A6,0,42,0.0,306.2077941894531,2018-01-01,STANDARD,306.2077941894531,1.0,17,8
9,1708.2967529296875,R_A6,0,42,0.0,306.3551330566406,2018-01-01,STANDARD,306.3551330566406,1.0,17,9
10,1709.851318359375,R_A6,0,42,0.0,306.1966552734375,2018-01-01,STANDARD,306.1966552734375,1.0,17,10
11,1711.7379150390625,R_A6,0,42,0.0,306.3755798339844,2018-01-01,STANDARD,306.3755798339844,1.0,17,11
12,1713.95654296875,R_A6,0,42,0.0,306.5858459472656,2018-01-01,STANDARD,306.5858459472656,1.0,17,12
13,1716.1751708984375,R_A6,0,42,0.0,306.8080749511719,2018-01-01,STANDARD,306.8080749511719,1.0,17,13
14,1718.393798828125,R_A6,0,42,0.0,307.0183410644531,2018-01-01,STANDARD,307.0183410644531,1.0,17,14
15,1720.612548828125,R_A6,0,42,0.0,307.2286376953125,2018-01-01,STANDARD,307.2286376953125,1.0,17,15
16,1722.8311767578125,R_A6,0,42,0.0,307.58392333984375,2018-01-01,STANDARD,307.58392333984375,1.0,17,16
17,1725.0498046875,R_A6,0,42,0.0,307.794189453125,2018-01-01,STANDARD,307.794189453125,1.0,17,17
18,1726.9110107421875,R_A6,0,42,0.0,307.9706115722656,2018-01-01,STANDARD,307.9706115722656,1.0,17,18
26,1728.528076171875,R_A6,0,42,0.0,307.9667663574219,2018-01-01,STANDARD,307.9667663574219,1.0,17,19
27,1730.2581787109375,R_A6,0,42,0.0,308.1307373046875,2018-01-01,STANDARD,308.1307373046875,1.0,17,20
28,1731.98828125,R_A6,0,42,0.0,308.2947082519531,2018-01-01,STANDARD,308.2947082519531,1.0,17,21
29,1733.71826171875,R_A6,0,42,0.0,308.76446533203125,2018-01-01,STANDARD,308.76446533203125,1.0,17,22
30,1735.448486328125,R_A6,0,42,0.0,308.6226806640625,2018-01-01,STANDARD,308.6226806640625,1.0,17,23
1,1641.591552734375,R_A2,0,30,0.0,297.0408630371094,2018-03-01,STANDARD,297.0408630371094,0.056846391409635544,22,1
2,1643.255859375,R_A2,0,30,0.0,297.15234375,2018-03-01,STANDARD,297.15234375,0.05945054814219475,22,2
3,1644.92041015625,R_A2,0,30,0.0,297.26385498046875,2018-03-01,STANDARD,297.26385498046875,0.06179690733551979,22,3
4,1646.5848388671875,R_A2,0,30,0.0,297.3753662109375,2018-03-01,STANDARD,297.3753662109375,0.06728184968233109,22,4
5,1648.249267578125,R_A2,0,30,0.0,297.4868469238281,2018-03-01,STANDARD,297.4868469238281,0.0709376111626625,22,5
6,1649.91357421875,R_A2,0,30,0.0,297.59832763671875,2018-03-01,STANDARD,297.59832763671875,0.23994001746177673,22,6
7,1651.5780029296875,R_A2,0,30,0.0,297.7209167480469,2018-03-01,STANDARD,297.7209167480469,0.8944064378738403,22,7
8,1653.2425537109375,R_A2,0,30,0.0,297.84136962890625,2018-03-01,STANDARD,297.84136962890625,0.8644315004348755,22,8
9,1654.906982421875,R_A2,0,30,0.0,297.9615783691406,2018-03-01,STANDARD,297.9615783691406,0.8899844288825989,22,9
10,1656.5714111328125,R_A2,0,30,0.0,298.39190673828125,2018-03-01,STANDARD,298.39190673828125,0.9058730602264404,22,10
11,1658.34716796875,R_A2,0,30,0.0,298.66552734375,2018-03-01,STANDARD,298.66552734375,0.07691103219985962,22,11
12,1660.2342529296875,R_A2,0,30,0.0,298.7919921875,2018-03-01,STANDARD,298.7919921875,0.07707162946462631,22,12
13,1662.121337890625,R_A2,0,30,0.0,298.9192810058594,2018-03-01,STANDARD,298.9192810058594,0.446210116147995,22,13
14,1664.008544921875,R_A2,0,30,0.0,299.0476989746094,2018-03-01,STANDARD,299.0476989746094,0.5008482336997986,22,14
15,1665.8956298828125,R_A2,0,30,0.0,299.17755126953125,2018-03-01,STANDARD,299.17755126953125,0.9298102855682373,22,15
16,1667.78271484375,R_A2,0,30,0.0,299.3055725097656,2018-03-01,STANDARD,299.3055725097656,0.9621378183364868,22,16
17,1678.6669921875,R_A2,0,29,-6.755486392506782e-09,300.0158996582031,2018-03-01,STANDARD,300.0158996582031,0.9999999403953552,22,17
18,1680.392822265625,R_A2,0,29,-2.976850543845444e-09,300.1764221191406,2018-03-01,STANDARD,300.1764221191406,0.9999999403953552,22,18
26,1681.9052734375,R_A2,0,29,0.0,300.08050537109375,2018-03-01,STANDARD,300.08050537109375,0.999905526638031,22,19
27,1683.55810546875,R_A2,0,29,-7.050280498299699e-13,301.67437744140625,2018-03-01,STANDARD,301.67437744140625,1.0,22,20
28,1685.2109375,R_A2,0,29,-3.276676483312049e-14,303.0517272949219,2018-03-01,STANDARD,303.0517272949219,1.0,22,21
29,1686.8636474609375,R_A2,0,29,-3.659399596089548e-15,303.78643798828125,2018-03-01,STANDARD,303.78643798828125,1.0,22,22
30,1688.5164794921875,R_A2,0,29,-9.005293247413954e-16,304.1693115234375,2018-03-01,STANDARD,304.1693115234375,1.0,22,23
1,1684.427001953125,R_A5,0,20,-3.255025589343763e-12,277.7330017089844,2018-04-28,STANDARD,277.7330017089844,1.0,31,1
2,1686.6614990234375,R_A5,0,20,-2.8603445566960373e-12,277.94439697265625,2018-04-28,STANDARD,277.94439697265625,1.0,31,2
3,1688.8961181640625,R_A5,0,20,-2.982809528886965e-12,278.15521240234375,2018-04-28,STANDARD,278.15521240234375,1.0,31,3
4,1691.130615234375,R_A5,0,20,-2.9197512463330355e-12,278.36553955078125,2018-04-28,STANDARD,278.36553955078125,1.0,31,4
5,1693.365234375,R_A5,0,20,-2.8204235821838175e-12,278.57684326171875,2018-04-28,STANDARD,278.57684326171875,1.0,31,5
6,1695.5997314453125,R_A5,0,20,-2.6325601854698677e-12,278.7889709472656,2018-04-28,STANDARD,278.7889709472656,1.0,31,6
7,1697.8343505859375,R_A5,0,20,-1.4689992454343555e-14,279.399169921875,2018-04-28,STANDARD,279.399169921875,1.0,31,7
7,1693.4012451171875,R_A5,0,21,-7.219550478276826e-14,278.3784484863281,2018-04-28,STANDARD,278.3784484863281,1.0,31,8
11,1702.5250244140625,R_A5,0,21,-1.881449206500574e-12,278.08929443359375,2018-04-28,STANDARD,278.08929443359375,1.0,31,9
12,1704.43701171875,R_A5,0,21,-1.989021794490675e-12,278.3567199707031,2018-04-28,STANDARD,278.3567199707031,1.0,31,10
13,1706.348876953125,R_A5,0,21,-1.2032489262771284e-13,278.5506591796875,2018-04-28,STANDARD,278.5506591796875,1.0,31,11
14,1708.2608642578125,R_A5,0,21,-1.912865753381926e-13,278.73297119140625,2018-04-28,STANDARD,278.73297119140625,1.0,31,12
15,1710.1728515625,R_A5,0,21,-3.5750651842126474e-14,278.9161071777344,2018-04-28,STANDARD,278.9161071777344,1.0,31,13
16,1712.0848388671875,R_A5,0,21,-4.3106916148595575e-14,279.2487487792969,2018-04-28,STANDARD,279.2487487792969,1.0,31,14
