CONKPOS,DEPTH,WELL,DRAWDOWN,CONJPOS,SGAS,CONBPRES,DATE,WELLMODEL,PRESSURE,SWAT,CONIPOS,CONIDX
17,1713.98193359375,R_A5,0,21,-1.1617046707197362e-14,279.4341735839844,2018-04-28,STANDARD,279.4341735839844,1.0,31,15
18,1715.546875,R_A5,0,21,-1.8995564263256728e-14,279.5849304199219,2018-04-28,STANDARD,279.5849304199219,1.0,31,16
26,1717.4669189453125,R_A5,0,21,-1.6030804071351379e-12,280.6845703125,2018-04-28,STANDARD,280.6845703125,1.0,31,17
27,1719.7080078125,R_A5,0,21,-1.9543850045267153e-12,280.9295349121094,2018-04-28,STANDARD,280.9295349121094,1.0,31,18
28,1721.9490966796875,R_A5,0,21,-1.2429839059066583e-12,282.10760498046875,2018-04-28,STANDARD,282.10760498046875,1.0,31,19
29,1724.190185546875,R_A5,0,21,6.3998939177809375e-18,289.21685791015625,2018-04-28,STANDARD,289.21685791015625,1.0,31,20
30,1726.43115234375,R_A5,0,21,7.561965735758842e-19,283.5301513671875,2018-04-28,STANDARD,283.5301513671875,1.0,31,21
1,1610.462158203125,R_A3,0,41,0.0,283.55438232421875,2018-07-03,STANDARD,283.55438232421875,0.6495873928070068,28,1
2,1612.435791015625,R_A3,0,41,0.0,283.6968688964844,2018-07-03,STANDARD,283.6968688964844,0.19922776520252228,28,2
3,1614.409423828125,R_A3,0,41,0.0,283.8287658691406,2018-07-03,STANDARD,283.8287658691406,0.20362205803394318,28,3
3,1602.9893798828125,R_A3,0,41,0.0,282.92425537109375,2018-07-03,STANDARD,282.92425537109375,0.1884687840938568,29,4
4,1605.0767822265625,R_A3,0,41,0.0,283.09478759765625,2018-07-03,STANDARD,283.09478759765625,0.3753895163536072,29,5
5,1607.1641845703125,R_A3,0,41,0.0,283.6913757324219,2018-07-03,STANDARD,283.6913757324219,0.8052502274513245,29,6
6,1609.2515869140625,R_A3,0,41,0.0,283.8668212890625,2018-07-03,STANDARD,283.8668212890625,0.6491010189056396,29,7
7,1611.3389892578125,R_A3,0,41,0.0,284.02325439453125,2018-07-03,STANDARD,284.02325439453125,0.19824354350566864,29,8
8,1613.4263916015625,R_A3,0,41,0.0,284.16290283203125,2018-07-03,STANDARD,284.16290283203125,0.19925911724567413,29,9
9,1615.5137939453125,R_A3,0,41,0.0,284.4104919433594,2018-07-03,STANDARD,284.4104919433594,0.8028004169464111,29,10
10,1617.601318359375,R_A3,0,41,0.0,285.23828125,2018-07-03,STANDARD,285.23828125,0.8017656803131104,29,11
11,1619.724853515625,R_A3,0,41,0.0,284.9583740234375,2018-07-03,STANDARD,284.9583740234375,0.05048217996954918,29,12
12,1621.884521484375,R_A3,0,41,0.0,285.1026306152344,2018-07-03,STANDARD,285.1026306152344,0.05380367487668991,29,13
13,1624.044189453125,R_A3,0,41,0.0,285.24713134765625,2018-07-03,STANDARD,285.24713134765625,0.20163626968860626,29,14
14,1626.203857421875,R_A3,0,41,0.0,285.75067138671875,2018-07-03,STANDARD,285.75067138671875,0.39275693893432617,29,15
15,1628.363525390625,R_A3,0,41,0.0,285.84100341796875,2018-07-03,STANDARD,285.84100341796875,0.35778185725212097,29,16
16,1630.4595947265625,R_A3,0,41,0.0,286.1918640136719,2018-07-03,STANDARD,286.1918640136719,0.8009613752365112,29,17
17,1631.6881103515625,R_A3,0,41,0.0,286.2759094238281,2018-07-03,STANDARD,286.2759094238281,0.7960226535797119,29,18
26,1633.758544921875,R_A3,0,41,-8.919511240712552e-10,288.45184326171875,2018-07-03,STANDARD,288.45184326171875,1.0,29,19
27,1637.474853515625,R_A3,0,41,0.0,285.8926696777344,2018-07-03,STANDARD,285.8926696777344,0.044180989265441895,29,20
28,1641.1912841796875,R_A3,0,41,0.0,286.1409606933594,2018-07-03,STANDARD,286.1409606933594,0.052058085799217224,29,21
29,1644.90771484375,R_A3,0,41,-5.870288255493961e-09,289.3204650878906,2018-07-03,STANDARD,289.3204650878906,0.9999999403953552,29,22
30,1648.6241455078125,R_A3,0,41,0.0,286.6405334472656,2018-07-03,STANDARD,286.6405334472656,0.10325808078050613,29,23
1,1629.1259765625,R_A4,0,52,0.0,275.468994140625,2018-09-12,STANDARD,275.468994140625,0.05155171826481819,30,1
1,1628.5377197265625,R_A4,0,52,0.0,275.5332336425781,2018-09-12,STANDARD,275.5332336425781,0.04997793212532997,31,2
2,1630.5859375,R_A4,0,52,0.0,275.6695861816406,2018-09-12,STANDARD,275.6695861816406,0.054080963134765625,31,3
3,1632.6341552734375,R_A4,0,52,0.0,275.8060302734375,2018-09-12,STANDARD,275.8060302734375,0.055406901985406876,31,4
3,1632.1279296875,R_A4,0,52,0.0,275.85162353515625,2018-09-12,STANDARD,275.85162353515625,0.05540277063846588,32,5
4,1634.02392578125,R_A4,0,52,0.0,275.9779968261719,2018-09-12,STANDARD,275.9779968261719,0.07425150275230408,32,6
4,1636.2947998046875,R_A4,0,51,0.0,275.89447021484375,2018-09-12,STANDARD,275.89447021484375,0.1386607438325882,32,7
3,1634.47607421875,R_A4,0,51,0.0,275.7730407714844,2018-09-12,STANDARD,275.7730407714844,0.05535166710615158,32,8
3,1636.1707763671875,R_A4,0,51,0.0,275.96453857421875,2018-09-12,STANDARD,275.96453857421875,0.059076614677906036,33,9
3,1642.3927001953125,R_A4,0,50,0.0,276.1063232421875,2018-09-12,STANDARD,276.1063232421875,0.06347155570983887,33,10
3,1639.4075927734375,R_A4,0,50,0.0,276.0635681152344,2018-09-12,STANDARD,276.0635681152344,0.06085523962974548,34,11
3,1637.8724365234375,R_A4,0,50,0.0,276.22247314453125,2018-09-12,STANDARD,276.22247314453125,0.06031451001763344,35,12
30,1641.4874267578125,R_A4,0,49,0.0,275.87841796875,2018-09-12,STANDARD,275.87841796875,0.16219079494476318,35,13
30,1645.71435546875,R_A4,0,49,0.0,276.421630859375,2018-09-12,STANDARD,276.421630859375,0.061355628073215485,36,14
29,1639.8255615234375,R_A4,0,49,0.0,276.0302734375,2018-09-12,STANDARD,276.0302734375,0.09151549637317657,36,15
30,1648.437255859375,R_A4,0,48,0.0,276.443603515625,2018-09-12,STANDARD,276.443603515625,0.1826695054769516,36,16
29,1642.9176025390625,R_A4,0,48,0.0,276.0785217285156,2018-09-12,STANDARD,276.0785217285156,0.6584213376045227,36,17
29,1648.38134765625,R_A4,0,48,0.0,276.78167724609375,2018-09-12,STANDARD,276.78167724609375,0.28868186473846436,37,18
29,1656.2625732421875,R_A4,0,48,0.0,277.6873779296875,2018-09-12,STANDARD,277.6873779296875,0.2227904051542282,38,19
28,1650.4879150390625,R_A4,0,48,0.0,277.2992858886719,2018-09-12,STANDARD,277.2992858886719,0.10062624514102936,38,20
28,1654.078125,R_A4,0,47,0.0,277.5537414550781,2018-09-12,STANDARD,277.5537414550781,0.7231423258781433,38,21
1,1695.860107421875,R_A6,0,42,-6.131781280643844e-14,275.83203125,2018-11-07,STANDARD,275.83203125,1.0,17,1
2,1697.41455078125,R_A6,0,42,-3.631100140618487e-14,275.9770202636719,2018-11-07,STANDARD,275.9770202636719,1.0,17,2
3,1698.96923828125,R_A6,0,42,-2.6716396632421764e-14,276.11810302734375,2018-11-07,STANDARD,276.11810302734375,1.0,17,3
4,1700.5238037109375,R_A6,0,42,-2.3047951147972014e-14,276.2532958984375,2018-11-07,STANDARD,276.2532958984375,1.0,17,4
5,1702.078369140625,R_A6,0,42,-2.689638266338383e-14,276.3852233886719,2018-11-07,STANDARD,276.3852233886719,1.0,17,5
6,1703.633056640625,R_A6,0,42,-6.148164253096458e-14,276.5191955566406,2018-11-07,STANDARD,276.5191955566406,1.0,17,6
7,1705.1876220703125,R_A6,0,42,-2.204966677993303e-12,276.35980224609375,2018-11-07,STANDARD,276.35980224609375,1.0,17,7
8,1706.7421875,R_A6,0,42,-1.339311420014283e-13,276.8009948730469,2018-11-07,STANDARD,276.8009948730469,1.0,17,8
9,1708.2967529296875,R_A6,0,42,-1.294233952864668e-13,276.9369201660156,2018-11-07,STANDARD,276.9369201660156,1.0,17,9
10,1709.851318359375,R_A6,0,42,-2.3758633949100272e-11,276.7584228515625,2018-11-07,STANDARD,276.7584228515625,1.0,17,10
11,1711.7379150390625,R_A6,0,42,-3.8243918448754854e-11,276.91827392578125,2018-11-07,STANDARD,276.91827392578125,1.0,17,11
12,1713.95654296875,R_A6,0,42,-1.89670050498858e-11,277.1321716308594,2018-11-07,STANDARD,277.1321716308594,1.0,17,12
13,1716.1751708984375,R_A6,0,42,-1.2259781948312232e-12,277.39666748046875,2018-11-07,STANDARD,277.39666748046875,1.0,17,13
14,1718.393798828125,R_A6,0,42,-7.639624067905249e-13,277.6069641113281,2018-11-07,STANDARD,277.6069641113281,1.0,17,14
15,1720.612548828125,R_A6,0,42,-5.546070330417208e-13,277.8191833496094,2018-11-07,STANDARD,277.8191833496094,1.0,17,15
