WELLMODEL,DRAWDOWN,CONIDX,PRESSURE,SGAS,DEPTH,WELL,CONBPRES,CONKPOS,DATE,SWAT,CONJPOS,CONIPOS
STANDARD,0,1,300.7026062011719,0.0,1641.094970703125,R_A2,300.7026062011719,1,2018-01-01,0.11521853506565094,30,22
STANDARD,0,2,300.8229064941406,0.0,1642.8890380859375,R_A2,300.8229064941406,2,2018-01-01,0.05831247568130493,30,22
STANDARD,0,3,300.9432067871094,0.0,1644.68310546875,R_A2,300.9432067871094,3,2018-01-01,0.12523607909679413,30,22
STANDARD,0,4,301.06353759765625,0.0,1646.4771728515625,R_A2,301.06353759765625,4,2018-01-01,0.10713080316781998,30,22
STANDARD,0,5,301.183837890625,0.0,1648.2713623046875,R_A2,301.183837890625,5,2018-01-01,0.10945119708776474,30,22
STANDARD,0,6,301.30413818359375,0.0,1650.0654296875,R_A2,301.30413818359375,6,2018-01-01,0.3135630488395691,30,22
STANDARD,0,7,301.4244689941406,0.0,1651.859619140625,R_A2,301.4244689941406,7,2018-01-01,0.8918679356575012,30,22
STANDARD,0,8,301.5447998046875,0.0,1653.6536865234375,R_A2,301.5447998046875,8,2018-01-01,0.8678522706031799,30,22
STANDARD,0,9,301.6651306152344,0.0,1655.44775390625,R_A2,301.6651306152344,9,2018-01-01,0.9093154668807983,30,22
STANDARD,0,10,301.78546142578125,0.0,1657.2418212890625,R_A2,301.78546142578125,10,2018-01-01,0.8974044322967529,30,22
STANDARD,0,11,301.9125671386719,0.0,1659.1368408203125,R_A2,301.9125671386719,11,2018-01-01,0.07394052296876907,30,22
STANDARD,0,12,302.0464172363281,0.0,1661.132568359375,R_A2,302.0464172363281,12,2018-01-01,0.07783466577529907,30,22
STANDARD,0,13,302.1802978515625,0.0,1663.12841796875,R_A2,302.1802978515625,13,2018-01-01,0.44704070687294006,30,22
STANDARD,0,14,302.31414794921875,0.0,1665.1241455078125,R_A2,302.31414794921875,14,2018-01-01,0.503650963306427,30,22
STANDARD,0,15,302.4480285644531,0.0,1667.1199951171875,R_A2,302.4480285644531,15,2018-01-01,0.6995173096656799,30,22
STANDARD,0,16,302.5819396972656,0.0,1669.11572265625,R_A2,302.5819396972656,16,2018-01-01,0.9727380275726318,30,22
STANDARD,0,17,302.7158203125,0.0,1671.111572265625,R_A2,302.7158203125,17,2018-01-01,0.9314871430397034,30,22
STANDARD,0,18,302.8417053222656,0.0,1672.9881591796875,R_A2,302.8417053222656,18,2018-01-01,0.9714143872261047,30,22
STANDARD,0,19,302.9250183105469,0.0,1674.229736328125,R_A2,302.9250183105469,18,2018-01-01,0.9878612160682678,29,22
STANDARD,0,20,303.0550231933594,0.0,1676.1676025390625,R_A2,303.0550231933594,27,2018-01-01,1.0,29,22
STANDARD,0,21,303.1737365722656,0.0,1677.9368896484375,R_A2,303.1737365722656,28,2018-01-01,1.0,29,22
STANDARD,0,22,303.64569091796875,0.0,1679.7061767578125,R_A2,303.64569091796875,29,2018-01-01,1.0,29,22
STANDARD,0,23,303.8133544921875,0.0,1681.4754638671875,R_A2,303.8133544921875,30,2018-01-01,1.0,29,22
STANDARD,0,24,303.98101806640625,0.0,1683.2447509765625,R_A2,303.98101806640625,31,2018-01-01,1.0,29,22
STANDARD,0,1,298.56744384765625,0.0,1609.243408203125,R_A3,298.56744384765625,1,2018-01-01,0.6481541991233826,41,28
STANDARD,0,2,298.7057800292969,0.0,1611.3077392578125,R_A3,298.7057800292969,2,2018-01-01,0.11823459714651108,41,28
STANDARD,0,3,298.8441467285156,0.0,1613.3720703125,R_A3,298.8441467285156,3,2018-01-01,0.1747027486562729,41,28
STANDARD,0,4,298.9825134277344,0.0,1615.4365234375,R_A3,298.9825134277344,4,2018-01-01,0.18826940655708313,41,28
STANDARD,0,5,299.1208801269531,0.0,1617.5008544921875,R_A3,299.1208801269531,5,2018-01-01,0.6481541991233826,41,28
STANDARD,0,6,299.2592468261719,0.0,1619.565185546875,R_A3,299.2592468261719,6,2018-01-01,0.2580912113189697,41,28
STANDARD,0,7,298.57568359375,0.0,1609.3663330078125,R_A3,298.57568359375,6,2018-01-01,0.22938992083072662,41,29
STANDARD,0,8,298.71307373046875,0.0,1611.4163818359375,R_A3,298.71307373046875,7,2018-01-01,0.19619818031787872,41,29
STANDARD,0,9,298.8504638671875,0.0,1613.46630859375,R_A3,298.8504638671875,8,2018-01-01,0.24167214334011078,41,29
STANDARD,0,10,298.98785400390625,0.0,1615.516357421875,R_A3,298.98785400390625,9,2018-01-01,0.7966446280479431,41,29
STANDARD,0,11,299.125244140625,0.0,1617.5662841796875,R_A3,299.125244140625,10,2018-01-01,0.7970597147941589,41,29
STANDARD,0,12,299.27166748046875,0.0,1619.750732421875,R_A3,299.27166748046875,11,2018-01-01,0.04831129312515259,41,29
STANDARD,0,13,299.4271240234375,0.0,1622.0697021484375,R_A3,299.4271240234375,12,2018-01-01,0.05352184176445007,41,29
STANDARD,0,14,299.58258056640625,0.0,1624.388671875,R_A3,299.58258056640625,13,2018-01-01,0.3680775463581085,41,29
STANDARD,0,15,299.7380065917969,0.0,1626.707763671875,R_A3,299.7380065917969,14,2018-01-01,0.38387686014175415,41,29
STANDARD,0,16,299.89349365234375,0.0,1629.026611328125,R_A3,299.89349365234375,15,2018-01-01,0.5014692544937134,41,29
STANDARD,0,17,300.022216796875,0.0,1630.9468994140625,R_A3,300.022216796875,16,2018-01-01,0.8129913210868835,41,29
STANDARD,0,18,300.19512939453125,0.0,1633.5262451171875,R_A3,300.19512939453125,27,2018-01-01,1.0,41,29
STANDARD,0,19,300.4389953613281,0.0,1637.1630859375,R_A3,300.4389953613281,28,2018-01-01,0.04969409480690956,41,29
STANDARD,0,20,300.6828308105469,0.0,1640.8001708984375,R_A3,300.6828308105469,29,2018-01-01,0.08512710779905319,41,29
STANDARD,0,21,300.9267272949219,0.0,1644.4371337890625,R_A3,300.9267272949219,30,2018-01-01,0.688491940498352,41,29
STANDARD,0,22,301.17059326171875,0.0,1648.0740966796875,R_A3,301.17059326171875,31,2018-01-01,0.09358096122741699,41,29
STANDARD,0,1,300.038330078125,0.0,1631.1873779296875,R_A4,300.038330078125,1,2018-01-01,0.04935786873102188,52,30
STANDARD,0,2,299.7864074707031,0.0,1627.4293212890625,R_A4,299.7864074707031,1,2018-01-01,0.06181299313902855,52,31
