CONJPOS,CONIPOS,SGAS,CONIDX,WELL,WELLMODEL,PRESSURE,DATE,SWAT,DEPTH,CONBPRES,DRAWDOWN,CONKPOS
30,22,0.0,1,R_A2,STANDARD,300.6733093261719,2018-01-01,0.055880606174468994,1641.094970703125,300.6733093261719,0,1
30,22,0.0,2,R_A2,STANDARD,300.7936096191406,2018-01-01,0.05794878676533699,1642.8890380859375,300.7936096191406,0,2
30,22,0.0,3,R_A2,STANDARD,300.9139099121094,2018-01-01,0.06058797240257263,1644.68310546875,300.9139099121094,0,3
30,22,0.0,4,R_A2,STANDARD,301.0342102050781,2018-01-01,0.0678098052740097,1646.4771728515625,301.0342102050781,0,4
30,22,0.0,5,R_A2,STANDARD,301.1545104980469,2018-01-01,0.07152793556451797,1648.2713623046875,301.1545104980469,0,5
30,22,0.0,6,R_A2,STANDARD,301.27484130859375,2018-01-01,0.14327770471572876,1650.0654296875,301.27484130859375,0,6
30,22,0.0,7,R_A2,STANDARD,301.3951721191406,2018-01-01,0.2598637044429779,1651.859619140625,301.3951721191406,0,7
30,22,0.0,8,R_A2,STANDARD,301.5154724121094,2018-01-01,0.6481541991233826,1653.6536865234375,301.5154724121094,0,8
30,22,0.0,9,R_A2,STANDARD,301.63580322265625,2018-01-01,0.6481541991233826,1655.44775390625,301.63580322265625,0,9
30,22,0.0,10,R_A2,STANDARD,301.7561340332031,2018-01-01,0.9135551452636719,1657.2418212890625,301.7561340332031,0,10
30,22,0.0,11,R_A2,STANDARD,301.88323974609375,2018-01-01,0.07876349240541458,1659.1368408203125,301.88323974609375,0,11
30,22,0.0,12,R_A2,STANDARD,302.01708984375,2018-01-01,0.0862409919500351,1661.132568359375,302.01708984375,0,12
30,22,0.0,13,R_A2,STANDARD,302.1509704589844,2018-01-01,0.4577699303627014,1663.12841796875,302.1509704589844,0,13
30,22,0.0,14,R_A2,STANDARD,302.28485107421875,2018-01-01,0.519985556602478,1665.1241455078125,302.28485107421875,0,14
30,22,0.0,15,R_A2,STANDARD,302.4187316894531,2018-01-01,0.6918675303459167,1667.1199951171875,302.4187316894531,0,15
30,22,0.0,16,R_A2,STANDARD,302.5526123046875,2018-01-01,0.9727101922035217,1669.11572265625,302.5526123046875,0,16
30,22,0.0,17,R_A2,STANDARD,302.6864929199219,2018-01-01,0.9494145512580872,1671.111572265625,302.6864929199219,0,17
30,22,0.0,18,R_A2,STANDARD,302.8123779296875,2018-01-01,0.9820622205734253,1672.9881591796875,302.8123779296875,0,18
29,22,0.0,19,R_A2,STANDARD,302.89569091796875,2018-01-01,0.9921741485595703,1674.229736328125,302.89569091796875,0,18
29,22,0.0,20,R_A2,STANDARD,303.02569580078125,2018-01-01,0.4947701394557953,1676.1676025390625,303.02569580078125,0,27
29,22,0.0,21,R_A2,STANDARD,303.47802734375,2018-01-01,1.0,1677.9368896484375,303.47802734375,0,28
29,22,0.0,22,R_A2,STANDARD,303.64569091796875,2018-01-01,1.0,1679.7061767578125,303.64569091796875,0,29
29,22,0.0,23,R_A2,STANDARD,303.8133544921875,2018-01-01,1.0,1681.4754638671875,303.8133544921875,0,30
29,22,0.0,24,R_A2,STANDARD,303.98101806640625,2018-01-01,1.0,1683.2447509765625,303.98101806640625,0,31
41,28,0.0,1,R_A3,STANDARD,298.53814697265625,2018-01-01,0.30849525332450867,1609.243408203125,298.53814697265625,0,1
41,28,0.0,2,R_A3,STANDARD,298.676513671875,2018-01-01,0.19968974590301514,1611.3077392578125,298.676513671875,0,2
41,28,0.0,3,R_A3,STANDARD,298.8148498535156,2018-01-01,0.19958947598934174,1613.3720703125,298.8148498535156,0,3
41,28,0.0,4,R_A3,STANDARD,298.9532165527344,2018-01-01,0.37015843391418457,1615.4365234375,298.9532165527344,0,4
41,28,0.0,5,R_A3,STANDARD,299.0915832519531,2018-01-01,0.8261942863464355,1617.5008544921875,299.0915832519531,0,5
