DATE,BLOCK,BPR
2000-01-01,1095,309.2096252441406
2000-01-01,"15,28,1",309.2096252441406
2000-01-01,"15,28,10",310.492431640625
2000-01-01,"15,28,13",311.0422058105469
2000-01-01,24135,310.492431640625
2000-01-01,31815,311.0422058105469
2000-02-01,1095,309.2737731933594
2000-02-01,"15,28,1",309.2737731933594
2000-02-01,"15,28,10",310.5410461425781
2000-02-01,"15,28,13",311.0908203125
2000-02-01,24135,310.5410461425781
2000-02-01,31815,311.0908203125
2000-03-01,1095,305.714111328125
2000-03-01,"15,28,1",305.714111328125
2000-03-01,"15,28,10",305.5354309082031
2000-03-01,"15,28,13",306.08392333984375
2000-03-01,24135,305.5354309082031
2000-03-01,31815,306.08392333984375
2000-04-01,1095,299.5364990234375
2000-04-01,"15,28,1",299.5364990234375
2000-04-01,"15,28,10",299.23138427734375
2000-04-01,"15,28,13",299.7795715332031
2000-04-01,24135,299.23138427734375
2000-04-01,31815,299.7795715332031
2000-05-01,1095,294.1018981933594
2000-05-01,"15,28,1",294.1018981933594
2000-05-01,"15,28,10",293.7284240722656
2000-05-01,"15,28,13",294.2763977050781
2000-05-01,24135,293.7284240722656
2000-05-01,31815,294.2763977050781
2000-06-01,1095,288.8160705566406
2000-06-01,"15,28,1",288.8160705566406
2000-06-01,"15,28,10",288.39361572265625
2000-06-01,"15,28,13",288.94140625
2000-06-01,24135,288.39361572265625
2000-06-01,31815,288.94140625
2000-07-01,1095,286.6707458496094
2000-07-01,"15,28,1",286.6707458496094
2000-07-01,"15,28,10",286.47637939453125
2000-07-01,"15,28,13",287.0249328613281
2000-07-01,24135,286.47637939453125
2000-07-01,31815,287.0249328613281
2000-08-01,1095,285.08740234375
2000-08-01,"15,28,1",285.08740234375
2000-08-01,"15,28,10",284.89642333984375
2000-08-01,"15,28,13",285.4449462890625
2000-08-01,24135,284.89642333984375
2000-08-01,31815,285.4449462890625
2000-09-01,1095,283.83795166015625
2000-09-01,"15,28,1",283.83795166015625
2000-09-01,"15,28,10",283.6395568847656
2000-09-01,"15,28,13",284.1880187988281
2000-09-01,24135,283.6395568847656
2000-09-01,31815,284.1880187988281
2000-10-01,1095,282.8526611328125
2000-10-01,"15,28,1",282.8526611328125
2000-10-01,"15,28,10",282.64862060546875
2000-10-01,"15,28,13",283.1970520019531
2000-10-01,24135,282.64862060546875
2000-10-01,31815,283.1970520019531
2000-11-01,1095,282.02044677734375
2000-11-01,"15,28,1",282.02044677734375
2000-11-01,"15,28,10",281.8082580566406
2000-11-01,"15,28,13",282.35662841796875
2000-11-01,24135,281.8082580566406
2000-11-01,31815,282.35662841796875
2000-12-01,1095,281.3487854003906
2000-12-01,"15,28,1",281.3487854003906
2000-12-01,"15,28,10",281.1317138671875
2000-12-01,"15,28,13",281.6800537109375
2000-12-01,24135,281.1317138671875
2000-12-01,31815,281.6800537109375
2001-01-01,1095,280.7673034667969
2001-01-01,"15,28,1",280.7673034667969
2001-01-01,"15,28,10",280.5472717285156
2001-01-01,"15,28,13",281.0955810546875
2001-01-01,24135,280.5472717285156
2001-01-01,31815,281.0955810546875
2001-02-01,1095,273.6656494140625
2001-02-01,"15,28,1",273.6656494140625
2001-02-01,"15,28,10",274.8563232421875
2001-02-01,"15,28,13",275.40362548828125
2001-02-01,24135,274.8563232421875
2001-02-01,31815,275.40362548828125
2001-03-01,1095,272.9830627441406
2001-03-01,"15,28,1",272.9830627441406
2001-03-01,"15,28,10",273.78350830078125
2001-03-01,"15,28,13",274.3311462402344
2001-03-01,24135,273.78350830078125
2001-03-01,31815,274.3311462402344
2001-04-01,1095,273.954833984375
2001-04-01,"15,28,1",273.954833984375
2001-04-01,"15,28,10",274.4993591308594
2001-04-01,"15,28,13",275.04681396484375
2001-04-01,24135,274.4993591308594
2001-04-01,31815,275.04681396484375
2001-05-01,1095,274.58978271484375
2001-05-01,"15,28,1",274.58978271484375
2001-05-01,"15,28,10",275.10699462890625
2001-05-01,"15,28,13",275.6544189453125
2001-05-01,24135,275.10699462890625
2001-05-01,31815,275.6544189453125
2001-06-01,1095,275.0344543457031
2001-06-01,"15,28,1",275.0344543457031
2001-06-01,"15,28,10",275.55792236328125
2001-06-01,"15,28,13",276.1053771972656
2001-06-01,24135,275.55792236328125
2001-06-01,31815,276.1053771972656
2001-07-01,1095,275.49188232421875
2001-07-01,"15,28,1",275.49188232421875
