DATE,CONKPOS,DEPTH,SGAS,SWAT,DRAWDOWN,CONIPOS,CONJPOS,CONBPRES,WELLMODEL,WELL,CONIDX,PRESSURE
2018-01-01,6,1650.148681640625,0.0,0.6481541991233826,0,22,30,301.4023742675781,STANDARD,R_A2,6,301.4023742675781
2018-01-01,7,1651.9215087890625,0.0,0.8680587410926819,0,22,30,301.5212707519531,STANDARD,R_A2,7,301.5212707519531
2018-01-01,8,1653.6942138671875,0.0,0.2781848609447479,0,22,30,301.64013671875,STANDARD,R_A2,8,301.64013671875
2018-01-01,9,1655.4669189453125,0.0,0.2547582983970642,0,22,30,301.759033203125,STANDARD,R_A2,9,301.759033203125
2018-01-01,10,1657.23974609375,0.0,0.8890485167503357,0,22,30,301.8779602050781,STANDARD,R_A2,10,301.8779602050781
2018-01-01,11,1659.14697265625,0.0,0.0696960836648941,0,22,30,302.005859375,STANDARD,R_A2,11,302.005859375
2018-01-01,12,1661.188720703125,0.0,0.14201296865940094,0,22,30,302.142822265625,STANDARD,R_A2,12,302.142822265625
2018-01-01,13,1663.23046875,0.0,0.43841317296028137,0,22,30,302.27978515625,STANDARD,R_A2,13,302.27978515625
2018-01-01,14,1665.2723388671875,0.0,0.4663725793361664,0,22,30,302.416748046875,STANDARD,R_A2,14,302.416748046875
2018-01-01,15,1667.3140869140625,0.0,0.9089335203170776,0,22,30,302.5537109375,STANDARD,R_A2,15,302.5537109375
2018-01-01,16,1669.3558349609375,0.0,0.9314600825309753,0,22,30,302.6907043457031,STANDARD,R_A2,16,302.6907043457031
2018-01-01,17,1671.397705078125,0.0,0.873905599117279,0,22,30,302.8276672363281,STANDARD,R_A2,17,302.8276672363281
2018-01-01,17,1672.44140625,0.0,0.9032478332519531,0,22,29,302.8976745605469,STANDARD,R_A2,18,302.8976745605469
2018-01-01,18,1674.333251953125,0.0,0.9540823101997375,0,22,29,303.0246276855469,STANDARD,R_A2,19,303.0246276855469
2018-01-01,26,1676.112060546875,0.0,1.0,0,22,29,303.1439514160156,STANDARD,R_A2,20,303.1439514160156
2018-01-01,27,1677.897705078125,0.0,0.6778296828269958,0,22,29,303.2637634277344,STANDARD,R_A2,21,303.2637634277344
2018-01-01,28,1679.683349609375,0.0,0.6481541991233826,0,22,29,303.3835754394531,STANDARD,R_A2,22,303.3835754394531
2018-01-01,29,1681.468994140625,0.0,1.0,0,22,29,303.812744140625,STANDARD,R_A2,23,303.812744140625
2018-01-01,30,1683.2547607421875,0.0,1.0,0,22,29,303.9819641113281,STANDARD,R_A2,24,303.9819641113281
2018-01-01,1,1609.393310546875,0.0,0.6481541991233826,0,28,41,298.6700439453125,STANDARD,R_A3,1,298.6700439453125
2018-01-01,2,1611.381591796875,0.0,0.11823459714651108,0,28,41,298.8033142089844,STANDARD,R_A3,2,298.8033142089844
2018-01-01,3,1613.369873046875,0.0,0.11823459714651108,0,28,41,298.93658447265625,STANDARD,R_A3,3,298.93658447265625
2018-01-01,3,1604.89501953125,0.0,0.11823459714651108,0,29,41,298.36859130859375,STANDARD,R_A3,4,298.36859130859375
2018-01-01,4,1606.9197998046875,0.0,0.11779619753360748,0,29,41,298.5042724609375,STANDARD,R_A3,5,298.5042724609375
2018-01-01,5,1608.9447021484375,0.0,0.6481541991233826,0,29,41,298.6399841308594,STANDARD,R_A3,6,298.6399841308594
2018-01-01,6,1610.969482421875,0.0,0.1760900467634201,0,29,41,298.77569580078125,STANDARD,R_A3,7,298.77569580078125
2018-01-01,7,1612.994384765625,0.0,0.19349102675914764,0,29,41,298.9114074707031,STANDARD,R_A3,8,298.9114074707031
2018-01-01,8,1615.0191650390625,0.0,0.23403267562389374,0,29,41,299.047119140625,STANDARD,R_A3,9,299.047119140625
2018-01-01,9,1617.0439453125,0.0,0.7973021864891052,0,29,41,299.1828308105469,STANDARD,R_A3,10,299.1828308105469
2018-01-01,10,1619.06884765625,0.0,0.7996634840965271,0,29,41,299.31854248046875,STANDARD,R_A3,11,299.31854248046875
2018-01-01,11,1621.228271484375,0.0,0.04912472143769264,0,29,41,299.4632873535156,STANDARD,R_A3,12,299.4632873535156
2018-01-01,12,1623.5224609375,0.0,0.053997889161109924,0,29,41,299.6170959472656,STANDARD,R_A3,13,299.6170959472656
2018-01-01,13,1625.8165283203125,0.0,0.367758572101593,0,29,41,299.7708740234375,STANDARD,R_A3,14,299.7708740234375
2018-01-01,14,1628.1107177734375,0.0,0.058726318180561066,0,29,41,299.9246826171875,STANDARD,R_A3,15,299.9246826171875
2018-01-01,15,1630.40478515625,0.0,0.41728144884109497,0,29,41,300.0784606933594,STANDARD,R_A3,16,300.0784606933594
2018-01-01,16,1632.165283203125,0.0,0.8040418028831482,0,29,41,300.1965026855469,STANDARD,R_A3,17,300.1965026855469
2018-01-01,26,1634.5142822265625,0.0,0.3620922267436981,0,29,41,300.3539733886719,STANDARD,R_A3,18,300.3539733886719
2018-01-01,27,1637.9853515625,0.0,0.04456516355276108,0,29,41,300.5867004394531,STANDARD,R_A3,19,300.5867004394531
2018-01-01,28,1641.456298828125,0.0,0.05097459629178047,0,29,41,300.8194580078125,STANDARD,R_A3,20,300.8194580078125
2018-01-01,29,1644.92724609375,0.0,0.6481541991233826,0,29,41,301.0522155761719,STANDARD,R_A3,21,301.0522155761719
2018-01-01,30,1648.3983154296875,0.0,0.058664415031671524,0,29,41,301.28497314453125,STANDARD,R_A3,22,301.28497314453125
2018-01-01,1,1631.1412353515625,0.0,0.04919161647558212,0,30,52,300.1278381347656,STANDARD,R_A4,1,300.1278381347656
2018-01-01,1,1626.6221923828125,0.0,0.04801646247506142,0,31,52,299.82489013671875,STANDARD,R_A4,2,299.82489013671875
2018-01-01,2,1628.69677734375,0.0,0.048837121576070786,0,31,52,299.9639587402344,STANDARD,R_A4,3,299.9639587402344
2018-01-01,3,1630.7713623046875,0.0,0.04951195791363716,0,31,52,300.1030578613281,STANDARD,R_A4,4,300.1030578613281
2018-01-01,4,1632.8460693359375,0.0,0.05344368889927864,0,31,52,300.24212646484375,STANDARD,R_A4,5,300.24212646484375
2018-01-01,4,1632.2164306640625,0.0,0.052972786128520966,0,32,52,300.1999206542969,STANDARD,R_A4,6,300.1999206542969
2018-01-01,4,1635.9493408203125,0.0,0.05371307209134102,0,32,51,300.4501953125,STANDARD,R_A4,7,300.4501953125
2018-01-01,4,1637.4473876953125,0.0,0.05483170226216316,0,33,51,300.5506591796875,STANDARD,R_A4,8,300.5506591796875
2018-01-01,3,1635.601318359375,0.0,0.1140446588397026,0,33,51,300.4268798828125,STANDARD,R_A4,9,300.4268798828125
2018-01-01,4,1642.585693359375,0.0,0.05890405550599098,0,33,50,300.89520263671875,STANDARD,R_A4,10,300.89520263671875
2018-01-01,4,1641.19873046875,0.0,0.06147155538201332,0,34,50,300.80218505859375,STANDARD,R_A4,11,300.80218505859375
2018-01-01,3,1639.3408203125,0.0,0.13804584741592407,0,34,50,300.6776123046875,STANDARD,R_A4,12,300.6776123046875
2018-01-01,3,1639.9072265625,0.0,0.1356474906206131,0,35,50,300.715576171875,STANDARD,R_A4,13,300.715576171875
2018-01-01,2,1638.1148681640625,0.0,0.21503202617168427,0,35,50,300.59539794921875,STANDARD,R_A4,14,300.59539794921875
2018-01-01,2,1643.8753662109375,0.0,0.2321815937757492,0,35,49,300.9816589355469,STANDARD,R_A4,15,300.9816589355469
2018-01-01,1,1642.0889892578125,0.0,0.22989822924137115,0,35,49,300.86187744140625,STANDARD,R_A4,16,300.86187744140625
2018-01-01,29,1643.84228515625,0.0,0.6481541991233826,0,36,49,300.9794616699219,STANDARD,R_A4,17,300.9794616699219
2018-01-01,29,1643.0284423828125,0.0,0.053779929876327515,0,36,48,300.92486572265625,STANDARD,R_A4,18,300.92486572265625
2018-01-01,29,1648.07275390625,0.0,0.6481541991233826,0,37,48,301.2631530761719,STANDARD,R_A4,19,301.2631530761719
2018-01-01,29,1653.0201416015625,0.0,0.3449864089488983,0,38,48,301.5949401855469,STANDARD,R_A4,20,301.5949401855469
2018-01-01,29,1662.3509521484375,0.0,0.6863327622413635,0,38,47,302.2207946777344,STANDARD,R_A4,21,302.2207946777344
2018-01-01,28,1656.746826171875,0.0,0.06493405252695084,0,38,47,301.8448791503906,STANDARD,R_A4,22,301.8448791503906
2018-01-01,1,1685.8057861328125,0.0,1.0,0,31,20,303.9179382324219,STANDARD,R_A5,1,303.9179382324219
2018-01-01,2,1687.936279296875,0.0,1.0,0,31,20,304.11981201171875,STANDARD,R_A5,2,304.11981201171875
2018-01-01,3,1690.0667724609375,0.0,1.0,0,31,20,304.32171630859375,STANDARD,R_A5,3,304.32171630859375
2018-01-01,4,1692.197265625,0.0,1.0,0,31,20,304.52362060546875,STANDARD,R_A5,4,304.52362060546875
2018-01-01,5,1694.3277587890625,0.0,1.0,0,31,20,304.7254943847656,STANDARD,R_A5,5,304.7254943847656
2018-01-01,6,1696.458251953125,0.0,1.0,0,31,20,304.9273986816406,STANDARD,R_A5,6,304.9273986816406
2018-01-01,7,1698.588623046875,0.0,1.0,0,31,20,305.4350891113281,STANDARD,R_A5,7,305.4350891113281
2018-01-01,11,1700.3802490234375,0.0,1.0,0,31,21,305.2992248535156,STANDARD,R_A5,8,305.2992248535156
2018-01-01,12,1702.43115234375,0.0,1.0,0,31,21,305.4935607910156,STANDARD,R_A5,9,305.4935607910156
2018-01-01,13,1704.482177734375,0.0,1.0,0,31,21,305.6999206542969,STANDARD,R_A5,10,305.6999206542969
2018-01-01,14,1706.5330810546875,0.0,1.0,0,31,21,305.894287109375,STANDARD,R_A5,11,305.894287109375
2018-01-01,15,1708.5841064453125,0.0,1.0,0,31,21,306.0886535644531,STANDARD,R_A5,12,306.0886535644531
2018-01-01,16,1710.635009765625,0.0,1.0,0,31,21,306.42803955078125,STANDARD,R_A5,13,306.42803955078125
2018-01-01,17,1712.6859130859375,0.0,1.0,0,31,21,306.6224060058594,STANDARD,R_A5,14,306.6224060058594
2018-01-01,18,1714.002197265625,0.0,1.0,0,31,21,306.7471618652344,STANDARD,R_A5,15,306.7471618652344
2018-01-01,19,1714.46484375,0.0,1.0,0,31,21,306.7909851074219,STANDARD,R_A5,16,306.7909851074219
2018-01-01,26,1715.759765625,0.0,1.0,0,31,21,306.7566223144531,STANDARD,R_A5,17,306.7566223144531
2018-01-01,27,1718.005859375,0.0,1.0,0,31,21,306.969482421875,STANDARD,R_A5,18,306.969482421875
2018-01-01,28,1720.251953125,0.0,1.0,0,31,21,307.4881591796875,STANDARD,R_A5,19,307.4881591796875
2018-01-01,29,1722.498046875,0.0,1.0,0,31,21,307.7010192871094,STANDARD,R_A5,20,307.7010192871094
2018-01-01,30,1724.744140625,0.0,1.0,0,31,21,307.9139099121094,STANDARD,R_A5,21,307.9139099121094
2018-01-01,1,1693.8599853515625,0.0,1.0,0,17,42,304.9869689941406,STANDARD,R_A6,1,304.9869689941406
2018-01-01,2,1695.3902587890625,0.0,1.0,0,17,42,305.1319885253906,STANDARD,R_A6,2,305.1319885253906
2018-01-01,3,1696.9205322265625,0.0,1.0,0,17,42,305.2770080566406,STANDARD,R_A6,3,305.2770080566406
2018-01-01,4,1698.450927734375,0.0,1.0,0,17,42,305.4220275878906,STANDARD,R_A6,4,305.4220275878906
2018-01-01,5,1699.9810791015625,0.0,1.0,0,17,42,305.5670471191406,STANDARD,R_A6,5,305.5670471191406
2018-01-01,6,1701.5113525390625,0.0,1.0,0,17,42,305.7120666503906,STANDARD,R_A6,6,305.7120666503906
2018-01-01,7,1703.0416259765625,0.0,1.0,0,17,42,305.55804443359375,STANDARD,R_A6,7,305.55804443359375
2018-01-01,8,1704.5718994140625,0.0,1.0,0,17,42,305.70306396484375,STANDARD,R_A6,8,305.70306396484375
2018-01-01,9,1706.1021728515625,0.0,1.0,0,17,42,306.1471252441406,STANDARD,R_A6,9,306.1471252441406
2018-01-01,10,1707.6324462890625,0.0,1.0,0,17,42,305.9863586425781,STANDARD,R_A6,10,305.9863586425781
2018-01-01,11,1709.55859375,0.0,1.0,0,17,42,306.1690368652344,STANDARD,R_A6,11,306.1690368652344
2018-01-01,12,1711.880859375,0.0,1.0,0,17,42,306.3891296386719,STANDARD,R_A6,12,306.3891296386719
2018-01-01,13,1714.203125,0.0,1.0,0,17,42,306.6211853027344,STANDARD,R_A6,13,306.6211853027344
2018-01-01,14,1716.525390625,0.0,1.0,0,17,42,306.8412780761719,STANDARD,R_A6,14,306.8412780761719
2018-01-01,15,1718.84765625,0.0,1.0,0,17,42,307.0613708496094,STANDARD,R_A6,15,307.0613708496094
2018-01-01,16,1721.169921875,0.0,1.0,0,17,42,307.4264831542969,STANDARD,R_A6,16,307.4264831542969
2018-01-01,17,1723.4921875,0.0,1.0,0,17,42,307.6465759277344,STANDARD,R_A6,17,307.6465759277344
2018-01-01,18,1724.91259765625,0.0,1.0,0,17,42,307.78118896484375,STANDARD,R_A6,18,307.78118896484375
2018-01-01,26,1726.0250244140625,0.0,1.0,0,17,42,307.7295227050781,STANDARD,R_A6,19,307.7295227050781
2018-01-01,27,1727.7313232421875,0.0,1.0,0,17,42,308.197021484375,STANDARD,R_A6,20,308.197021484375
2018-01-01,28,1729.4375,0.0,1.0,0,17,42,308.3587341308594,STANDARD,R_A6,21,308.3587341308594
2018-01-01,29,1731.1436767578125,0.0,1.0,0,17,42,308.52044677734375,STANDARD,R_A6,22,308.52044677734375
2018-01-01,30,1732.8499755859375,0.0,1.0,0,17,42,308.3763732910156,STANDARD,R_A6,23,308.3763732910156
2018-03-01,1,1641.284912109375,0.0,0.05424347147345543,0,22,30,298.1807861328125,STANDARD,R_A2,1,298.1807861328125
2018-03-01,2,1643.0576171875,0.0,0.05661820247769356,0,22,30,298.2995910644531,STANDARD,R_A2,2,298.2995910644531
2018-03-01,3,1644.8304443359375,0.0,0.05860597640275955,0,22,30,298.41839599609375,STANDARD,R_A2,3,298.41839599609375
2018-03-01,4,1646.6031494140625,0.0,0.06394998729228973,0,22,30,298.5372314453125,STANDARD,R_A2,4,298.5372314453125
2018-03-01,5,1648.3758544921875,0.0,0.06726045906543732,0,22,30,298.65606689453125,STANDARD,R_A2,5,298.65606689453125
2018-03-01,6,1650.148681640625,0.0,0.6526909470558167,0,22,30,298.76953125,STANDARD,R_A2,6,298.76953125
2018-03-01,7,1651.9215087890625,0.0,0.8628872632980347,0,22,30,299.05694580078125,STANDARD,R_A2,7,299.05694580078125
2018-03-01,8,1653.6942138671875,0.0,0.2770371735095978,0,22,30,299.29559326171875,STANDARD,R_A2,8,299.29559326171875
2018-03-01,9,1655.4669189453125,0.0,0.25357896089553833,0,22,30,299.4146423339844,STANDARD,R_A2,9,299.4146423339844
2018-03-01,10,1657.23974609375,0.0,0.8889360427856445,0,22,30,299.6680603027344,STANDARD,R_A2,10,299.6680603027344
2018-03-01,11,1659.14697265625,0.0,0.0698024332523346,0,22,30,299.89837646484375,STANDARD,R_A2,11,299.89837646484375
2018-03-01,12,1661.188720703125,0.0,0.1422775536775589,0,22,30,300.0352783203125,STANDARD,R_A2,12,300.0352783203125
2018-03-01,13,1663.23046875,0.0,0.43872302770614624,0,22,30,300.1728515625,STANDARD,R_A2,13,300.1728515625
2018-03-01,14,1665.2723388671875,0.0,0.46679991483688354,0,22,30,300.3109130859375,STANDARD,R_A2,14,300.3109130859375
2018-03-01,15,1667.3140869140625,0.0,0.9088751077651978,0,22,30,300.4530944824219,STANDARD,R_A2,15,300.4530944824219
2018-03-01,16,1669.3558349609375,0.0,0.9314162135124207,0,22,30,300.59552001953125,STANDARD,R_A2,16,300.59552001953125
2018-03-01,17,1671.397705078125,0.0,0.8738248348236084,0,22,30,300.7360534667969,STANDARD,R_A2,17,300.7360534667969
2018-03-01,17,1672.44140625,0.0,0.9031854271888733,0,22,29,300.7860107421875,STANDARD,R_A2,18,300.7860107421875
2018-03-01,18,1674.333251953125,0.0,0.9540526866912842,0,22,29,300.9128112792969,STANDARD,R_A2,19,300.9128112792969
2018-03-01,26,1676.112060546875,1.8951488056813404e-14,1.0,0,22,29,302.63446044921875,STANDARD,R_A2,20,302.63446044921875
2018-03-01,27,1677.897705078125,0.0,0.6779462695121765,0,22,29,302.585205078125,STANDARD,R_A2,21,302.585205078125
2018-03-01,28,1679.683349609375,0.0,0.6481993198394775,0,22,29,302.692626953125,STANDARD,R_A2,22,302.692626953125
2018-03-01,29,1681.468994140625,0.0,0.9999141097068787,0,22,29,302.1795654296875,STANDARD,R_A2,23,302.1795654296875
2018-03-01,30,1683.2547607421875,4.125130814713884e-08,1.0000005960464478,0,22,29,302.2803039550781,STANDARD,R_A2,24,302.2803039550781
2018-04-28,1,1685.8057861328125,-1.6851586792654416e-09,0.9999999403953552,0,31,20,283.37799072265625,STANDARD,R_A5,1,283.37799072265625
2018-04-28,2,1687.936279296875,-1.66836988668706e-09,0.9999999403953552,0,31,20,283.5794982910156,STANDARD,R_A5,2,283.5794982910156
