PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,11.979681,,100.0,0.0615419,1.6075397,27.537224,15.383508,geogrid,geogrid,6,iter-0
PORO,LowerReek,Dorne,Background,0.09884297,,0.28390935,0.0,0.03352615,0.16181469,0.048799966,geogrid,geogrid,6,iter-0
SW,LowerReek,Dorne,Background,0.99915904,,1.0,0.0,1.0,1.0,0.027125934,geogrid,geogrid,6,iter-0
PERM,LowerReek,Dorne,Channel,2581.2458,,10000.0,25.579342,369.56354,6767.4375,2661.7764,geogrid,geogrid,6,iter-0
PORO,LowerReek,Dorne,Channel,0.24120249,,0.41829747,0.055444464,0.178702,0.3043106,0.049187124,geogrid,geogrid,6,iter-0
SW,LowerReek,Dorne,Channel,0.9729506,,1.0,0.0711406,1.0,1.0,0.14569633,geogrid,geogrid,6,iter-0
PERM,LowerReek,Dorne,Crevasse,177.13237,,1000.0,2.005526,21.704943,427.7725,205.78322,geogrid,geogrid,6,iter-0
PORO,LowerReek,Dorne,Crevasse,0.20329666,,0.39495027,0.024958208,0.13755623,0.26719138,0.05085088,geogrid,geogrid,6,iter-0
SW,LowerReek,Dorne,Crevasse,0.94934237,,1.0,0.13998784,1.0,1.0,0.17080334,geogrid,geogrid,6,iter-0
PERM,LowerReek,IronIslands,Background,9.041998,,100.0,0.10675237,1.384256,20.308325,11.073741,geogrid,geogrid,6,iter-0
PORO,LowerReek,IronIslands,Background,0.095160685,,0.26248324,0.0,0.031475823,0.15669912,0.047542024,geogrid,geogrid,6,iter-0
SW,LowerReek,IronIslands,Background,0.71860063,,1.0,0.0,0.28232917,1.0,0.31832373,geogrid,geogrid,6,iter-0
PERM,LowerReek,IronIslands,Channel,2980.3696,,10000.0,16.814787,422.25485,8197.255,2880.1714,geogrid,geogrid,6,iter-0
PORO,LowerReek,IronIslands,Channel,0.2462327,,0.4232069,0.05845709,0.18191719,0.31106046,0.05026549,geogrid,geogrid,6,iter-0
SW,LowerReek,IronIslands,Channel,0.33944035,,1.0,0.019377194,0.030876704,1.0,0.42238408,geogrid,geogrid,6,iter-0
PERM,LowerReek,IronIslands,Crevasse,185.55257,,1000.0,3.2835915,25.894476,447.59488,216.33899,geogrid,geogrid,6,iter-0
PORO,LowerReek,IronIslands,Crevasse,0.20728895,,0.3881107,0.080779634,0.1444857,0.26839635,0.048324727,geogrid,geogrid,6,iter-0
SW,LowerReek,IronIslands,Crevasse,0.35168484,,1.0,0.051751234,0.08790501,1.0,0.3655591,geogrid,geogrid,6,iter-0
PERM,LowerReek,North,Background,10.712785,,100.0,0.10025177,1.0875615,26.168499,15.964935,geogrid,geogrid,6,iter-0
PORO,LowerReek,North,Background,0.0927878,,0.28759405,0.0,0.02621674,0.16156656,0.05098993,geogrid,geogrid,6,iter-0
SW,LowerReek,North,Background,0.99404687,,1.0,0.16792613,1.0,1.0,0.06488497,geogrid,geogrid,6,iter-0
PERM,LowerReek,North,Channel,3083.4287,,10000.0,19.814835,459.99033,8597.827,2915.0044,geogrid,geogrid,6,iter-0
PORO,LowerReek,North,Channel,0.25298578,,0.45619982,0.06822829,0.1891781,0.31665546,0.049583685,geogrid,geogrid,6,iter-0
SW,LowerReek,North,Channel,0.98658377,,1.0,0.025437685,1.0,1.0,0.11209176,geogrid,geogrid,6,iter-0
PERM,LowerReek,North,Crevasse,206.6296,,1000.0,3.0886989,27.842123,505.89175,236.69385,geogrid,geogrid,6,iter-0
PORO,LowerReek,North,Crevasse,0.20841244,,0.38367268,0.036714822,0.14543964,0.27301806,0.04993892,geogrid,geogrid,6,iter-0
SW,LowerReek,North,Crevasse,0.9902016,,1.0,0.061344303,1.0,1.0,0.09222206,geogrid,geogrid,6,iter-0
PERM,LowerReek,Reach,Background,12.0066805,,100.0,0.08070951,1.6431917,27.014797,15.655866,geogrid,geogrid,6,iter-0
PORO,LowerReek,Reach,Background,0.10353313,,0.2789515,0.0,0.040028736,0.16536845,0.048244484,geogrid,geogrid,6,iter-0
SW,LowerReek,Reach,Background,0.80847424,,1.0,0.0,0.4237983,1.0,0.2516295,geogrid,geogrid,6,iter-0
PERM,LowerReek,Reach,Channel,3242.004,,10000.0,39.04795,489.517,8823.41,2951.5447,geogrid,geogrid,6,iter-0
PORO,LowerReek,Reach,Channel,0.2530051,,0.44118378,0.055584386,0.18815356,0.31713703,0.050294723,geogrid,geogrid,6,iter-0
SW,LowerReek,Reach,Channel,0.50672287,,1.0,0.02136701,0.050078526,1.0,0.4523919,geogrid,geogrid,6,iter-0
PERM,LowerReek,Reach,Crevasse,162.62276,,1000.0,1.6891916,20.110575,401.31158,198.49092,geogrid,geogrid,6,iter-0
PORO,LowerReek,Reach,Crevasse,0.19994353,,0.3915025,0.029364303,0.13676655,0.26246646,0.048924807,geogrid,geogrid,6,iter-0
SW,LowerReek,Reach,Crevasse,0.59740514,,1.0,0.061691053,0.14736877,1.0,0.38232458,geogrid,geogrid,6,iter-0
PERM,LowerReek,Stormlands,Background,14.972071,,100.0,0.14304063,1.2074168,41.02742,18.147171,geogrid,geogrid,6,iter-0
PORO,LowerReek,Stormlands,Background,0.08932081,,0.22339651,0.0,0.009001149,0.15575491,0.052240595,geogrid,geogrid,6,iter-0
SW,LowerReek,Stormlands,Background,0.21846783,,0.55455023,0.0,0.13046812,0.3331902,0.09596464,geogrid,geogrid,6,iter-0
PERM,LowerReek,Stormlands,Channel,3218.152,,10000.0,108.08831,644.4847,8314.308,2824.7827,geogrid,geogrid,6,iter-0
PORO,LowerReek,Stormlands,Channel,0.25240207,,0.3965829,0.107017666,0.19380319,0.3123257,0.045211047,geogrid,geogrid,6,iter-0
SW,LowerReek,Stormlands,Channel,0.037956424,,0.11589118,0.018066118,0.024045862,0.05416519,0.012497988,geogrid,geogrid,6,iter-0
PERM,LowerReek,Stormlands,Crevasse,122.37576,,952.48474,7.4603996,18.11003,296.14194,160.43698,geogrid,geogrid,6,iter-0
PORO,LowerReek,Stormlands,Crevasse,0.1899991,,0.3106575,0.08443515,0.13344818,0.25288308,0.04407318,geogrid,geogrid,6,iter-0
