PRESSURE,CONBPRES,WELL,CONJPOS,DEPTH,SWAT,CONIDX,SGAS,DRAWDOWN,CONKPOS,WELLMODEL,DATE,CONIPOS
300.65283203125,300.65283203125,R_A2,30,1638.732421875,0.05223340913653374,1,0.0,0,1,STANDARD,2018-01-01,22
300.77020263671875,300.77020263671875,R_A2,30,1640.482421875,0.05325143039226532,2,0.0,0,2,STANDARD,2018-01-01,22
300.8875427246094,300.8875427246094,R_A2,30,1642.2325439453125,0.05551140755414963,3,0.0,0,3,STANDARD,2018-01-01,22
301.0048828125,301.0048828125,R_A2,30,1643.9825439453125,0.06153371185064316,4,0.0,0,4,STANDARD,2018-01-01,22
301.12225341796875,301.12225341796875,R_A2,30,1645.7325439453125,0.08164176344871521,5,0.0,0,5,STANDARD,2018-01-01,22
301.2395935058594,301.2395935058594,R_A2,30,1647.4825439453125,0.6481541991233826,6,0.0,0,6,STANDARD,2018-01-01,22
301.3569641113281,301.3569641113281,R_A2,30,1649.2325439453125,0.7178166508674622,7,0.0,0,7,STANDARD,2018-01-01,22
301.4743347167969,301.4743347167969,R_A2,30,1650.9825439453125,0.21691745519638062,8,0.0,0,8,STANDARD,2018-01-01,22
301.5917053222656,301.5917053222656,R_A2,30,1652.732666015625,0.11641163378953934,9,0.0,0,9,STANDARD,2018-01-01,22
301.7090759277344,301.7090759277344,R_A2,30,1654.482666015625,0.18610204756259918,10,0.0,0,10,STANDARD,2018-01-01,22
301.83575439453125,301.83575439453125,R_A2,30,1656.371337890625,0.06509795039892197,11,0.0,0,11,STANDARD,2018-01-01,22
301.9717102050781,301.9717102050781,R_A2,30,1658.398681640625,0.06878764927387238,12,0.0,0,12,STANDARD,2018-01-01,22
302.1076965332031,302.1076965332031,R_A2,30,1660.4259033203125,0.4105488359928131,13,0.0,0,13,STANDARD,2018-01-01,22
302.2436828613281,302.2436828613281,R_A2,30,1662.4532470703125,0.4539638161659241,14,0.0,0,14,STANDARD,2018-01-01,22
302.3796691894531,302.3796691894531,R_A2,30,1664.48046875,0.8793167471885681,15,0.0,0,15,STANDARD,2018-01-01,22
302.5156555175781,302.5156555175781,R_A2,30,1666.5078125,0.8842727541923523,16,0.0,0,16,STANDARD,2018-01-01,22
302.65167236328125,302.65167236328125,R_A2,30,1668.5350341796875,0.8482874631881714,17,0.0,0,17,STANDARD,2018-01-01,22
303.1358642578125,303.1358642578125,R_A2,29,1675.7520751953125,0.9508296847343445,18,0.0,0,17,STANDARD,2018-01-01,22
303.24603271484375,303.24603271484375,R_A2,29,1677.3944091796875,0.9754812717437744,19,0.0,0,18,STANDARD,2018-01-01,22
303.3425598144531,303.3425598144531,R_A2,29,1678.8330078125,1.0,20,0.0,0,26,STANDARD,2018-01-01,22
303.4570617675781,303.4570617675781,R_A2,29,1680.539306640625,1.0,21,0.0,0,27,STANDARD,2018-01-01,22
303.8863525390625,303.8863525390625,R_A2,29,1682.24560546875,1.0,22,0.0,0,28,STANDARD,2018-01-01,22
304.04803466796875,304.04803466796875,R_A2,29,1683.951904296875,1.0,23,0.0,0,29,STANDARD,2018-01-01,22
304.2097473144531,304.2097473144531,R_A2,29,1685.6583251953125,1.0,24,0.0,0,30,STANDARD,2018-01-01,22
298.6287841796875,298.6287841796875,R_A3,41,1608.53857421875,0.6481541991233826,1,0.0,0,1,STANDARD,2018-01-01,28
298.7590637207031,298.7590637207031,R_A3,41,1610.482177734375,0.1944698840379715,2,0.0,0,2,STANDARD,2018-01-01,28
298.8893127441406,298.8893127441406,R_A3,41,1612.4256591796875,0.1502048373222351,3,0.0,0,3,STANDARD,2018-01-01,28
299.0195617675781,299.0195617675781,R_A3,41,1614.3692626953125,0.11851546168327332,4,0.0,0,4,STANDARD,2018-01-01,28
299.14984130859375,299.14984130859375,R_A3,41,1616.312744140625,0.6481541991233826,5,0.0,0,5,STANDARD,2018-01-01,28
298.7825012207031,298.7825012207031,R_A3,41,1610.8321533203125,0.6481541991233826,6,0.0,0,5,STANDARD,2018-01-01,29
298.91070556640625,298.91070556640625,R_A3,41,1612.744873046875,0.6481541991233826,7,0.0,0,6,STANDARD,2018-01-01,29
299.0389099121094,299.0389099121094,R_A3,41,1614.65771484375,0.19468356668949127,8,0.0,0,7,STANDARD,2018-01-01,29
299.1671142578125,299.1671142578125,R_A3,41,1616.5704345703125,0.19813981652259827,9,0.0,0,8,STANDARD,2018-01-01,29
299.2953186035156,299.2953186035156,R_A3,41,1618.4832763671875,0.800208568572998,10,0.0,0,9,STANDARD,2018-01-01,29
299.4235534667969,299.4235534667969,R_A3,41,1620.39599609375,0.7989728450775146,11,0.0,0,10,STANDARD,2018-01-01,29
