CONIDX,CONKPOS,WELL,SGAS,WELLMODEL,CONIPOS,DRAWDOWN,SWAT,PRESSURE,CONJPOS,CONBPRES,DEPTH,DATE
1,1,R_A2,0.0,STANDARD,22,0,0.05760246515274048,300.6733093261719,30,300.6733093261719,1641.094970703125,2018-01-01
2,2,R_A2,0.0,STANDARD,22,0,0.05853121727705002,300.7936096191406,30,300.7936096191406,1642.8890380859375,2018-01-01
3,3,R_A2,0.0,STANDARD,22,0,0.06116862595081329,300.9139099121094,30,300.9139099121094,1644.68310546875,2018-01-01
4,4,R_A2,0.0,STANDARD,22,0,0.0663427859544754,301.0342102050781,30,301.0342102050781,1646.4771728515625,2018-01-01
5,5,R_A2,0.0,STANDARD,22,0,0.0687314122915268,301.1545104980469,30,301.1545104980469,1648.2713623046875,2018-01-01
6,6,R_A2,0.0,STANDARD,22,0,0.3121729791164398,301.27484130859375,30,301.27484130859375,1650.0654296875,2018-01-01
7,7,R_A2,0.0,STANDARD,22,0,0.8978545665740967,301.3951721191406,30,301.3951721191406,1651.859619140625,2018-01-01
8,8,R_A2,0.0,STANDARD,22,0,0.8618757724761963,301.5154724121094,30,301.5154724121094,1653.6536865234375,2018-01-01
9,9,R_A2,0.0,STANDARD,22,0,0.9105261564254761,301.63580322265625,30,301.63580322265625,1655.44775390625,2018-01-01
10,10,R_A2,0.0,STANDARD,22,0,0.9083951115608215,301.7561340332031,30,301.7561340332031,1657.2418212890625,2018-01-01
11,11,R_A2,0.0,STANDARD,22,0,0.07604346424341202,301.88323974609375,30,301.88323974609375,1659.1368408203125,2018-01-01
12,12,R_A2,0.0,STANDARD,22,0,0.0789390504360199,302.01708984375,30,302.01708984375,1661.132568359375,2018-01-01
13,13,R_A2,0.0,STANDARD,22,0,0.44872841238975525,302.1509704589844,30,302.1509704589844,1663.12841796875,2018-01-01
14,14,R_A2,0.0,STANDARD,22,0,0.5068296194076538,302.28485107421875,30,302.28485107421875,1665.1241455078125,2018-01-01
15,15,R_A2,0.0,STANDARD,22,0,0.6861860752105713,302.4187316894531,30,302.4187316894531,1667.1199951171875,2018-01-01
16,16,R_A2,0.0,STANDARD,22,0,0.9714688062667847,302.5526123046875,30,302.5526123046875,1669.11572265625,2018-01-01
17,17,R_A2,0.0,STANDARD,22,0,0.948536217212677,302.6864929199219,30,302.6864929199219,1671.111572265625,2018-01-01
18,18,R_A2,0.0,STANDARD,22,0,0.9796320199966431,302.8123779296875,30,302.8123779296875,1672.9881591796875,2018-01-01
19,18,R_A2,0.0,STANDARD,22,0,0.9940532445907593,302.89569091796875,29,302.89569091796875,1674.229736328125,2018-01-01
20,27,R_A2,0.0,STANDARD,22,0,0.6481541991233826,303.02569580078125,29,303.02569580078125,1676.1676025390625,2018-01-01
21,28,R_A2,0.0,STANDARD,22,0,1.0,303.47802734375,29,303.47802734375,1677.9368896484375,2018-01-01
22,29,R_A2,0.0,STANDARD,22,0,1.0,303.64569091796875,29,303.64569091796875,1679.7061767578125,2018-01-01
23,30,R_A2,0.0,STANDARD,22,0,1.0,303.8133544921875,29,303.8133544921875,1681.4754638671875,2018-01-01
24,31,R_A2,0.0,STANDARD,22,0,1.0,303.98101806640625,29,303.98101806640625,1683.2447509765625,2018-01-01
1,1,R_A3,0.0,STANDARD,28,0,0.6481541991233826,298.53814697265625,41,298.53814697265625,1609.243408203125,2018-01-01
2,2,R_A3,0.0,STANDARD,28,0,0.19803451001644135,298.676513671875,41,298.676513671875,1611.3077392578125,2018-01-01
3,3,R_A3,0.0,STANDARD,28,0,0.19370174407958984,298.8148498535156,41,298.8148498535156,1613.3720703125,2018-01-01
4,4,R_A3,0.0,STANDARD,28,0,0.2555322051048279,298.9532165527344,41,298.9532165527344,1615.4365234375,2018-01-01
5,5,R_A3,0.0,STANDARD,28,0,0.8283283710479736,299.0915832519531,41,299.0915832519531,1617.5008544921875,2018-01-01
6,6,R_A3,0.0,STANDARD,28,0,0.6481541991233826,299.2299499511719,41,299.2299499511719,1619.565185546875,2018-01-01
7,6,R_A3,0.0,STANDARD,29,0,0.6481541991233826,298.54638671875,41,298.54638671875,1609.3663330078125,2018-01-01
