DEPTH,DATE,WELL,WELLMODEL,DRAWDOWN,CONIDX,PRESSURE,SGAS,SWAT,CONKPOS,CONBPRES,CONJPOS,CONIPOS
1641.094970703125,2018-01-01,R_A2,STANDARD,0,1,300.6733093261719,0.0,0.056692592799663544,1,300.6733093261719,30,22
1642.8890380859375,2018-01-01,R_A2,STANDARD,0,2,300.7936096191406,0.0,0.05867929756641388,2,300.7936096191406,30,22
1644.68310546875,2018-01-01,R_A2,STANDARD,0,3,300.9139099121094,0.0,0.061895012855529785,3,300.9139099121094,30,22
1646.4771728515625,2018-01-01,R_A2,STANDARD,0,4,301.0342102050781,0.0,0.06773295253515244,4,301.0342102050781,30,22
1648.2713623046875,2018-01-01,R_A2,STANDARD,0,5,301.1545104980469,0.0,0.07102545350790024,5,301.1545104980469,30,22
1650.0654296875,2018-01-01,R_A2,STANDARD,0,6,301.27484130859375,0.0,0.32000941038131714,6,301.27484130859375,30,22
1651.859619140625,2018-01-01,R_A2,STANDARD,0,7,301.3951721191406,0.0,0.8964528441429138,7,301.3951721191406,30,22
1653.6536865234375,2018-01-01,R_A2,STANDARD,0,8,301.5154724121094,0.0,0.721605658531189,8,301.5154724121094,30,22
1655.44775390625,2018-01-01,R_A2,STANDARD,0,9,301.63580322265625,0.0,0.8981422781944275,9,301.63580322265625,30,22
1657.2418212890625,2018-01-01,R_A2,STANDARD,0,10,301.7561340332031,0.0,0.9288972020149231,10,301.7561340332031,30,22
1659.1368408203125,2018-01-01,R_A2,STANDARD,0,11,301.88323974609375,0.0,0.0764261856675148,11,301.88323974609375,30,22
1661.132568359375,2018-01-01,R_A2,STANDARD,0,12,302.01708984375,0.0,0.07991793006658554,12,302.01708984375,30,22
1663.12841796875,2018-01-01,R_A2,STANDARD,0,13,302.1509704589844,0.0,0.44190388917922974,13,302.1509704589844,30,22
1665.1241455078125,2018-01-01,R_A2,STANDARD,0,14,302.28485107421875,0.0,0.5030866861343384,14,302.28485107421875,30,22
1667.1199951171875,2018-01-01,R_A2,STANDARD,0,15,302.4187316894531,0.0,0.6875477433204651,15,302.4187316894531,30,22
1669.11572265625,2018-01-01,R_A2,STANDARD,0,16,302.5526123046875,0.0,0.9696621894836426,16,302.5526123046875,30,22
1671.111572265625,2018-01-01,R_A2,STANDARD,0,17,302.6864929199219,0.0,0.9681722521781921,17,302.6864929199219,30,22
1672.9881591796875,2018-01-01,R_A2,STANDARD,0,18,302.8123779296875,0.0,0.988319993019104,18,302.8123779296875,30,22
1674.229736328125,2018-01-01,R_A2,STANDARD,0,19,302.89569091796875,0.0,0.9956573843955994,18,302.89569091796875,29,22
1676.1676025390625,2018-01-01,R_A2,STANDARD,0,20,303.02569580078125,0.0,1.0,27,303.02569580078125,29,22
1677.9368896484375,2018-01-01,R_A2,STANDARD,0,21,303.47802734375,0.0,1.0,28,303.47802734375,29,22
1679.7061767578125,2018-01-01,R_A2,STANDARD,0,22,303.64569091796875,0.0,1.0,29,303.64569091796875,29,22
1681.4754638671875,2018-01-01,R_A2,STANDARD,0,23,303.8133544921875,0.0,1.0,30,303.8133544921875,29,22
1683.2447509765625,2018-01-01,R_A2,STANDARD,0,24,303.98101806640625,0.0,1.0,31,303.98101806640625,29,22
1609.243408203125,2018-01-01,R_A3,STANDARD,0,1,298.53814697265625,0.0,0.6481541991233826,1,298.53814697265625,41,28
1611.3077392578125,2018-01-01,R_A3,STANDARD,0,2,298.676513671875,0.0,0.19344687461853027,2,298.676513671875,41,28
1613.3720703125,2018-01-01,R_A3,STANDARD,0,3,298.8148498535156,0.0,0.19432701170444489,3,298.8148498535156,41,28
1615.4365234375,2018-01-01,R_A3,STANDARD,0,4,298.9532165527344,0.0,0.24996744096279144,4,298.9532165527344,41,28
1617.5008544921875,2018-01-01,R_A3,STANDARD,0,5,299.0915832519531,0.0,0.6481541991233826,5,299.0915832519531,41,28
1619.565185546875,2018-01-01,R_A3,STANDARD,0,6,299.2299499511719,0.0,0.1498473584651947,6,299.2299499511719,41,28
1609.3663330078125,2018-01-01,R_A3,STANDARD,0,7,298.54638671875,0.0,0.2754424512386322,6,298.54638671875,41,29
1611.4163818359375,2018-01-01,R_A3,STANDARD,0,8,298.68377685546875,0.0,0.19882161915302277,7,298.68377685546875,41,29
1613.46630859375,2018-01-01,R_A3,STANDARD,0,9,298.8211669921875,0.0,0.1460786610841751,8,298.8211669921875,41,29
1615.516357421875,2018-01-01,R_A3,STANDARD,0,10,298.95855712890625,0.0,0.6481541991233826,9,298.95855712890625,41,29
1617.5662841796875,2018-01-01,R_A3,STANDARD,0,11,299.095947265625,0.0,0.8030344843864441,10,299.095947265625,41,29
1619.750732421875,2018-01-01,R_A3,STANDARD,0,12,299.24237060546875,0.0,0.04831019043922424,11,299.24237060546875,41,29
1622.0697021484375,2018-01-01,R_A3,STANDARD,0,13,299.3978271484375,0.0,0.053891588002443314,12,299.3978271484375,41,29
1624.388671875,2018-01-01,R_A3,STANDARD,0,14,299.5532531738281,0.0,0.37262097001075745,13,299.5532531738281,41,29
1626.707763671875,2018-01-01,R_A3,STANDARD,0,15,299.7087097167969,0.0,0.3456023037433624,14,299.7087097167969,41,29
1629.026611328125,2018-01-01,R_A3,STANDARD,0,16,299.8641662597656,0.0,0.49332767724990845,15,299.8641662597656,41,29
1630.9468994140625,2018-01-01,R_A3,STANDARD,0,17,299.992919921875,0.0,0.8019264936447144,16,299.992919921875,41,29
1633.5262451171875,2018-01-01,R_A3,STANDARD,0,18,300.16583251953125,0.0,0.6481541991233826,27,300.16583251953125,41,29
1637.1630859375,2018-01-01,R_A3,STANDARD,0,19,300.40966796875,0.0,0.04582946002483368,28,300.40966796875,41,29
1640.8001708984375,2018-01-01,R_A3,STANDARD,0,20,300.6535339355469,0.0,0.05228268727660179,29,300.6535339355469,41,29
1644.4371337890625,2018-01-01,R_A3,STANDARD,0,21,300.89739990234375,0.0,0.6481541991233826,30,300.89739990234375,41,29
1648.0740966796875,2018-01-01,R_A3,STANDARD,0,22,301.14129638671875,0.0,0.06127921864390373,31,301.14129638671875,41,29
1631.1873779296875,2018-01-01,R_A4,STANDARD,0,1,300.009033203125,0.0,0.05178655683994293,1,300.009033203125,52,30
1627.4293212890625,2018-01-01,R_A4,STANDARD,0,2,299.7571105957031,0.0,0.050683874636888504,1,299.7571105957031,52,31
1629.4896240234375,2018-01-01,R_A4,STANDARD,0,3,299.89520263671875,0.0,0.051592472940683365,2,299.89520263671875,52,31
1631.5498046875,2018-01-01,R_A4,STANDARD,0,4,300.0333251953125,0.0,0.053491584956645966,3,300.0333251953125,52,31
1633.610107421875,2018-01-01,R_A4,STANDARD,0,5,300.17144775390625,0.0,0.6481541991233826,4,300.17144775390625,52,31
1632.3968505859375,2018-01-01,R_A4,STANDARD,0,6,300.0901184082031,0.0,0.05713524669408798,4,300.0901184082031,52,32
1635.880615234375,2018-01-01,R_A4,STANDARD,0,7,300.3236999511719,0.0,0.6481541991233826,4,300.3236999511719,51,32
1637.321044921875,2018-01-01,R_A4,STANDARD,0,8,300.4202575683594,0.0,0.6481541991233826,4,300.4202575683594,51,33
1635.474609375,2018-01-01,R_A4,STANDARD,0,9,300.29644775390625,0.0,0.05947340279817581,3,300.29644775390625,51,33
1642.1485595703125,2018-01-01,R_A4,STANDARD,0,10,300.74395751953125,0.0,0.6481541991233826,4,300.74395751953125,50,33
1641.132080078125,2018-01-01,R_A4,STANDARD,0,11,300.67578125,0.0,0.09878486394882202,4,300.67578125,50,34
1639.20703125,2018-01-01,R_A4,STANDARD,0,12,300.5467224121094,0.0,0.15478037297725677,3,300.5467224121094,50,34
1640.9061279296875,2018-01-01,R_A4,STANDARD,0,13,300.66064453125,0.0,0.2293243557214737,3,300.66064453125,50,35
1639.0426025390625,2018-01-01,R_A4,STANDARD,0,14,300.53570556640625,0.0,0.2288455367088318,2,300.53570556640625,50,35
1641.93212890625,2018-01-01,R_A4,STANDARD,0,15,300.72943115234375,0.0,0.24109753966331482,2,300.72943115234375,49,35
1642.357421875,2018-01-01,R_A4,STANDARD,0,16,300.7579650878906,0.0,0.05171753093600273,30,300.7579650878906,49,36
1639.6068115234375,2018-01-01,R_A4,STANDARD,0,17,300.5735168457031,0.0,0.194771870970726,30,300.5735168457031,48,36
1646.7513427734375,2018-01-01,R_A4,STANDARD,0,18,301.0526123046875,0.0,0.09849477559328079,30,301.0526123046875,48,37
1653.461669921875,2018-01-01,R_A4,STANDARD,0,19,301.5025939941406,0.0,0.10194094479084015,30,301.5025939941406,48,38
1657.8184814453125,2018-01-01,R_A4,STANDARD,0,20,301.7947998046875,0.0,0.11428860574960709,30,301.7947998046875,47,38
1685.026611328125,2018-01-01,R_A5,STANDARD,0,1,303.8440856933594,0.0,1.0,1,303.8440856933594,20,31
1687.3070068359375,2018-01-01,R_A5,STANDARD,0,2,304.0601806640625,0.0,1.0,2,304.0601806640625,20,31
1689.5875244140625,2018-01-01,R_A5,STANDARD,0,3,304.58209228515625,0.0,1.0,3,304.58209228515625,20,31
1691.8680419921875,2018-01-01,R_A5,STANDARD,0,4,304.4924011230469,0.0,1.0,4,304.4924011230469,20,31
1694.1485595703125,2018-01-01,R_A5,STANDARD,0,5,304.7085266113281,0.0,1.0,5,304.7085266113281,20,31
1696.4290771484375,2018-01-01,R_A5,STANDARD,0,6,304.9246520996094,0.0,1.0,6,304.9246520996094,20,31
1698.70947265625,2018-01-01,R_A5,STANDARD,0,7,305.446533203125,0.0,1.0,7,305.446533203125,20,31
1707.6488037109375,2018-01-01,R_A5,STANDARD,0,8,305.988037109375,0.0,1.0,11,305.988037109375,20,31
1709.5638427734375,2018-01-01,R_A5,STANDARD,0,9,306.1695251464844,0.0,1.0,12,306.1695251464844,20,31
1701.7845458984375,2018-01-01,R_A5,STANDARD,0,10,305.4322814941406,0.0,1.0,12,305.4322814941406,21,31
1703.735107421875,2018-01-01,R_A5,STANDARD,0,11,305.6291198730469,0.0,1.0,13,305.6291198730469,21,31
1705.6856689453125,2018-01-01,R_A5,STANDARD,0,12,305.81396484375,0.0,1.0,14,305.81396484375,21,31
