SWAT,CONBPRES,PRESSURE,CONKPOS,SGAS,CONIDX,WELLMODEL,DATE,WELL,CONJPOS,CONIPOS,DRAWDOWN,DEPTH
0.05673010274767876,300.6733093261719,300.6733093261719,1,0.0,1,STANDARD,2018-01-01,R_A2,30,22,0,1641.094970703125
0.05777252838015556,300.7936096191406,300.7936096191406,2,0.0,2,STANDARD,2018-01-01,R_A2,30,22,0,1642.8890380859375
0.060030754655599594,300.9139099121094,300.9139099121094,3,0.0,3,STANDARD,2018-01-01,R_A2,30,22,0,1644.68310546875
0.06766234338283539,301.0342102050781,301.0342102050781,4,0.0,4,STANDARD,2018-01-01,R_A2,30,22,0,1646.4771728515625
0.06880508363246918,301.1545104980469,301.1545104980469,5,0.0,5,STANDARD,2018-01-01,R_A2,30,22,0,1648.2713623046875
0.31025803089141846,301.27484130859375,301.27484130859375,6,0.0,6,STANDARD,2018-01-01,R_A2,30,22,0,1650.0654296875
0.891412079334259,301.3951721191406,301.3951721191406,7,0.0,7,STANDARD,2018-01-01,R_A2,30,22,0,1651.859619140625
0.8774909377098083,301.5154724121094,301.5154724121094,8,0.0,8,STANDARD,2018-01-01,R_A2,30,22,0,1653.6536865234375
0.9038383364677429,301.63580322265625,301.63580322265625,9,0.0,9,STANDARD,2018-01-01,R_A2,30,22,0,1655.44775390625
0.9149646162986755,301.7561340332031,301.7561340332031,10,0.0,10,STANDARD,2018-01-01,R_A2,30,22,0,1657.2418212890625
0.07614300400018692,301.88323974609375,301.88323974609375,11,0.0,11,STANDARD,2018-01-01,R_A2,30,22,0,1659.1368408203125
0.07716154307126999,302.01708984375,302.01708984375,12,0.0,12,STANDARD,2018-01-01,R_A2,30,22,0,1661.132568359375
0.4616602957248688,302.1509704589844,302.1509704589844,13,0.0,13,STANDARD,2018-01-01,R_A2,30,22,0,1663.12841796875
0.5056487321853638,302.28485107421875,302.28485107421875,14,0.0,14,STANDARD,2018-01-01,R_A2,30,22,0,1665.1241455078125
0.6890329718589783,302.4187316894531,302.4187316894531,15,0.0,15,STANDARD,2018-01-01,R_A2,30,22,0,1667.1199951171875
0.9704177379608154,302.5526123046875,302.5526123046875,16,0.0,16,STANDARD,2018-01-01,R_A2,30,22,0,1669.11572265625
0.949622392654419,302.6864929199219,302.6864929199219,17,0.0,17,STANDARD,2018-01-01,R_A2,30,22,0,1671.111572265625
0.9828952550888062,302.8123779296875,302.8123779296875,18,0.0,18,STANDARD,2018-01-01,R_A2,30,22,0,1672.9881591796875
0.9966256022453308,302.89569091796875,302.89569091796875,18,0.0,19,STANDARD,2018-01-01,R_A2,29,22,0,1674.229736328125
1.0,303.02569580078125,303.02569580078125,27,0.0,20,STANDARD,2018-01-01,R_A2,29,22,0,1676.1676025390625
1.0,303.47802734375,303.47802734375,28,0.0,21,STANDARD,2018-01-01,R_A2,29,22,0,1677.9368896484375
1.0,303.64569091796875,303.64569091796875,29,0.0,22,STANDARD,2018-01-01,R_A2,29,22,0,1679.7061767578125
1.0,303.8133544921875,303.8133544921875,30,0.0,23,STANDARD,2018-01-01,R_A2,29,22,0,1681.4754638671875
1.0,303.98101806640625,303.98101806640625,31,0.0,24,STANDARD,2018-01-01,R_A2,29,22,0,1683.2447509765625
0.6481541991233826,298.53814697265625,298.53814697265625,1,0.0,1,STANDARD,2018-01-01,R_A3,41,28,0,1609.243408203125
0.19717952609062195,298.676513671875,298.676513671875,2,0.0,2,STANDARD,2018-01-01,R_A3,41,28,0,1611.3077392578125
0.15042813122272491,298.8148498535156,298.8148498535156,3,0.0,3,STANDARD,2018-01-01,R_A3,41,28,0,1613.3720703125
0.6481541991233826,298.9532165527344,298.9532165527344,4,0.0,4,STANDARD,2018-01-01,R_A3,41,28,0,1615.4365234375
0.8328844904899597,299.0915832519531,299.0915832519531,5,0.0,5,STANDARD,2018-01-01,R_A3,41,28,0,1617.5008544921875
0.6481541991233826,299.2299499511719,299.2299499511719,6,0.0,6,STANDARD,2018-01-01,R_A3,41,28,0,1619.565185546875
0.6481541991233826,298.54638671875,298.54638671875,6,0.0,7,STANDARD,2018-01-01,R_A3,41,29,0,1609.3663330078125
0.19782783091068268,298.68377685546875,298.68377685546875,7,0.0,8,STANDARD,2018-01-01,R_A3,41,29,0,1611.4163818359375
0.1995648592710495,298.8211669921875,298.8211669921875,8,0.0,9,STANDARD,2018-01-01,R_A3,41,29,0,1613.46630859375
0.7997170090675354,298.95855712890625,298.95855712890625,9,0.0,10,STANDARD,2018-01-01,R_A3,41,29,0,1615.516357421875
0.8015515208244324,299.095947265625,299.095947265625,10,0.0,11,STANDARD,2018-01-01,R_A3,41,29,0,1617.5662841796875
0.04906727373600006,299.24237060546875,299.24237060546875,11,0.0,12,STANDARD,2018-01-01,R_A3,41,29,0,1619.750732421875
0.05435820296406746,299.3978271484375,299.3978271484375,12,0.0,13,STANDARD,2018-01-01,R_A3,41,29,0,1622.0697021484375
0.36790597438812256,299.5532531738281,299.5532531738281,13,0.0,14,STANDARD,2018-01-01,R_A3,41,29,0,1624.388671875
0.5019171237945557,299.8641662597656,299.8641662597656,15,0.0,15,STANDARD,2018-01-01,R_A3,41,29,0,1629.026611328125
0.8088846802711487,299.992919921875,299.992919921875,16,0.0,16,STANDARD,2018-01-01,R_A3,41,29,0,1630.9468994140625
0.6481541991233826,300.16583251953125,300.16583251953125,27,0.0,17,STANDARD,2018-01-01,R_A3,41,29,0,1633.5262451171875
0.04671987146139145,300.40966796875,300.40966796875,28,0.0,18,STANDARD,2018-01-01,R_A3,41,29,0,1637.1630859375
0.052011314779520035,300.6535339355469,300.6535339355469,29,0.0,19,STANDARD,2018-01-01,R_A3,41,29,0,1640.8001708984375
0.6723677515983582,300.89739990234375,300.89739990234375,30,0.0,20,STANDARD,2018-01-01,R_A3,41,29,0,1644.4371337890625
0.06565839052200317,301.14129638671875,301.14129638671875,31,0.0,21,STANDARD,2018-01-01,R_A3,41,29,0,1648.0740966796875
0.05159545689821243,300.009033203125,300.009033203125,1,0.0,1,STANDARD,2018-01-01,R_A4,52,30,0,1631.1873779296875
0.049295369535684586,299.7571105957031,299.7571105957031,1,0.0,2,STANDARD,2018-01-01,R_A4,52,31,0,1627.4293212890625
0.05215280130505562,299.89520263671875,299.89520263671875,2,0.0,3,STANDARD,2018-01-01,R_A4,52,31,0,1629.4896240234375
0.054117489606142044,300.0333251953125,300.0333251953125,3,0.0,4,STANDARD,2018-01-01,R_A4,52,31,0,1631.5498046875
0.05574403703212738,300.17144775390625,300.17144775390625,4,0.0,5,STANDARD,2018-01-01,R_A4,52,31,0,1633.610107421875
0.05757410079240799,300.0901184082031,300.0901184082031,4,0.0,6,STANDARD,2018-01-01,R_A4,52,32,0,1632.3968505859375
0.05810001865029335,300.3236999511719,300.3236999511719,4,0.0,7,STANDARD,2018-01-01,R_A4,51,32,0,1635.880615234375
0.06064717099070549,300.4202575683594,300.4202575683594,4,0.0,8,STANDARD,2018-01-01,R_A4,51,33,0,1637.321044921875
0.058206330984830856,300.29644775390625,300.29644775390625,3,0.0,9,STANDARD,2018-01-01,R_A4,51,33,0,1635.474609375
0.2798222005367279,300.74395751953125,300.74395751953125,4,0.0,10,STANDARD,2018-01-01,R_A4,50,33,0,1642.1485595703125
0.6481541991233826,300.67578125,300.67578125,4,0.0,11,STANDARD,2018-01-01,R_A4,50,34,0,1641.132080078125
0.09663576632738113,300.5467224121094,300.5467224121094,3,0.0,12,STANDARD,2018-01-01,R_A4,50,34,0,1639.20703125
0.16213864088058472,300.66064453125,300.66064453125,3,0.0,13,STANDARD,2018-01-01,R_A4,50,35,0,1640.9061279296875
0.18770018219947815,300.53570556640625,300.53570556640625,2,0.0,14,STANDARD,2018-01-01,R_A4,50,35,0,1639.0426025390625
0.2386992871761322,300.72943115234375,300.72943115234375,2,0.0,15,STANDARD,2018-01-01,R_A4,49,35,0,1641.93212890625
0.09703515470027924,300.7579650878906,300.7579650878906,30,0.0,16,STANDARD,2018-01-01,R_A4,49,36,0,1642.357421875
0.05722138658165932,300.5735168457031,300.5735168457031,30,0.0,17,STANDARD,2018-01-01,R_A4,48,36,0,1639.6068115234375
0.06256399303674698,301.0526123046875,301.0526123046875,30,0.0,18,STANDARD,2018-01-01,R_A4,48,37,0,1646.7513427734375
0.6481541991233826,301.5025939941406,301.5025939941406,30,0.0,19,STANDARD,2018-01-01,R_A4,48,38,0,1653.461669921875
0.17424188554286957,301.7947998046875,301.7947998046875,30,0.0,20,STANDARD,2018-01-01,R_A4,47,38,0,1657.8184814453125
1.0,303.8440856933594,303.8440856933594,1,0.0,1,STANDARD,2018-01-01,R_A5,20,31,0,1685.026611328125
1.0,304.0601806640625,304.0601806640625,2,0.0,2,STANDARD,2018-01-01,R_A5,20,31,0,1687.3070068359375
