ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4908777,848722,567118,395480,55683590
Valysar,CentralSouth,62864737,11044384,7762268,5413018,762153021
Valysar,CentralNorth,34339705,5920646,4206755,2933581,413048232
Valysar,NorthHorst,3757697,529217,306308,188150,36858526
Valysar,CentralRamp,13747335,2166830,1468004,1023713,144138747
Valysar,CentralHorst,84703333,14662372,10870031,7580217,1067294547
Valysar,EastLowland,288978,49144,12354,8615,1213031
Therys,WestLowland,2193689,424403,201719,140669,19806191
Therys,CentralSouth,9173465,1996175,1187263,827938,116573693
Therys,CentralNorth,18556872,3746559,2182393,1521892,214282391
Therys,NorthHorst,6413094,982277,388611,238704,46762208
Therys,CentralRamp,6771661,1532177,1143392,797345,112266120
Therys,CentralHorst,27940468,6927782,5322913,3711934,522640303
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,252999,41367,16787,11707,1648307
Volon,CentralSouth,28898311,5172923,3566538,2487125,350187273
Volon,CentralNorth,4737277,659939,353727,246672,34731392
Volon,NorthHorst,4778436,934029,724807,445213,87217192
Volon,CentralRamp,11997884,2157068,1591454,1109800,156259898
Volon,CentralHorst,78656784,14244591,11216361,7821730,1101299634
Volon,EastLowland,0,0,0,0,0
