CONIPOS,CONJPOS,CONKPOS,SGAS,DATE,CONIDX,CONBPRES,PRESSURE,SWAT,DEPTH,WELL,WELLMODEL,DRAWDOWN
22,30,1,0.0,2018-01-01,1,300.85174560546875,300.85174560546875,0.09397785365581512,1641.9871826171875,R_A2,STANDARD,0
22,30,2,0.0,2018-01-01,2,300.9716491699219,300.9716491699219,0.05581992119550705,1643.7755126953125,R_A2,STANDARD,0
22,30,3,0.0,2018-01-01,3,301.091552734375,301.091552734375,0.05843828245997429,1645.563720703125,R_A2,STANDARD,0
22,30,4,0.0,2018-01-01,4,301.21148681640625,301.21148681640625,0.06467878818511963,1647.3519287109375,R_A2,STANDARD,0
22,30,5,0.0,2018-01-01,5,301.3314208984375,301.3314208984375,0.08353514224290848,1649.1402587890625,R_A2,STANDARD,0
22,30,6,0.0,2018-01-01,6,301.45135498046875,301.45135498046875,0.3108854293823242,1650.928466796875,R_A2,STANDARD,0
22,30,7,0.0,2018-01-01,7,301.5712890625,301.5712890625,0.879784882068634,1652.716796875,R_A2,STANDARD,0
22,30,8,0.0,2018-01-01,8,301.69122314453125,301.69122314453125,0.8551315665245056,1654.505126953125,R_A2,STANDARD,0
22,30,9,0.0,2018-01-01,9,301.8111572265625,301.8111572265625,0.8887912034988403,1656.2933349609375,R_A2,STANDARD,0
22,30,10,0.0,2018-01-01,10,301.93109130859375,301.93109130859375,0.8884286284446716,1658.08154296875,R_A2,STANDARD,0
22,30,11,0.0,2018-01-01,11,302.0599365234375,302.0599365234375,0.07135910540819168,1660.0023193359375,R_A2,STANDARD,0
22,30,13,0.0,2018-01-01,12,302.33538818359375,302.33538818359375,0.43027493357658386,1664.1087646484375,R_A2,STANDARD,0
22,30,14,0.0,2018-01-01,13,302.4731140136719,302.4731140136719,0.4754699468612671,1666.1619873046875,R_A2,STANDARD,0
22,30,15,0.0,2018-01-01,14,302.61083984375,302.61083984375,0.6426854729652405,1668.2152099609375,R_A2,STANDARD,0
