CONIPOS,CONKPOS,SWAT,CONJPOS,SGAS,CONBPRES,WELL,CONIDX,DATE,PRESSURE,WELLMODEL,DRAWDOWN,DEPTH
22,1,0.06076686456799507,30,0.0,300.5350341796875,R_A2,1,2018-01-01,300.5350341796875,STANDARD,0,1641.094970703125
22,2,0.06213408336043358,30,0.0,300.65533447265625,R_A2,2,2018-01-01,300.65533447265625,STANDARD,0,1642.8890380859375
22,3,0.06484666466712952,30,0.0,300.775634765625,R_A2,3,2018-01-01,300.775634765625,STANDARD,0,1644.68310546875
22,4,0.07347102463245392,30,0.0,300.89593505859375,R_A2,4,2018-01-01,300.89593505859375,STANDARD,0,1646.4771728515625
22,5,0.07514353841543198,30,0.0,301.0162353515625,R_A2,5,2018-01-01,301.0162353515625,STANDARD,0,1648.2713623046875
22,6,0.32235053181648254,30,0.0,301.13653564453125,R_A2,6,2018-01-01,301.13653564453125,STANDARD,0,1650.0654296875
22,7,0.9178628921508789,30,0.0,301.2568664550781,R_A2,7,2018-01-01,301.2568664550781,STANDARD,0,1651.859619140625
22,8,0.9057198762893677,30,0.0,301.3771667480469,R_A2,8,2018-01-01,301.3771667480469,STANDARD,0,1653.6536865234375
22,9,0.9369811415672302,30,0.0,301.49749755859375,R_A2,9,2018-01-01,301.49749755859375,STANDARD,0,1655.44775390625
22,10,0.9506081938743591,30,0.0,301.6178283691406,R_A2,10,2018-01-01,301.6178283691406,STANDARD,0,1657.2418212890625
22,11,0.08895569294691086,30,0.0,301.74493408203125,R_A2,11,2018-01-01,301.74493408203125,STANDARD,0,1659.1368408203125
22,12,0.09192277491092682,30,0.0,301.8787841796875,R_A2,12,2018-01-01,301.8787841796875,STANDARD,0,1661.132568359375
22,13,0.5150013566017151,30,0.0,302.01263427734375,R_A2,13,2018-01-01,302.01263427734375,STANDARD,0,1663.12841796875
22,14,0.5896580815315247,30,0.0,302.1465148925781,R_A2,14,2018-01-01,302.1465148925781,STANDARD,0,1665.1241455078125
22,15,0.7780323624610901,30,0.0,302.2803955078125,R_A2,15,2018-01-01,302.2803955078125,STANDARD,0,1667.1199951171875
22,16,0.9997029900550842,30,0.0,302.4142761230469,R_A2,16,2018-01-01,302.4142761230469,STANDARD,0,1669.11572265625
22,17,0.998278021812439,30,0.0,302.54815673828125,R_A2,17,2018-01-01,302.54815673828125,STANDARD,0,1671.111572265625
22,18,1.0,30,0.0,302.86041259765625,R_A2,18,2018-01-01,302.86041259765625,STANDARD,0,1672.9881591796875
22,18,1.0,29,0.0,302.97808837890625,R_A2,19,2018-01-01,302.97808837890625,STANDARD,0,1674.229736328125
22,27,1.0,29,0.0,303.3103942871094,R_A2,20,2018-01-01,303.3103942871094,STANDARD,0,1676.1676025390625
22,28,1.0,29,0.0,303.47802734375,R_A2,21,2018-01-01,303.47802734375,STANDARD,0,1677.9368896484375
22,29,1.0,29,0.0,303.64569091796875,R_A2,22,2018-01-01,303.64569091796875,STANDARD,0,1679.7061767578125
22,30,1.0,29,0.0,303.8133544921875,R_A2,23,2018-01-01,303.8133544921875,STANDARD,0,1681.4754638671875
22,31,1.0,29,0.0,303.98101806640625,R_A2,24,2018-01-01,303.98101806640625,STANDARD,0,1683.2447509765625
28,1,0.6481541991233826,41,0.0,298.39996337890625,R_A3,1,2018-01-01,298.39996337890625,STANDARD,0,1609.243408203125
28,2,0.20198825001716614,41,0.0,298.5382995605469,R_A3,2,2018-01-01,298.5382995605469,STANDARD,0,1611.3077392578125
