SWAT,PRESSURE,DRAWDOWN,WELL,DEPTH,CONIPOS,CONIDX,CONBPRES,DATE,SGAS,CONJPOS,WELLMODEL,CONKPOS
0.05379423499107361,300.904541015625,0,R_A2,1642.8861083984375,22,1,300.904541015625,2018-01-01,0.0,30,STANDARD,1
0.05636551231145859,301.03155517578125,0,R_A2,1644.7799072265625,22,2,301.03155517578125,2018-01-01,0.0,30,STANDARD,2
0.05987966060638428,301.1585388183594,0,R_A2,1646.6737060546875,22,3,301.1585388183594,2018-01-01,0.0,30,STANDARD,3
0.1785770207643509,301.2855529785156,0,R_A2,1648.567626953125,22,4,301.2855529785156,2018-01-01,0.0,30,STANDARD,4
0.1754516363143921,301.4125671386719,0,R_A2,1650.46142578125,22,5,301.4125671386719,2018-01-01,0.0,30,STANDARD,5
0.3096087872982025,301.5395812988281,0,R_A2,1652.355224609375,22,6,301.5395812988281,2018-01-01,0.0,30,STANDARD,6
0.8864632844924927,301.6665954589844,0,R_A2,1654.2491455078125,22,7,301.6665954589844,2018-01-01,0.0,30,STANDARD,7
0.8763105273246765,301.7936096191406,0,R_A2,1656.1429443359375,22,8,301.7936096191406,2018-01-01,0.0,30,STANDARD,8
0.6481541991233826,301.9206237792969,0,R_A2,1658.036865234375,22,9,301.9206237792969,2018-01-01,0.0,30,STANDARD,9
0.6481541991233826,302.04766845703125,0,R_A2,1659.9306640625,22,10,302.04766845703125,2018-01-01,0.0,30,STANDARD,10
0.07428640127182007,302.1802978515625,0,R_A2,1661.9080810546875,22,11,302.1802978515625,2018-01-01,0.0,30,STANDARD,11
0.0765199214220047,302.31854248046875,0,R_A2,1663.9688720703125,22,12,302.31854248046875,2018-01-01,0.0,30,STANDARD,12
0.45317307114601135,302.456787109375,0,R_A2,1666.02978515625,22,13,302.456787109375,2018-01-01,0.0,30,STANDARD,13
0.49377021193504333,302.59503173828125,0,R_A2,1668.090576171875,22,14,302.59503173828125,2018-01-01,0.0,30,STANDARD,14
0.6755046248435974,302.7332763671875,0,R_A2,1670.1514892578125,22,15,302.7332763671875,2018-01-01,0.0,30,STANDARD,15
0.9608575701713562,302.8715515136719,0,R_A2,1672.21240234375,22,16,302.8715515136719,2018-01-01,0.0,30,STANDARD,16
0.9609568119049072,303.0097961425781,0,R_A2,1674.2733154296875,22,17,303.0097961425781,2018-01-01,0.0,30,STANDARD,17
0.9778439998626709,303.1459045410156,0,R_A2,1676.3017578125,22,18,303.1459045410156,2018-01-01,0.0,30,STANDARD,18
0.989694356918335,303.2447509765625,0,R_A2,1677.77490234375,22,19,303.2447509765625,2018-01-01,0.0,30,STANDARD,19
1.0,303.3424072265625,0,R_A2,1679.2305908203125,22,20,303.3424072265625,2018-01-01,0.0,30,STANDARD,31
1.0,303.781494140625,0,R_A2,1681.1390380859375,22,21,303.781494140625,2018-01-01,0.0,30,STANDARD,32
1.0,303.9623107910156,0,R_A2,1683.04736328125,22,22,303.9623107910156,2018-01-01,0.0,30,STANDARD,33
1.0,303.2420349121094,0,R_A2,1677.7347412109375,22,23,303.2420349121094,2018-01-01,0.0,29,STANDARD,33
0.8388429284095764,303.3686828613281,0,R_A2,1679.6221923828125,22,24,303.3686828613281,2018-01-01,0.0,29,STANDARD,34
1.0,303.8166198730469,0,R_A2,1681.509765625,22,25,303.8166198730469,2018-01-01,0.0,29,STANDARD,35
0.2245410978794098,298.5902099609375,0,R_A3,1608.36279296875,28,1,298.5902099609375,2018-01-01,0.0,41,STANDARD,1
0.12691767513751984,298.0338134765625,0,R_A3,1600.059814453125,29,2,298.0338134765625,2018-01-01,0.0,41,STANDARD,2
0.1475827991962433,298.18505859375,0,R_A3,1602.3167724609375,29,3,298.18505859375,2018-01-01,0.0,41,STANDARD,3
0.36160680651664734,298.3363037109375,0,R_A3,1604.57373046875,29,4,298.3363037109375,2018-01-01,0.0,41,STANDARD,4
0.8036754131317139,298.487548828125,0,R_A3,1606.83056640625,29,5,298.487548828125,2018-01-01,0.0,41,STANDARD,5
0.6481541991233826,298.6387939453125,0,R_A3,1609.0875244140625,29,6,298.6387939453125,2018-01-01,0.0,41,STANDARD,6
0.19158433377742767,298.7900390625,0,R_A3,1611.344482421875,29,7,298.7900390625,2018-01-01,0.0,41,STANDARD,7
0.19589847326278687,298.9413146972656,0,R_A3,1613.601318359375,29,8,298.9413146972656,2018-01-01,0.0,41,STANDARD,8
0.6481541991233826,299.09259033203125,0,R_A3,1615.8582763671875,29,9,299.09259033203125,2018-01-01,0.0,41,STANDARD,9
0.79494309425354,299.2438659667969,0,R_A3,1618.115234375,29,10,299.2438659667969,2018-01-01,0.0,41,STANDARD,10
0.046190857887268066,299.39544677734375,0,R_A3,1620.376708984375,29,11,299.39544677734375,2018-01-01,0.0,41,STANDARD,11
0.05111703649163246,299.5473327636719,0,R_A3,1622.642578125,29,12,299.5473327636719,2018-01-01,0.0,41,STANDARD,12
0.3653101921081543,299.69921875,0,R_A3,1624.908447265625,29,13,299.69921875,2018-01-01,0.0,41,STANDARD,13
0.3728191554546356,299.85113525390625,0,R_A3,1627.1744384765625,29,14,299.85113525390625,2018-01-01,0.0,41,STANDARD,14
