CONBPRES,DEPTH,PRESSURE,SWAT,DATE,WELL,CONKPOS,CONIDX,DRAWDOWN,WELLMODEL,CONJPOS,SGAS,CONIPOS
300.7326965332031,1641.98046875,300.7326965332031,0.11746318638324738,2018-01-01,R_A2,1,1,0,STANDARD,30,0.0,22
300.8503112792969,1643.73486328125,300.8503112792969,0.05976816639304161,2018-01-01,R_A2,2,2,0,STANDARD,30,0.0,22
300.96795654296875,1645.4892578125,300.96795654296875,0.1055585965514183,2018-01-01,R_A2,3,3,0,STANDARD,30,0.0,22
301.0856018066406,1647.2435302734375,301.0856018066406,0.14725695550441742,2018-01-01,R_A2,4,4,0,STANDARD,30,0.0,22
301.2032470703125,1648.9979248046875,301.2032470703125,0.11158188432455063,2018-01-01,R_A2,5,5,0,STANDARD,30,0.0,22
301.3208923339844,1650.752197265625,301.3208923339844,0.31665387749671936,2018-01-01,R_A2,6,6,0,STANDARD,30,0.0,22
301.43853759765625,1652.5064697265625,301.43853759765625,0.8988953828811646,2018-01-01,R_A2,7,7,0,STANDARD,30,0.0,22
301.55621337890625,1654.2608642578125,301.55621337890625,0.8747098445892334,2018-01-01,R_A2,8,8,0,STANDARD,30,0.0,22
301.6738586425781,1656.01513671875,301.6738586425781,0.9125548005104065,2018-01-01,R_A2,9,9,0,STANDARD,30,0.0,22
301.7915344238281,1657.76953125,301.7915344238281,0.9118552207946777,2018-01-01,R_A2,10,10,0,STANDARD,30,0.0,22
301.9205627441406,1659.6934814453125,301.9205627441406,0.07717037945985794,2018-01-01,R_A2,11,11,0,STANDARD,30,0.0,22
302.0610046386719,1661.787109375,302.0610046386719,0.19390635192394257,2018-01-01,R_A2,12,12,0,STANDARD,30,0.0,22
302.201416015625,1663.880615234375,302.201416015625,0.46532702445983887,2018-01-01,R_A2,13,13,0,STANDARD,30,0.0,22
302.34185791015625,1665.9742431640625,302.34185791015625,0.5201127529144287,2018-01-01,R_A2,14,14,0,STANDARD,30,0.0,22
302.4822998046875,1668.06787109375,302.4822998046875,0.9582216143608093,2018-01-01,R_A2,15,15,0,STANDARD,30,0.0,22
302.62274169921875,1670.161376953125,302.62274169921875,0.9872952103614807,2018-01-01,R_A2,16,16,0,STANDARD,30,0.0,22
302.7632141113281,1672.2550048828125,302.7632141113281,0.9549572467803955,2018-01-01,R_A2,17,17,0,STANDARD,30,0.0,22
302.88092041015625,1674.009521484375,302.88092041015625,1.0,2018-01-01,R_A2,18,18,0,STANDARD,30,0.0,22
302.98870849609375,1675.6162109375,302.98870849609375,0.663123369216919,2018-01-01,R_A2,25,19,0,STANDARD,30,0.0,22
303.46026611328125,1677.7493896484375,303.46026611328125,1.0,2018-01-01,R_A2,25,20,0,STANDARD,29,0.0,22
303.6257019042969,1679.4951171875,303.6257019042969,1.0,2018-01-01,R_A2,26,21,0,STANDARD,29,0.0,22
303.7911071777344,1681.24072265625,303.7911071777344,1.0,2018-01-01,R_A2,27,22,0,STANDARD,29,0.0,22
303.95654296875,1682.986328125,303.95654296875,1.0,2018-01-01,R_A2,28,23,0,STANDARD,29,0.0,22
304.1219482421875,1684.7320556640625,304.1219482421875,1.0,2018-01-01,R_A2,29,24,0,STANDARD,29,0.0,22
297.64996337890625,1595.98876953125,297.64996337890625,0.6481541991233826,2018-01-01,R_A3,1,1,0,STANDARD,41,0.0,29
