CONKPOS,DATE,CONIDX,CONBPRES,SGAS,WELL,SWAT,WELLMODEL,CONIPOS,DEPTH,DRAWDOWN,CONJPOS,PRESSURE
1,2018-01-01,1,300.885009765625,0.0,R_A2,0.054274629801511765,STANDARD,22,1642.965576171875,0,30,300.885009765625
2,2018-01-01,2,301.0020446777344,0.0,R_A2,0.05703817680478096,STANDARD,22,1644.7109375,0,30,301.0020446777344
3,2018-01-01,3,301.11907958984375,0.0,R_A2,0.06097877770662308,STANDARD,22,1646.4561767578125,0,30,301.11907958984375
4,2018-01-01,4,301.2361145019531,0.0,R_A2,0.06748458743095398,STANDARD,22,1648.201416015625,0,30,301.2361145019531
5,2018-01-01,5,301.3531494140625,0.0,R_A2,0.06919658184051514,STANDARD,22,1649.94677734375,0,30,301.3531494140625
6,2018-01-01,6,301.4701843261719,0.0,R_A2,0.309806764125824,STANDARD,22,1651.6920166015625,0,30,301.4701843261719
7,2018-01-01,7,301.5872497558594,0.0,R_A2,0.8859302997589111,STANDARD,22,1653.437255859375,0,30,301.5872497558594
8,2018-01-01,8,301.7043151855469,0.0,R_A2,0.8822509050369263,STANDARD,22,1655.1826171875,0,30,301.7043151855469
9,2018-01-01,9,301.82135009765625,0.0,R_A2,0.8931609392166138,STANDARD,22,1656.9278564453125,0,30,301.82135009765625
10,2018-01-01,10,301.93841552734375,0.0,R_A2,0.9070428609848022,STANDARD,22,1658.673095703125,0,30,301.93841552734375
11,2018-01-01,11,302.06671142578125,0.0,R_A2,0.07422865182161331,STANDARD,22,1660.585693359375,0,30,302.06671142578125
12,2018-01-01,12,302.2062072753906,0.0,R_A2,0.08207019418478012,STANDARD,22,1662.66552734375,0,30,302.2062072753906
13,2018-01-01,13,302.3457336425781,0.0,R_A2,0.4528456926345825,STANDARD,22,1664.745361328125,0,30,302.3457336425781
14,2018-01-01,14,302.4852600097656,0.0,R_A2,0.4943915009498596,STANDARD,22,1666.8251953125,0,30,302.4852600097656
15,2018-01-01,15,302.624755859375,0.0,R_A2,0.9437920451164246,STANDARD,22,1668.905029296875,0,30,302.624755859375
16,2018-01-01,16,302.7643127441406,0.0,R_A2,0.9513494372367859,STANDARD,22,1670.98486328125,0,30,302.7643127441406
17,2018-01-01,17,302.9038391113281,0.0,R_A2,0.9219805002212524,STANDARD,22,1673.064697265625,0,30,302.9038391113281
18,2018-01-01,18,303.0137939453125,0.0,R_A2,0.9890690445899963,STANDARD,22,1674.703857421875,0,30,303.0137939453125
25,2018-01-01,19,303.1100158691406,0.0,R_A2,1.0,STANDARD,22,1676.137939453125,0,30,303.1100158691406
26,2018-01-01,20,303.2220458984375,0.0,R_A2,0.8501437902450562,STANDARD,22,1677.8077392578125,0,30,303.2220458984375
26,2018-01-01,21,303.94769287109375,0.0,R_A2,1.0,STANDARD,22,1682.8929443359375,0,29,303.94769287109375
