DEPTH,WELLMODEL,DATE,CONKPOS,CONIDX,CONIPOS,SGAS,SWAT,CONBPRES,DRAWDOWN,WELL,CONJPOS,PRESSURE
1640.87353515625,STANDARD,2018-01-01,1,1,22,0.0,0.05382242426276207,300.73779296875,0,R_A2,30,300.73779296875
1642.6173095703125,STANDARD,2018-01-01,2,2,22,0.0,0.056506987661123276,300.854736328125,0,R_A2,30,300.854736328125
1644.3612060546875,STANDARD,2018-01-01,3,3,22,0.0,0.06055951490998268,300.9716796875,0,R_A2,30,300.9716796875
1646.10498046875,STANDARD,2018-01-01,4,4,22,0.0,0.06464578956365585,301.0885925292969,0,R_A2,30,301.0885925292969
1647.8487548828125,STANDARD,2018-01-01,5,5,22,0.0,0.06804034858942032,301.2055358886719,0,R_A2,30,301.2055358886719
1649.5926513671875,STANDARD,2018-01-01,6,6,22,0.0,0.31785205006599426,301.322509765625,0,R_A2,30,301.322509765625
1651.33642578125,STANDARD,2018-01-01,7,7,22,0.0,0.8808706998825073,301.439453125,0,R_A2,30,301.439453125
1653.080322265625,STANDARD,2018-01-01,8,8,22,0.0,0.8747380375862122,301.556396484375,0,R_A2,30,301.556396484375
1654.8240966796875,STANDARD,2018-01-01,9,9,22,0.0,0.8916631937026978,301.67333984375,0,R_A2,30,301.67333984375
1656.56787109375,STANDARD,2018-01-01,10,10,22,0.0,0.8930405974388123,301.7903137207031,0,R_A2,30,301.7903137207031
1658.43896484375,STANDARD,2018-01-01,11,11,22,0.0,0.06953098624944687,301.9158020019531,0,R_A2,30,301.9158020019531
1660.43701171875,STANDARD,2018-01-01,12,12,22,0.0,0.17186540365219116,302.0498352050781,0,R_A2,30,302.0498352050781
1662.4351806640625,STANDARD,2018-01-01,13,13,22,0.0,0.4299217164516449,302.183837890625,0,R_A2,30,302.183837890625
1664.433349609375,STANDARD,2018-01-01,14,14,22,0.0,0.48200497031211853,302.31787109375,0,R_A2,30,302.31787109375
1666.4315185546875,STANDARD,2018-01-01,15,15,22,0.0,0.7009321451187134,302.451904296875,0,R_A2,30,302.451904296875
1668.4295654296875,STANDARD,2018-01-01,16,16,22,0.0,0.9329561591148376,302.5859680175781,0,R_A2,30,302.5859680175781
1670.427734375,STANDARD,2018-01-01,17,17,22,0.0,0.8849896192550659,302.7200012207031,0,R_A2,30,302.7200012207031
1673.8140869140625,STANDARD,2018-01-01,18,18,22,0.0,0.9604385495185852,302.9471740722656,0,R_A2,29,302.9471740722656
1675.5504150390625,STANDARD,2018-01-01,25,19,22,0.0,1.0,303.0636901855469,0,R_A2,29,303.0636901855469
1677.3341064453125,STANDARD,2018-01-01,26,20,22,0.0,1.0,303.183349609375,0,R_A2,29,303.183349609375
1679.11767578125,STANDARD,2018-01-01,27,21,22,0.0,1.0,303.30303955078125,0,R_A2,29,303.30303955078125
1680.9013671875,STANDARD,2018-01-01,28,22,22,0.0,1.0,303.7589416503906,0,R_A2,29,303.7589416503906
