CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
30,0,1641.174072265625,0.0,0.054539989680051804,R_A2,2018-01-01,1,22,300.7640380859375,300.7640380859375,STANDARD,1
30,0,1642.9696044921875,0.0,0.055682290345430374,R_A2,2018-01-01,2,22,300.8844299316406,300.8844299316406,STANDARD,2
30,0,1644.7652587890625,0.0,0.05815914273262024,R_A2,2018-01-01,3,22,301.0048522949219,301.0048522949219,STANDARD,3
30,0,1646.560791015625,0.0,0.06252048164606094,R_A2,2018-01-01,4,22,301.125244140625,301.125244140625,STANDARD,4
30,0,1648.3563232421875,0.0,0.06605906784534454,R_A2,2018-01-01,5,22,301.24566650390625,301.24566650390625,STANDARD,5
30,0,1650.15185546875,0.0,0.3022536039352417,R_A2,2018-01-01,6,22,301.3660888671875,301.3660888671875,STANDARD,6
30,0,1651.9473876953125,0.0,0.8835896253585815,R_A2,2018-01-01,7,22,301.48651123046875,301.48651123046875,STANDARD,7
30,0,1653.7430419921875,0.0,0.8664790987968445,R_A2,2018-01-01,8,22,301.60693359375,301.60693359375,STANDARD,8
30,0,1655.53857421875,0.0,0.8924999833106995,R_A2,2018-01-01,9,22,301.72735595703125,301.72735595703125,STANDARD,9
30,0,1657.3341064453125,0.0,0.8911483287811279,R_A2,2018-01-01,10,22,301.8477783203125,301.8477783203125,STANDARD,10
30,0,1659.234130859375,0.0,0.07086032629013062,R_A2,2018-01-01,11,22,301.9752197265625,301.9752197265625,STANDARD,11
30,0,1661.23876953125,0.0,0.07510686665773392,R_A2,2018-01-01,12,22,302.10968017578125,302.10968017578125,STANDARD,12
30,0,1663.2432861328125,0.0,0.4590778648853302,R_A2,2018-01-01,13,22,302.244140625,302.244140625,STANDARD,13
30,0,1665.2479248046875,0.0,0.4731502830982208,R_A2,2018-01-01,14,22,302.37860107421875,302.37860107421875,STANDARD,14
30,0,1667.25244140625,0.0,0.6391791105270386,R_A2,2018-01-01,15,22,302.5130920410156,302.5130920410156,STANDARD,15
30,0,1669.257080078125,0.0,0.9347898960113525,R_A2,2018-01-01,16,22,302.6475524902344,302.6475524902344,STANDARD,16
30,0,1671.2615966796875,0.0,0.9048991203308105,R_A2,2018-01-01,17,22,302.78204345703125,302.78204345703125,STANDARD,17
29,0,1673.025634765625,0.0,0.9341803789138794,R_A2,2018-01-01,18,22,302.900390625,302.900390625,STANDARD,17
29,0,1674.8734130859375,0.0,0.967483401298523,R_A2,2018-01-01,19,22,303.02435302734375,303.02435302734375,STANDARD,18
29,0,1676.643310546875,0.0,1.0,R_A2,2018-01-01,20,22,303.1430969238281,303.1430969238281,STANDARD,27
29,0,1678.3785400390625,0.0,1.0,R_A2,2018-01-01,21,22,303.259521484375,303.259521484375,STANDARD,28
29,0,1680.11376953125,0.0,1.0,R_A2,2018-01-01,22,22,303.684326171875,303.684326171875,STANDARD,29
29,0,1681.848876953125,0.0,1.0,R_A2,2018-01-01,23,22,303.8487548828125,303.8487548828125,STANDARD,30
29,0,1683.5841064453125,0.0,1.0,R_A2,2018-01-01,24,22,304.01318359375,304.01318359375,STANDARD,31
41,0,1609.2603759765625,0.0,0.6481541991233826,R_A3,2018-01-01,1,28,298.6246643066406,298.6246643066406,STANDARD,1
41,0,1611.3494873046875,0.0,0.1961689591407776,R_A3,2018-01-01,2,28,298.7646789550781,298.7646789550781,STANDARD,2
41,0,1613.4385986328125,0.0,0.1908043622970581,R_A3,2018-01-01,3,28,298.9046936035156,298.9046936035156,STANDARD,3
41,0,1615.527587890625,0.0,0.37383008003234863,R_A3,2018-01-01,4,28,299.0447082519531,299.0447082519531,STANDARD,4
41,0,1617.61669921875,0.0,0.6481541991233826,R_A3,2018-01-01,5,28,299.1847229003906,299.1847229003906,STANDARD,5
41,0,1619.705810546875,0.0,0.15095146000385284,R_A3,2018-01-01,6,28,299.32476806640625,299.32476806640625,STANDARD,6
