FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL
1,13160033.0,0,13160033.0,46751431.0,0.0,2421446160.0,2421446160.0,69185719.0,21000240.0,48185480.0,0.0,21000240.0
2,0.0,0,0.0,64173132.0,0.0,0.0,0.0,66144827.0,0.0,66144827.0,0.0,0.0
3,10722833.0,0,10722833.0,53165273.0,0.0,1973001283.0,1973001283.0,71901304.0,17107286.0,54794019.0,0.0,17107286.0
4,0.0,0,0.0,75651057.0,0.0,0.0,0.0,77970947.0,0.0,77970947.0,0.0,0.0
5,6501024.0,0,6501024.0,36473339.0,0.0,1196188364.0,1196188364.0,47958896.0,10370389.0,37588507.0,0.0,10370389.0
6,0.0,0,0.0,47794372.0,0.0,0.0,0.0,49257738.0,0.0,49257738.0,0.0,0.0
