ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,241341940.98,33418874.81,20858793.85,13118738.05
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,175870731.95,26510094.23,16969626.92,10672721.17
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,97811697.25,15112486.15,10296610.53,6475855.57
LowerReek,2,0.0,0.0,0.0,0.0
