Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:44
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241382049.26         33434511.94         20899277.40         13144199.41
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241382049.26         33434511.94         20899277.40         13144199.41
MidReek    1                       175847540.38         26490389.19         17101202.48         10755473.08
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175847540.38         26490389.19         17101202.48         10755473.08
LowerReek  1                        97800116.59         15090695.92         10420235.58          6553607.17
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97800116.59         15090695.92         10420235.58          6553607.17
Totals     1                       515029706.22         75015597.04         48420715.46         30453279.65
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515029706.22         75015597.04         48420715.46         30453279.65
