CONBPRES,CONIPOS,PRESSURE,CONKPOS,DRAWDOWN,WELL,DEPTH,SWAT,WELLMODEL,CONJPOS,SGAS,DATE,CONIDX
300.8397216796875,22,300.8397216796875,1,0,R_A2,1642.917236328125,0.05573553964495659,STANDARD,30,0.0,2018-01-01,1
300.9554443359375,22,300.9554443359375,2,0,R_A2,1644.642578125,0.05750736966729164,STANDARD,30,0.0,2018-01-01,2
301.0711364746094,22,301.0711364746094,3,0,R_A2,1646.367919921875,0.06199679151177406,STANDARD,30,0.0,2018-01-01,3
301.18682861328125,22,301.18682861328125,4,0,R_A2,1648.0933837890625,0.0676255077123642,STANDARD,30,0.0,2018-01-01,4
301.30255126953125,22,301.30255126953125,5,0,R_A2,1649.8187255859375,0.07196404039859772,STANDARD,30,0.0,2018-01-01,5
301.4182434082031,22,301.4182434082031,6,0,R_A2,1651.544189453125,0.3136617839336395,STANDARD,30,0.0,2018-01-01,6
301.5339660644531,22,301.5339660644531,7,0,R_A2,1653.2696533203125,0.8880679607391357,STANDARD,30,0.0,2018-01-01,7
301.6496887207031,22,301.6496887207031,8,0,R_A2,1654.9949951171875,0.8685508966445923,STANDARD,30,0.0,2018-01-01,8
301.7654113769531,22,301.7654113769531,9,0,R_A2,1656.7203369140625,0.8983235359191895,STANDARD,30,0.0,2018-01-01,9
301.8811340332031,22,301.8811340332031,10,0,R_A2,1658.44580078125,0.907688558101654,STANDARD,30,0.0,2018-01-01,10
302.0055847167969,22,302.0055847167969,11,0,R_A2,1660.30126953125,0.07362084090709686,STANDARD,30,0.0,2018-01-01,11
302.2719421386719,22,302.2719421386719,13,0,R_A2,1664.27197265625,0.45597174763679504,STANDARD,30,0.0,2018-01-01,12
302.4051208496094,22,302.4051208496094,14,0,R_A2,1666.25732421875,0.5031148791313171,STANDARD,30,0.0,2018-01-01,13
302.5382995605469,22,302.5382995605469,15,0,R_A2,1668.24267578125,0.9418456554412842,STANDARD,30,0.0,2018-01-01,14
302.6714782714844,22,302.6714782714844,16,0,R_A2,1670.22802734375,0.9619486927986145,STANDARD,30,0.0,2018-01-01,15
302.7711181640625,22,302.7711181640625,16,0,R_A2,1671.7132568359375,0.9891476631164551,STANDARD,29,0.0,2018-01-01,16
302.9100036621094,22,302.9100036621094,17,0,R_A2,1673.783447265625,0.9657125473022461,STANDARD,29,0.0,2018-01-01,17
303.0409851074219,22,303.0409851074219,18,0,R_A2,1675.73583984375,0.9992609620094299,STANDARD,29,0.0,2018-01-01,18
303.1710205078125,22,303.1710205078125,26,0,R_A2,1677.673828125,1.0,STANDARD,29,0.0,2018-01-01,19
303.6209411621094,22,303.6209411621094,27,0,R_A2,1679.44482421875,1.0,STANDARD,29,0.0,2018-01-01,20
303.78875732421875,22,303.78875732421875,28,0,R_A2,1681.2158203125,1.0,STANDARD,29,0.0,2018-01-01,21
303.9565734863281,22,303.9565734863281,29,0,R_A2,1682.98681640625,1.0,STANDARD,29,0.0,2018-01-01,22
304.1243896484375,22,304.1243896484375,30,0,R_A2,1684.7578125,1.0,STANDARD,29,0.0,2018-01-01,23
298.7520751953125,28,298.7520751953125,1,0,R_A3,1611.7757568359375,0.6481541991233826,STANDARD,41,0.0,2018-01-01,1
298.8927917480469,28,298.8927917480469,2,0,R_A3,1613.875244140625,0.20017895102500916,STANDARD,41,0.0,2018-01-01,2
299.03350830078125,28,299.03350830078125,3,0,R_A3,1615.974609375,0.1959855556488037,STANDARD,41,0.0,2018-01-01,3
299.1741943359375,28,299.1741943359375,4,0,R_A3,1618.073974609375,0.13766588270664215,STANDARD,41,0.0,2018-01-01,4
298.08172607421875,29,298.08172607421875,4,0,R_A3,1601.7724609375,0.22480358183383942,STANDARD,41,0.0,2018-01-01,5
298.2339782714844,29,298.2339782714844,5,0,R_A3,1604.0447998046875,0.809529185295105,STANDARD,41,0.0,2018-01-01,6
298.3862609863281,29,298.3862609863281,6,0,R_A3,1606.317138671875,0.6481541991233826,STANDARD,41,0.0,2018-01-01,7
298.5385437011719,29,298.5385437011719,7,0,R_A3,1608.5894775390625,0.1914537250995636,STANDARD,41,0.0,2018-01-01,8
298.6908264160156,29,298.6908264160156,8,0,R_A3,1610.86181640625,0.19363638758659363,STANDARD,41,0.0,2018-01-01,9
298.8431396484375,29,298.8431396484375,9,0,R_A3,1613.1341552734375,0.7894647121429443,STANDARD,41,0.0,2018-01-01,10
298.99542236328125,29,298.99542236328125,10,0,R_A3,1615.406494140625,0.7962558269500732,STANDARD,41,0.0,2018-01-01,11
299.1506652832031,29,299.1506652832031,11,0,R_A3,1617.7227783203125,0.0478878952562809,STANDARD,41,0.0,2018-01-01,12
299.3088684082031,29,299.3088684082031,12,0,R_A3,1620.0828857421875,0.05299096927046776,STANDARD,41,0.0,2018-01-01,13
299.4670715332031,29,299.4670715332031,13,0,R_A3,1622.443115234375,0.3706127107143402,STANDARD,41,0.0,2018-01-01,14
299.6252746582031,29,299.6252746582031,14,0,R_A3,1624.80322265625,0.2230851948261261,STANDARD,41,0.0,2018-01-01,15
299.78350830078125,29,299.78350830078125,15,0,R_A3,1627.163330078125,0.48985570669174194,STANDARD,41,0.0,2018-01-01,16
299.925048828125,29,299.925048828125,16,0,R_A3,1629.27490234375,0.80489581823349,STANDARD,41,0.0,2018-01-01,17
300.0017395019531,29,300.0017395019531,17,0,R_A3,1630.4189453125,0.8153669834136963,STANDARD,41,0.0,2018-01-01,18
300.145263671875,29,300.145263671875,26,0,R_A3,1632.5595703125,1.0,STANDARD,41,0.0,2018-01-01,19
300.4037780761719,29,300.4037780761719,27,0,R_A3,1636.4154052734375,0.046118058264255524,STANDARD,41,0.0,2018-01-01,20
300.6623229980469,29,300.6623229980469,28,0,R_A3,1640.271240234375,0.0507253035902977,STANDARD,41,0.0,2018-01-01,21
300.9208679199219,29,300.9208679199219,29,0,R_A3,1644.127197265625,0.6481541991233826,STANDARD,41,0.0,2018-01-01,22
301.179443359375,29,301.179443359375,30,0,R_A3,1647.9830322265625,0.06317120045423508,STANDARD,41,0.0,2018-01-01,23
300.1568908691406,30,300.1568908691406,1,0,R_A4,1632.733154296875,0.05104566738009453,STANDARD,52,0.0,2018-01-01,1
299.7535400390625,31,299.7535400390625,1,0,R_A4,1626.7164306640625,0.049459245055913925,STANDARD,52,0.0,2018-01-01,2
299.89520263671875,31,299.89520263671875,2,0,R_A4,1628.829833984375,0.05072607472538948,STANDARD,52,0.0,2018-01-01,3
300.0368957519531,31,300.0368957519531,3,0,R_A4,1630.943359375,0.0513506643474102,STANDARD,52,0.0,2018-01-01,4
300.1785888671875,31,300.1785888671875,4,0,R_A4,1633.0567626953125,0.05452162027359009,STANDARD,52,0.0,2018-01-01,5
300.0014343261719,32,300.0014343261719,4,0,R_A4,1630.4140625,0.052868667989969254,STANDARD,52,0.0,2018-01-01,6
300.1296081542969,32,300.1296081542969,5,0,R_A4,1632.3260498046875,0.05472780764102936,STANDARD,52,0.0,2018-01-01,7
300.4814758300781,32,300.4814758300781,5,0,R_A4,1637.574462890625,0.060671258717775345,STANDARD,51,0.0,2018-01-01,8
300.3567810058594,32,300.3567810058594,4,0,R_A4,1635.7144775390625,0.05781709402799606,STANDARD,51,0.0,2018-01-01,9
300.4398498535156,33,300.4398498535156,4,0,R_A4,1636.9534912109375,0.05868617445230484,STANDARD,51,0.0,2018-01-01,10
300.3145751953125,33,300.3145751953125,3,0,R_A4,1635.0849609375,0.0566691979765892,STANDARD,51,0.0,2018-01-01,11
300.9018249511719,33,300.9018249511719,4,0,R_A4,1643.8431396484375,0.06123147904872894,STANDARD,50,0.0,2018-01-01,12
300.7641906738281,34,300.7641906738281,4,0,R_A4,1641.7906494140625,0.0614096000790596,STANDARD,50,0.0,2018-01-01,13
300.6343994140625,34,300.6343994140625,3,0,R_A4,1639.855224609375,0.0615779273211956,STANDARD,50,0.0,2018-01-01,14
300.67767333984375,35,300.67767333984375,3,0,R_A4,1640.5006103515625,0.08151128888130188,STANDARD,50,0.0,2018-01-01,15
300.76947021484375,35,300.76947021484375,30,0,R_A4,1641.8695068359375,0.05307818576693535,STANDARD,49,0.0,2018-01-01,16
300.38763427734375,35,300.38763427734375,29,0,R_A4,1636.174560546875,0.1879880279302597,STANDARD,49,0.0,2018-01-01,17
300.8496398925781,36,300.8496398925781,29,0,R_A4,1643.065185546875,0.2822994589805603,STANDARD,49,0.0,2018-01-01,18
300.9440002441406,36,300.9440002441406,29,0,R_A4,1644.472412109375,0.2825898230075836,STANDARD,48,0.0,2018-01-01,19
301.41961669921875,37,301.41961669921875,29,0,R_A4,1651.5643310546875,0.6481541991233826,STANDARD,48,0.0,2018-01-01,20
301.0566711425781,37,301.0566711425781,28,0,R_A4,1646.1524658203125,0.6481541991233826,STANDARD,48,0.0,2018-01-01,21
