WELL,PRESSURE,SGAS,DRAWDOWN,WELLMODEL,DEPTH,CONBPRES,CONIDX,CONJPOS,SWAT,CONIPOS,CONKPOS,DATE
R_A2,300.7226867675781,0.0,0,STANDARD,1641.7860107421875,300.7226867675781,1,30,0.05623192340135574,22,1,2018-01-01
R_A2,300.8469543457031,0.0,0,STANDARD,1643.6392822265625,300.8469543457031,2,30,0.0588805265724659,22,2,2018-01-01
R_A2,300.9712219238281,0.0,0,STANDARD,1645.4925537109375,300.9712219238281,3,30,0.062461454421281815,22,3,2018-01-01
R_A2,301.09552001953125,0.0,0,STANDARD,1647.3458251953125,301.09552001953125,4,30,0.07002795487642288,22,4,2018-01-01
R_A2,301.21978759765625,0.0,0,STANDARD,1649.1990966796875,301.21978759765625,5,30,0.07236950844526291,22,5,2018-01-01
R_A2,301.3440856933594,0.0,0,STANDARD,1651.0523681640625,301.3440856933594,6,30,0.31800854206085205,22,6,2018-01-01
R_A2,301.4683532714844,0.0,0,STANDARD,1652.90576171875,301.4683532714844,7,30,0.9011288285255432,22,7,2018-01-01
R_A2,301.5926513671875,0.0,0,STANDARD,1654.759033203125,301.5926513671875,8,30,0.8854048848152161,22,8,2018-01-01
R_A2,301.7169494628906,0.0,0,STANDARD,1656.6123046875,301.7169494628906,9,30,0.8985751867294312,22,9,2018-01-01
R_A2,301.84124755859375,0.0,0,STANDARD,1658.465576171875,301.84124755859375,10,30,0.9125909805297852,22,10,2018-01-01
R_A2,301.96826171875,0.0,0,STANDARD,1660.359130859375,301.96826171875,11,30,0.08130265027284622,22,11,2018-01-01
R_A2,302.09796142578125,0.0,0,STANDARD,1662.29296875,302.09796142578125,12,30,0.0870673730969429,22,12,2018-01-01
R_A2,302.2276916503906,0.0,0,STANDARD,1664.226806640625,302.2276916503906,13,30,0.47334155440330505,22,13,2018-01-01
R_A2,302.357421875,0.0,0,STANDARD,1666.16064453125,302.357421875,14,30,0.5193777680397034,22,14,2018-01-01
R_A2,302.48712158203125,0.0,0,STANDARD,1668.094482421875,302.48712158203125,15,30,0.6122358441352844,22,15,2018-01-01
R_A2,302.6168518066406,0.0,0,STANDARD,1670.0283203125,302.6168518066406,16,30,0.988011360168457,22,16,2018-01-01
R_A2,302.34869384765625,0.0,0,STANDARD,1666.03076171875,302.34869384765625,17,29,0.9405030012130737,22,16,2018-01-01
R_A2,302.4892272949219,0.0,0,STANDARD,1668.125732421875,302.4892272949219,18,29,0.9338289499282837,22,17,2018-01-01
R_A2,302.6239318847656,0.0,0,STANDARD,1670.1336669921875,302.6239318847656,19,29,0.931692361831665,22,18,2018-01-01
R_A2,302.7139587402344,0.0,0,STANDARD,1671.4757080078125,302.7139587402344,20,29,0.9647849202156067,22,19,2018-01-01
R_A2,302.8057556152344,0.0,0,STANDARD,1672.8441162109375,302.8057556152344,21,29,1.0,22,28,2018-01-01
R_A2,302.9303283691406,0.0,0,STANDARD,1674.7005615234375,302.9303283691406,22,29,1.0,22,29,2018-01-01
R_A2,303.05487060546875,0.0,0,STANDARD,1676.556884765625,303.05487060546875,23,29,1.0,22,30,2018-01-01
R_A2,303.523193359375,0.0,0,STANDARD,1678.4132080078125,303.523193359375,24,29,1.0,22,31,2018-01-01
R_A2,303.6990966796875,0.0,0,STANDARD,1680.2696533203125,303.6990966796875,25,29,1.0,22,32,2018-01-01
R_A3,298.44305419921875,0.0,0,STANDARD,1607.779052734375,298.44305419921875,1,41,0.6481541991233826,28,1,2018-01-01
R_A3,298.5801086425781,0.0,0,STANDARD,1609.8243408203125,298.5801086425781,2,41,0.10849317908287048,28,2,2018-01-01
R_A3,298.7171936035156,0.0,0,STANDARD,1611.86962890625,298.7171936035156,3,41,0.12031406909227371,28,3,2018-01-01
R_A3,298.8542785644531,0.0,0,STANDARD,1613.9150390625,298.8542785644531,4,41,0.12174391746520996,28,4,2018-01-01
R_A3,298.9913635253906,0.0,0,STANDARD,1615.9603271484375,298.9913635253906,5,41,0.2470584213733673,28,5,2018-01-01
R_A3,298.5714416503906,0.0,0,STANDARD,1609.69482421875,298.5714416503906,6,41,0.6481541991233826,29,5,2018-01-01
R_A3,298.7124938964844,0.0,0,STANDARD,1611.799560546875,298.7124938964844,7,41,0.2277885228395462,29,6,2018-01-01
R_A3,298.85357666015625,0.0,0,STANDARD,1613.9044189453125,298.85357666015625,8,41,0.1993582397699356,29,7,2018-01-01
R_A3,298.99462890625,0.0,0,STANDARD,1616.00927734375,298.99462890625,9,41,0.24534517526626587,29,8,2018-01-01
R_A3,299.1357116699219,0.0,0,STANDARD,1618.114013671875,299.1357116699219,10,41,0.7988938689231873,29,9,2018-01-01
R_A3,299.27679443359375,0.0,0,STANDARD,1620.2188720703125,299.27679443359375,11,41,0.8052157759666443,29,10,2018-01-01
R_A3,299.4250793457031,0.0,0,STANDARD,1622.430908203125,299.4250793457031,12,41,0.049693118780851364,29,11,2018-01-01
R_A3,299.5805358886719,0.0,0,STANDARD,1624.7501220703125,299.5805358886719,13,41,0.05703144147992134,29,12,2018-01-01
R_A3,299.73602294921875,0.0,0,STANDARD,1627.0694580078125,299.73602294921875,14,41,0.37947481870651245,29,13,2018-01-01
R_A3,299.8914794921875,0.0,0,STANDARD,1629.388671875,299.8914794921875,15,41,0.3628649413585663,29,14,2018-01-01
R_A3,300.0469665527344,0.0,0,STANDARD,1631.7080078125,300.0469665527344,16,41,0.8028850555419922,29,15,2018-01-01
R_A3,300.16229248046875,0.0,0,STANDARD,1633.4281005859375,300.16229248046875,17,41,0.7987666130065918,29,16,2018-01-01
R_A3,300.3140869140625,0.0,0,STANDARD,1635.69189453125,300.3140869140625,18,41,1.0,29,28,2018-01-01
R_A3,300.54248046875,0.0,0,STANDARD,1639.098388671875,300.54248046875,19,41,0.0465937964618206,29,29,2018-01-01
R_A3,300.7709045410156,0.0,0,STANDARD,1642.5050048828125,300.7709045410156,20,41,0.05227162688970566,29,30,2018-01-01
R_A3,300.99932861328125,0.0,0,STANDARD,1645.91162109375,300.99932861328125,21,41,1.0,29,31,2018-01-01
R_A3,301.227783203125,0.0,0,STANDARD,1649.3182373046875,301.227783203125,22,41,0.06488211452960968,29,32,2018-01-01
R_A4,300.20458984375,0.0,0,STANDARD,1634.0587158203125,300.20458984375,1,52,0.05202464014291763,30,1,2018-01-01
R_A4,299.7350769042969,0.0,0,STANDARD,1627.0556640625,299.7350769042969,2,52,0.04849255457520485,31,1,2018-01-01
R_A4,299.87176513671875,0.0,0,STANDARD,1629.0943603515625,299.87176513671875,3,52,0.051670365035533905,31,2,2018-01-01
R_A4,300.0084533691406,0.0,0,STANDARD,1631.1331787109375,300.0084533691406,4,52,0.052296217530965805,31,3,2018-01-01
R_A4,300.1451110839844,0.0,0,STANDARD,1633.1719970703125,300.1451110839844,5,52,0.07387696206569672,31,4,2018-01-01
R_A4,299.9790954589844,0.0,0,STANDARD,1630.695556640625,299.9790954589844,6,52,0.05356788635253906,32,4,2018-01-01
R_A4,300.40570068359375,0.0,0,STANDARD,1637.0584716796875,300.40570068359375,7,51,0.05780172348022461,32,4,2018-01-01
R_A4,300.4190368652344,0.0,0,STANDARD,1637.2572021484375,300.4190368652344,8,51,0.058798421174287796,33,4,2018-01-01
R_A4,300.3017272949219,0.0,0,STANDARD,1635.5076904296875,300.3017272949219,9,51,0.05821351334452629,33,3,2018-01-01
R_A4,301.0091552734375,0.0,0,STANDARD,1646.05810546875,301.0091552734375,10,50,0.0657094269990921,33,4,2018-01-01
R_A4,300.71337890625,0.0,0,STANDARD,1641.6474609375,300.71337890625,11,50,0.06530658900737762,34,4,2018-01-01
R_A4,300.5905456542969,0.0,0,STANDARD,1639.8153076171875,300.5905456542969,12,50,0.14619892835617065,34,3,2018-01-01
R_A4,300.5711975097656,0.0,0,STANDARD,1639.5269775390625,300.5711975097656,13,50,0.06269621104001999,35,4,2018-01-01
