CONKPOS,CONIPOS,PRESSURE,SWAT,CONBPRES,DRAWDOWN,WELL,SGAS,DEPTH,CONJPOS,CONIDX,DATE,WELLMODEL
1,22,300.6733093261719,0.05760246515274048,300.6733093261719,0,R_A2,0.0,1641.094970703125,30,1,2018-01-01,STANDARD
2,22,300.7936096191406,0.05853121727705002,300.7936096191406,0,R_A2,0.0,1642.8890380859375,30,2,2018-01-01,STANDARD
3,22,300.9139099121094,0.06116862595081329,300.9139099121094,0,R_A2,0.0,1644.68310546875,30,3,2018-01-01,STANDARD
4,22,301.0342102050781,0.0663427859544754,301.0342102050781,0,R_A2,0.0,1646.4771728515625,30,4,2018-01-01,STANDARD
5,22,301.1545104980469,0.0687314122915268,301.1545104980469,0,R_A2,0.0,1648.2713623046875,30,5,2018-01-01,STANDARD
6,22,301.27484130859375,0.3121729791164398,301.27484130859375,0,R_A2,0.0,1650.0654296875,30,6,2018-01-01,STANDARD
7,22,301.3951721191406,0.8978545665740967,301.3951721191406,0,R_A2,0.0,1651.859619140625,30,7,2018-01-01,STANDARD
8,22,301.5154724121094,0.8618757724761963,301.5154724121094,0,R_A2,0.0,1653.6536865234375,30,8,2018-01-01,STANDARD
9,22,301.63580322265625,0.9105261564254761,301.63580322265625,0,R_A2,0.0,1655.44775390625,30,9,2018-01-01,STANDARD
10,22,301.7561340332031,0.9083951115608215,301.7561340332031,0,R_A2,0.0,1657.2418212890625,30,10,2018-01-01,STANDARD
11,22,301.88323974609375,0.07604346424341202,301.88323974609375,0,R_A2,0.0,1659.1368408203125,30,11,2018-01-01,STANDARD
12,22,302.01708984375,0.0789390504360199,302.01708984375,0,R_A2,0.0,1661.132568359375,30,12,2018-01-01,STANDARD
13,22,302.1509704589844,0.44872841238975525,302.1509704589844,0,R_A2,0.0,1663.12841796875,30,13,2018-01-01,STANDARD
14,22,302.28485107421875,0.5068296194076538,302.28485107421875,0,R_A2,0.0,1665.1241455078125,30,14,2018-01-01,STANDARD
15,22,302.4187316894531,0.6861860752105713,302.4187316894531,0,R_A2,0.0,1667.1199951171875,30,15,2018-01-01,STANDARD
16,22,302.5526123046875,0.9714688062667847,302.5526123046875,0,R_A2,0.0,1669.11572265625,30,16,2018-01-01,STANDARD
17,22,302.6864929199219,0.948536217212677,302.6864929199219,0,R_A2,0.0,1671.111572265625,30,17,2018-01-01,STANDARD
18,22,302.8123779296875,0.9796320199966431,302.8123779296875,0,R_A2,0.0,1672.9881591796875,30,18,2018-01-01,STANDARD
18,22,302.89569091796875,0.9940532445907593,302.89569091796875,0,R_A2,0.0,1674.229736328125,29,19,2018-01-01,STANDARD
27,22,303.02569580078125,0.6481541991233826,303.02569580078125,0,R_A2,0.0,1676.1676025390625,29,20,2018-01-01,STANDARD
28,22,303.47802734375,1.0,303.47802734375,0,R_A2,0.0,1677.9368896484375,29,21,2018-01-01,STANDARD
29,22,303.64569091796875,1.0,303.64569091796875,0,R_A2,0.0,1679.7061767578125,29,22,2018-01-01,STANDARD
30,22,303.8133544921875,1.0,303.8133544921875,0,R_A2,0.0,1681.4754638671875,29,23,2018-01-01,STANDARD
31,22,303.98101806640625,1.0,303.98101806640625,0,R_A2,0.0,1683.2447509765625,29,24,2018-01-01,STANDARD
1,28,298.53814697265625,0.6481541991233826,298.53814697265625,0,R_A3,0.0,1609.243408203125,41,1,2018-01-01,STANDARD
2,28,298.676513671875,0.19803451001644135,298.676513671875,0,R_A3,0.0,1611.3077392578125,41,2,2018-01-01,STANDARD
3,28,298.8148498535156,0.19370174407958984,298.8148498535156,0,R_A3,0.0,1613.3720703125,41,3,2018-01-01,STANDARD
4,28,298.9532165527344,0.2555322051048279,298.9532165527344,0,R_A3,0.0,1615.4365234375,41,4,2018-01-01,STANDARD
5,28,299.0915832519531,0.8283283710479736,299.0915832519531,0,R_A3,0.0,1617.5008544921875,41,5,2018-01-01,STANDARD
6,28,299.2299499511719,0.6481541991233826,299.2299499511719,0,R_A3,0.0,1619.565185546875,41,6,2018-01-01,STANDARD
6,29,298.54638671875,0.6481541991233826,298.54638671875,0,R_A3,0.0,1609.3663330078125,41,7,2018-01-01,STANDARD
7,29,298.68377685546875,0.19839943945407867,298.68377685546875,0,R_A3,0.0,1611.4163818359375,41,8,2018-01-01,STANDARD
8,29,298.8211669921875,0.20012404024600983,298.8211669921875,0,R_A3,0.0,1613.46630859375,41,9,2018-01-01,STANDARD
9,29,298.95855712890625,0.8029430508613586,298.95855712890625,0,R_A3,0.0,1615.516357421875,41,10,2018-01-01,STANDARD
10,29,299.095947265625,0.8017147183418274,299.095947265625,0,R_A3,0.0,1617.5662841796875,41,11,2018-01-01,STANDARD
11,29,299.24237060546875,0.047662775963544846,299.24237060546875,0,R_A3,0.0,1619.750732421875,41,12,2018-01-01,STANDARD
12,29,299.3978271484375,0.05465734004974365,299.3978271484375,0,R_A3,0.0,1622.0697021484375,41,13,2018-01-01,STANDARD
13,29,299.5532531738281,0.36961451172828674,299.5532531738281,0,R_A3,0.0,1624.388671875,41,14,2018-01-01,STANDARD
15,29,299.8641662597656,0.40267708897590637,299.8641662597656,0,R_A3,0.0,1629.026611328125,41,15,2018-01-01,STANDARD
16,29,299.992919921875,0.814231276512146,299.992919921875,0,R_A3,0.0,1630.9468994140625,41,16,2018-01-01,STANDARD
27,29,300.16583251953125,0.6481541991233826,300.16583251953125,0,R_A3,0.0,1633.5262451171875,41,17,2018-01-01,STANDARD
28,29,300.40966796875,0.04657479748129845,300.40966796875,0,R_A3,0.0,1637.1630859375,41,18,2018-01-01,STANDARD
29,29,300.6535339355469,0.05444984510540962,300.6535339355469,0,R_A3,0.0,1640.8001708984375,41,19,2018-01-01,STANDARD
