WELL,CONIPOS,DEPTH,CONJPOS,SGAS,CONBPRES,CONKPOS,CONIDX,WELLMODEL,DATE,DRAWDOWN,PRESSURE,SWAT
R_A2,22,1640.468017578125,30,0.0,300.7073059082031,1,1,STANDARD,2018-01-01,0,300.7073059082031,0.05424546077847481
R_A2,22,1642.3427734375,30,0.0,300.8330078125,2,2,STANDARD,2018-01-01,0,300.8330078125,0.056239258497953415
R_A2,22,1644.2174072265625,30,0.0,300.9587097167969,3,3,STANDARD,2018-01-01,0,300.9587097167969,0.05881146341562271
R_A2,22,1646.0921630859375,30,0.0,301.0844421386719,4,4,STANDARD,2018-01-01,0,301.0844421386719,0.06391705572605133
R_A2,22,1647.9669189453125,30,0.0,301.21014404296875,5,5,STANDARD,2018-01-01,0,301.21014404296875,0.0676731988787651
R_A2,22,1649.8416748046875,30,0.0,301.33587646484375,6,6,STANDARD,2018-01-01,0,301.33587646484375,0.16910627484321594
R_A2,22,1651.7164306640625,30,0.0,301.46160888671875,7,7,STANDARD,2018-01-01,0,301.46160888671875,0.8840429186820984
R_A2,22,1653.5911865234375,30,0.0,301.58734130859375,8,8,STANDARD,2018-01-01,0,301.58734130859375,0.8543478846549988
R_A2,22,1655.4659423828125,30,0.0,301.71307373046875,9,9,STANDARD,2018-01-01,0,301.71307373046875,0.8850165605545044
R_A2,22,1657.340576171875,30,0.0,301.83880615234375,10,10,STANDARD,2018-01-01,0,301.83880615234375,0.9065279960632324
R_A2,22,1659.2769775390625,30,0.0,301.96868896484375,11,11,STANDARD,2018-01-01,0,301.96868896484375,0.0729600340127945
R_A2,22,1661.27490234375,30,0.0,302.1026916503906,12,12,STANDARD,2018-01-01,0,302.1026916503906,0.07190690189599991
R_A2,22,1663.272705078125,30,0.0,302.2367248535156,13,13,STANDARD,2018-01-01,0,302.2367248535156,0.439679354429245
R_A2,22,1665.2706298828125,30,0.0,302.3707275390625,14,14,STANDARD,2018-01-01,0,302.3707275390625,0.47871699929237366
R_A2,22,1667.2684326171875,30,0.0,302.5047607421875,15,15,STANDARD,2018-01-01,0,302.5047607421875,0.6137190461158752
R_A2,22,1669.266357421875,30,0.0,302.6387634277344,16,16,STANDARD,2018-01-01,0,302.6387634277344,0.9933107495307922
R_A2,22,1671.2642822265625,30,0.0,302.7727966308594,17,17,STANDARD,2018-01-01,0,302.7727966308594,0.9189903140068054
R_A2,22,1673.15869140625,30,0.0,302.89990234375,18,18,STANDARD,2018-01-01,0,302.89990234375,0.9420737624168396
R_A2,22,1672.01708984375,29,0.0,302.82330322265625,18,19,STANDARD,2018-01-01,0,302.82330322265625,0.9429377317428589
R_A2,22,1673.248779296875,29,0.0,302.90594482421875,19,20,STANDARD,2018-01-01,0,302.90594482421875,0.9497662782669067
R_A2,22,1674.4095458984375,29,0.0,302.98382568359375,29,21,STANDARD,2018-01-01,0,302.98382568359375,1.0
R_A2,22,1676.2222900390625,29,0.0,303.1054382324219,30,22,STANDARD,2018-01-01,0,303.1054382324219,1.0
R_A2,22,1678.0350341796875,29,0.0,303.22705078125,31,23,STANDARD,2018-01-01,0,303.22705078125,1.0
R_A2,22,1679.84765625,29,0.0,303.65911865234375,32,24,STANDARD,2018-01-01,0,303.65911865234375,1.0
R_A2,22,1681.660400390625,29,0.0,303.83087158203125,33,25,STANDARD,2018-01-01,0,303.83087158203125,1.0
R_A3,28,1609.991943359375,41,0.0,298.664306640625,1,1,STANDARD,2018-01-01,0,298.664306640625,0.13181614875793457
R_A3,28,1612.0584716796875,41,0.0,298.80279541015625,2,2,STANDARD,2018-01-01,0,298.80279541015625,0.11823459714651108
R_A3,28,1614.1251220703125,41,0.0,298.9413146972656,3,3,STANDARD,2018-01-01,0,298.9413146972656,0.11823459714651108
R_A3,29,1602.5166015625,41,0.0,298.1633605957031,3,4,STANDARD,2018-01-01,0,298.1633605957031,0.18405134975910187
R_A3,29,1604.6104736328125,41,0.0,298.3036804199219,4,5,STANDARD,2018-01-01,0,298.3036804199219,0.36060166358947754
R_A3,29,1606.704345703125,41,0.0,298.4440002441406,5,6,STANDARD,2018-01-01,0,298.4440002441406,0.8117625713348389
R_A3,29,1608.79833984375,41,0.0,298.5843200683594,6,7,STANDARD,2018-01-01,0,298.5843200683594,0.6481541991233826
R_A3,29,1610.8922119140625,41,0.0,298.7246398925781,7,8,STANDARD,2018-01-01,0,298.7246398925781,0.11100084334611893
R_A3,29,1612.986083984375,41,0.0,298.864990234375,8,9,STANDARD,2018-01-01,0,298.864990234375,0.13214105367660522
R_A3,29,1615.080078125,41,0.0,299.00531005859375,9,10,STANDARD,2018-01-01,0,299.00531005859375,0.7928910255432129
R_A3,29,1617.174072265625,41,0.0,299.1456604003906,10,11,STANDARD,2018-01-01,0,299.1456604003906,0.7944806814193726
R_A3,29,1619.391357421875,41,0.0,299.2942810058594,11,12,STANDARD,2018-01-01,0,299.2942810058594,0.05155366286635399
R_A3,29,1621.73193359375,41,0.0,299.451171875,12,13,STANDARD,2018-01-01,0,299.451171875,0.0523042194545269
R_A3,29,1624.0723876953125,41,0.0,299.6080627441406,13,14,STANDARD,2018-01-01,0,299.6080627441406,0.36600011587142944
R_A3,29,1626.4129638671875,41,0.0,299.7649841308594,14,15,STANDARD,2018-01-01,0,299.7649841308594,0.046039145439863205
R_A3,29,1628.750244140625,41,0.0,299.9216613769531,15,16,STANDARD,2018-01-01,0,299.9216613769531,0.5022603869438171
R_A3,29,1630.7083740234375,41,0.0,300.0529479980469,16,17,STANDARD,2018-01-01,0,300.0529479980469,0.8097813129425049
R_A3,29,1633.462890625,41,0.0,300.23760986328125,29,18,STANDARD,2018-01-01,0,300.23760986328125,0.6481541991233826
R_A3,29,1637.20556640625,41,0.0,300.4885559082031,30,19,STANDARD,2018-01-01,0,300.4885559082031,0.04671712964773178
R_A3,29,1640.9482421875,41,0.0,300.739501953125,31,20,STANDARD,2018-01-01,0,300.739501953125,0.05171358585357666
R_A3,29,1644.6910400390625,41,0.0,300.990478515625,32,21,STANDARD,2018-01-01,0,300.990478515625,1.0
R_A3,29,1648.4337158203125,41,0.0,301.241455078125,33,22,STANDARD,2018-01-01,0,301.241455078125,0.15275923907756805
R_A4,30,1628.9658203125,52,0.0,299.9361267089844,1,1,STANDARD,2018-01-01,0,299.9361267089844,0.048845674842596054
