ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,6292919,942209,512325,357270,50303647
Valysar,CentralSouth,65401890,11679034,8507803,5932917,835354755
Valysar,CentralNorth,37886561,6593440,4664827,3253018,458024887
Valysar,NorthHorst,4655392,670260,349338,214581,42036373
Valysar,CentralRamp,13290133,1879552,1266444,883155,124348231
Valysar,CentralHorst,85876564,13390396,10113609,7052726,993023830
Valysar,EastLowland,2957090,331669,192869,134497,18937221
Therys,WestLowland,2914446,479837,229216,159844,22506053
Therys,CentralSouth,13772162,3169951,2148807,1498471,210984705
Therys,CentralNorth,19430812,3564906,2091675,1458630,205375079
Therys,NorthHorst,6951093,875700,354024,217459,42600301
Therys,CentralRamp,6571832,1482884,1167450,814122,114628329
Therys,CentralHorst,31103827,7475259,5827651,4063913,572198959
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,452085,82376,55182,38481,5418175
Volon,CentralSouth,34244388,6260880,4777363,3331494,469074393
Volon,CentralNorth,5479678,708694,367471,256256,36080835
Volon,NorthHorst,4827567,867254,659635,405181,79374986
Volon,CentralRamp,12341921,2186530,1688803,1177687,165818298
Volon,CentralHorst,83688027,14836410,11690012,8152031,1147805946
Volon,EastLowland,0,0,0,0,0
