WELLMODEL,DRAWDOWN,PRESSURE,CONJPOS,WELL,CONBPRES,CONKPOS,SGAS,SWAT,DEPTH,DATE,CONIDX,CONIPOS
STANDARD,0,300.46209716796875,30,R_A2,300.46209716796875,1,0.0,0.0570538192987442,1638.984375,2018-01-01,1,22
STANDARD,0,300.5847473144531,30,R_A2,300.5847473144531,2,0.0,0.05927843973040581,1640.813720703125,2018-01-01,2,22
STANDARD,0,300.7074279785156,30,R_A2,300.7074279785156,3,0.0,0.06137234717607498,1642.64306640625,2018-01-01,3,22
STANDARD,0,300.830078125,30,R_A2,300.830078125,4,0.0,0.06793761998414993,1644.472412109375,2018-01-01,4,22
STANDARD,0,300.9527587890625,30,R_A2,300.9527587890625,5,0.0,0.07092417031526566,1646.3017578125,2018-01-01,5,22
STANDARD,0,301.075439453125,30,R_A2,301.075439453125,6,0.0,0.32742223143577576,1648.131103515625,2018-01-01,6,22
STANDARD,0,301.1980895996094,30,R_A2,301.1980895996094,7,0.0,0.8951473832130432,1649.9603271484375,2018-01-01,7,22
STANDARD,0,301.3207702636719,30,R_A2,301.3207702636719,8,0.0,0.8796753287315369,1651.789794921875,2018-01-01,8,22
STANDARD,0,301.4434509277344,30,R_A2,301.4434509277344,9,0.0,0.9130958318710327,1653.619140625,2018-01-01,9,22
STANDARD,0,301.566162109375,30,R_A2,301.566162109375,10,0.0,0.9166446328163147,1655.4483642578125,2018-01-01,10,22
STANDARD,0,301.6959228515625,30,R_A2,301.6959228515625,11,0.0,0.08061756193637848,1657.38330078125,2018-01-01,11,22
STANDARD,0,301.8327941894531,30,R_A2,301.8327941894531,12,0.0,0.08335333317518234,1659.423828125,2018-01-01,12,22
STANDARD,0,301.9696350097656,30,R_A2,301.9696350097656,13,0.0,0.4763890504837036,1661.4644775390625,2018-01-01,13,22
STANDARD,0,302.1065368652344,30,R_A2,302.1065368652344,14,0.0,0.5249256491661072,1663.5050048828125,2018-01-01,14,22
STANDARD,0,302.243408203125,30,R_A2,302.243408203125,15,0.0,0.7056924104690552,1665.545654296875,2018-01-01,15,22
STANDARD,0,302.3802795410156,30,R_A2,302.3802795410156,16,0.0,0.9679862856864929,1667.586181640625,2018-01-01,16,22
STANDARD,0,302.51715087890625,30,R_A2,302.51715087890625,17,0.0,0.9590175151824951,1669.626708984375,2018-01-01,17,22
STANDARD,0,302.650634765625,30,R_A2,302.650634765625,18,0.0,0.9710001349449158,1671.6163330078125,2018-01-01,18,22
STANDARD,0,302.7946472167969,30,R_A2,302.7946472167969,24,0.0,0.5509845018386841,1673.7628173828125,2018-01-01,19,22
STANDARD,0,302.9031982421875,29,R_A2,302.9031982421875,24,0.0,1.0,1675.097412109375,2018-01-01,20,22
STANDARD,0,303.3681335449219,29,R_A2,303.3681335449219,25,0.0,1.0,1676.777099609375,2018-01-01,21,22
STANDARD,0,303.5273132324219,29,R_A2,303.5273132324219,26,0.0,1.0,1678.456787109375,2018-01-01,22,22
STANDARD,0,303.6864929199219,29,R_A2,303.6864929199219,27,0.0,1.0,1680.136474609375,2018-01-01,23,22
STANDARD,0,303.84564208984375,29,R_A2,303.84564208984375,28,0.0,1.0,1681.8162841796875,2018-01-01,24,22
STANDARD,0,298.41424560546875,41,R_A3,298.41424560546875,1,0.0,0.6481541991233826,1608.4337158203125,2018-01-01,1,28
