CONKPOS,DATE,CONJPOS,DEPTH,SGAS,PRESSURE,DRAWDOWN,CONIPOS,SWAT,CONIDX,WELLMODEL,WELL,CONBPRES
1,2018-01-01,30,1641.094970703125,0.0,300.6733093261719,0,22,0.05682307109236717,1,STANDARD,R_A2,300.6733093261719
2,2018-01-01,30,1642.8890380859375,0.0,300.7936096191406,0,22,0.059868622571229935,2,STANDARD,R_A2,300.7936096191406
3,2018-01-01,30,1644.68310546875,0.0,300.9139099121094,0,22,0.0626271441578865,3,STANDARD,R_A2,300.9139099121094
4,2018-01-01,30,1646.4771728515625,0.0,301.0342102050781,0,22,0.06645650416612625,4,STANDARD,R_A2,301.0342102050781
5,2018-01-01,30,1648.2713623046875,0.0,301.1545104980469,0,22,0.07079914212226868,5,STANDARD,R_A2,301.1545104980469
6,2018-01-01,30,1650.0654296875,0.0,301.27484130859375,0,22,0.23910002410411835,6,STANDARD,R_A2,301.27484130859375
7,2018-01-01,30,1651.859619140625,0.0,301.3951721191406,0,22,0.8951376676559448,7,STANDARD,R_A2,301.3951721191406
8,2018-01-01,30,1653.6536865234375,0.0,301.5154724121094,0,22,0.8685147166252136,8,STANDARD,R_A2,301.5154724121094
9,2018-01-01,30,1655.44775390625,0.0,301.63580322265625,0,22,0.894565999507904,9,STANDARD,R_A2,301.63580322265625
10,2018-01-01,30,1657.2418212890625,0.0,301.7561340332031,0,22,0.9062598943710327,10,STANDARD,R_A2,301.7561340332031
11,2018-01-01,30,1659.1368408203125,0.0,301.88323974609375,0,22,0.07765933871269226,11,STANDARD,R_A2,301.88323974609375
12,2018-01-01,30,1661.132568359375,0.0,302.01708984375,0,22,0.08095082640647888,12,STANDARD,R_A2,302.01708984375
13,2018-01-01,30,1663.12841796875,0.0,302.1509704589844,0,22,0.4631236791610718,13,STANDARD,R_A2,302.1509704589844
14,2018-01-01,30,1665.1241455078125,0.0,302.28485107421875,0,22,0.5077258348464966,14,STANDARD,R_A2,302.28485107421875
15,2018-01-01,30,1667.1199951171875,0.0,302.4187316894531,0,22,0.6800851821899414,15,STANDARD,R_A2,302.4187316894531
16,2018-01-01,30,1669.11572265625,0.0,302.5526123046875,0,22,0.9764990210533142,16,STANDARD,R_A2,302.5526123046875
17,2018-01-01,30,1671.111572265625,0.0,302.6864929199219,0,22,0.9521156549453735,17,STANDARD,R_A2,302.6864929199219
18,2018-01-01,30,1672.9881591796875,0.0,302.8123779296875,0,22,0.9803889393806458,18,STANDARD,R_A2,302.8123779296875
18,2018-01-01,29,1674.229736328125,0.0,302.89569091796875,0,22,0.9921049475669861,19,STANDARD,R_A2,302.89569091796875
27,2018-01-01,29,1676.1676025390625,0.0,303.02569580078125,0,22,0.4429566264152527,20,STANDARD,R_A2,303.02569580078125
28,2018-01-01,29,1677.9368896484375,0.0,303.47802734375,0,22,1.0,21,STANDARD,R_A2,303.47802734375
