WELL,DATE,CONBPRES,SGAS,CONJPOS,DEPTH,SWAT,CONKPOS,CONIDX,PRESSURE,CONIPOS,WELLMODEL,DRAWDOWN
R_A2,2018-01-01,300.6733093261719,0.0,30,1641.094970703125,0.055880606174468994,1,1,300.6733093261719,22,STANDARD,0
R_A2,2018-01-01,300.7936096191406,0.0,30,1642.8890380859375,0.05794878676533699,2,2,300.7936096191406,22,STANDARD,0
R_A2,2018-01-01,300.9139099121094,0.0,30,1644.68310546875,0.06058797240257263,3,3,300.9139099121094,22,STANDARD,0
R_A2,2018-01-01,301.0342102050781,0.0,30,1646.4771728515625,0.0678098052740097,4,4,301.0342102050781,22,STANDARD,0
R_A2,2018-01-01,301.1545104980469,0.0,30,1648.2713623046875,0.07152793556451797,5,5,301.1545104980469,22,STANDARD,0
R_A2,2018-01-01,301.27484130859375,0.0,30,1650.0654296875,0.14327770471572876,6,6,301.27484130859375,22,STANDARD,0
R_A2,2018-01-01,301.3951721191406,0.0,30,1651.859619140625,0.2598637044429779,7,7,301.3951721191406,22,STANDARD,0
R_A2,2018-01-01,301.5154724121094,0.0,30,1653.6536865234375,0.6481541991233826,8,8,301.5154724121094,22,STANDARD,0
R_A2,2018-01-01,301.63580322265625,0.0,30,1655.44775390625,0.6481541991233826,9,9,301.63580322265625,22,STANDARD,0
R_A2,2018-01-01,301.7561340332031,0.0,30,1657.2418212890625,0.9135551452636719,10,10,301.7561340332031,22,STANDARD,0
R_A2,2018-01-01,301.88323974609375,0.0,30,1659.1368408203125,0.07876349240541458,11,11,301.88323974609375,22,STANDARD,0
R_A2,2018-01-01,302.01708984375,0.0,30,1661.132568359375,0.0862409919500351,12,12,302.01708984375,22,STANDARD,0
R_A2,2018-01-01,302.1509704589844,0.0,30,1663.12841796875,0.4577699303627014,13,13,302.1509704589844,22,STANDARD,0
R_A2,2018-01-01,302.28485107421875,0.0,30,1665.1241455078125,0.519985556602478,14,14,302.28485107421875,22,STANDARD,0
R_A2,2018-01-01,302.4187316894531,0.0,30,1667.1199951171875,0.6918675303459167,15,15,302.4187316894531,22,STANDARD,0
R_A2,2018-01-01,302.5526123046875,0.0,30,1669.11572265625,0.9727101922035217,16,16,302.5526123046875,22,STANDARD,0
R_A2,2018-01-01,302.6864929199219,0.0,30,1671.111572265625,0.9494145512580872,17,17,302.6864929199219,22,STANDARD,0
R_A2,2018-01-01,302.8123779296875,0.0,30,1672.9881591796875,0.9820622205734253,18,18,302.8123779296875,22,STANDARD,0
R_A2,2018-01-01,302.89569091796875,0.0,29,1674.229736328125,0.9921741485595703,18,19,302.89569091796875,22,STANDARD,0
R_A2,2018-01-01,303.02569580078125,0.0,29,1676.1676025390625,0.4947701394557953,27,20,303.02569580078125,22,STANDARD,0
R_A2,2018-01-01,303.47802734375,0.0,29,1677.9368896484375,1.0,28,21,303.47802734375,22,STANDARD,0
R_A2,2018-01-01,303.64569091796875,0.0,29,1679.7061767578125,1.0,29,22,303.64569091796875,22,STANDARD,0
R_A2,2018-01-01,303.8133544921875,0.0,29,1681.4754638671875,1.0,30,23,303.8133544921875,22,STANDARD,0
R_A2,2018-01-01,303.98101806640625,0.0,29,1683.2447509765625,1.0,31,24,303.98101806640625,22,STANDARD,0
R_A3,2018-01-01,298.53814697265625,0.0,41,1609.243408203125,0.30849525332450867,1,1,298.53814697265625,28,STANDARD,0
R_A3,2018-01-01,298.676513671875,0.0,41,1611.3077392578125,0.19968974590301514,2,2,298.676513671875,28,STANDARD,0
R_A3,2018-01-01,298.8148498535156,0.0,41,1613.3720703125,0.19958947598934174,3,3,298.8148498535156,28,STANDARD,0
R_A3,2018-01-01,298.9532165527344,0.0,41,1615.4365234375,0.37015843391418457,4,4,298.9532165527344,28,STANDARD,0
R_A3,2018-01-01,299.0915832519531,0.0,41,1617.5008544921875,0.8261942863464355,5,5,299.0915832519531,28,STANDARD,0
R_A3,2018-01-01,299.2299499511719,0.0,41,1619.565185546875,0.2662692070007324,6,6,299.2299499511719,28,STANDARD,0
R_A3,2018-01-01,298.54638671875,0.0,41,1609.3663330078125,0.6481541991233826,6,7,298.54638671875,29,STANDARD,0
R_A3,2018-01-01,298.68377685546875,0.0,41,1611.4163818359375,0.19361057877540588,7,8,298.68377685546875,29,STANDARD,0
R_A3,2018-01-01,298.8211669921875,0.0,41,1613.46630859375,0.19695129990577698,8,9,298.8211669921875,29,STANDARD,0
R_A3,2018-01-01,298.95855712890625,0.0,41,1615.516357421875,0.7978300452232361,9,10,298.95855712890625,29,STANDARD,0
R_A3,2018-01-01,299.095947265625,0.0,41,1617.5662841796875,0.8037355542182922,10,11,299.095947265625,29,STANDARD,0
