PRESSURE,CONJPOS,SWAT,CONIDX,SGAS,CONIPOS,DRAWDOWN,CONBPRES,CONKPOS,DATE,WELL,DEPTH,WELLMODEL
300.780517578125,30,0.05259581282734871,1,0.0,22,0,300.780517578125,1,2018-01-01,R_A2,1640.834228515625,STANDARD
300.89739990234375,30,0.055550623685121536,2,0.0,22,0,300.89739990234375,2,2018-01-01,R_A2,1642.5772705078125,STANDARD
301.0142822265625,30,0.05766784027218819,3,0.0,22,0,301.0142822265625,3,2018-01-01,R_A2,1644.3203125,STANDARD
301.13116455078125,30,0.062430012971162796,4,0.0,22,0,301.13116455078125,4,2018-01-01,R_A2,1646.0634765625,STANDARD
301.248046875,30,0.10705506801605225,5,0.0,22,0,301.248046875,5,2018-01-01,R_A2,1647.8065185546875,STANDARD
301.3649597167969,30,0.6481541991233826,6,0.0,22,0,301.3649597167969,6,2018-01-01,R_A2,1649.549560546875,STANDARD
301.4818420410156,30,0.8755069375038147,7,0.0,22,0,301.4818420410156,7,2018-01-01,R_A2,1651.292724609375,STANDARD
301.5987548828125,30,0.840641438961029,8,0.0,22,0,301.5987548828125,8,2018-01-01,R_A2,1653.0357666015625,STANDARD
301.7156677246094,30,0.8765140175819397,9,0.0,22,0,301.7156677246094,9,2018-01-01,R_A2,1654.77880859375,STANDARD
301.83258056640625,30,0.6481541991233826,10,0.0,22,0,301.83258056640625,10,2018-01-01,R_A2,1656.52197265625,STANDARD
301.95953369140625,30,0.06637708097696304,11,0.0,22,0,301.95953369140625,11,2018-01-01,R_A2,1658.4149169921875,STANDARD
302.2336120605469,30,0.42400574684143066,12,0.0,22,0,302.2336120605469,13,2018-01-01,R_A2,1662.5009765625,STANDARD
302.37066650390625,30,0.4779717028141022,13,0.0,22,0,302.37066650390625,14,2018-01-01,R_A2,1664.5439453125,STANDARD
302.5076904296875,30,0.898021399974823,14,0.0,22,0,302.5076904296875,15,2018-01-01,R_A2,1666.5869140625,STANDARD
302.6447448730469,30,0.9137953519821167,15,0.0,22,0,302.6447448730469,16,2018-01-01,R_A2,1668.6298828125,STANDARD
302.9604797363281,29,0.9677964448928833,16,0.0,22,0,302.9604797363281,16,2018-01-01,R_A2,1673.3359375,STANDARD
303.0997314453125,29,0.9457778334617615,17,0.0,22,0,303.0997314453125,17,2018-01-01,R_A2,1675.41162109375,STANDARD
