CONJPOS,DEPTH,PRESSURE,CONIDX,DRAWDOWN,WELLMODEL,CONIPOS,CONBPRES,SGAS,SWAT,CONKPOS,WELL,DATE
30,1642.349609375,300.8752136230469,1,0,STANDARD,22,300.8752136230469,0.0,0.05288166552782059,1,R_A2,2018-01-01
30,1644.20068359375,300.99932861328125,2,0,STANDARD,22,300.99932861328125,0.0,0.05644465237855911,2,R_A2,2018-01-01
30,1646.0517578125,301.12347412109375,3,0,STANDARD,22,301.12347412109375,0.0,0.05883253365755081,3,R_A2,2018-01-01
30,1647.90283203125,301.2475891113281,4,0,STANDARD,22,301.2475891113281,0.0,0.17130939662456512,4,R_A2,2018-01-01
30,1649.75390625,301.3717346191406,5,0,STANDARD,22,301.3717346191406,0.0,0.06847283989191055,5,R_A2,2018-01-01
30,1651.60498046875,301.4958801269531,6,0,STANDARD,22,301.4958801269531,0.0,0.30250677466392517,6,R_A2,2018-01-01
30,1653.4560546875,301.6200256347656,7,0,STANDARD,22,301.6200256347656,0.0,0.8840370774269104,7,R_A2,2018-01-01
30,1655.30712890625,301.7441711425781,8,0,STANDARD,22,301.7441711425781,0.0,0.8670616745948792,8,R_A2,2018-01-01
30,1657.158203125,301.86834716796875,9,0,STANDARD,22,301.86834716796875,0.0,0.8957853317260742,9,R_A2,2018-01-01
30,1659.00927734375,301.99249267578125,10,0,STANDARD,22,301.99249267578125,0.0,0.9015927314758301,10,R_A2,2018-01-01
30,1660.968505859375,302.1239013671875,11,0,STANDARD,22,302.1239013671875,0.0,0.07179687917232513,11,R_A2,2018-01-01
30,1663.0357666015625,302.2625732421875,12,0,STANDARD,22,302.2625732421875,0.0,0.07894253730773926,12,R_A2,2018-01-01
30,1665.10302734375,302.4012451171875,13,0,STANDARD,22,302.4012451171875,0.0,0.4352611303329468,13,R_A2,2018-01-01
30,1667.17041015625,302.5399169921875,14,0,STANDARD,22,302.5399169921875,0.0,0.4820721745491028,14,R_A2,2018-01-01
30,1669.2376708984375,302.6786193847656,15,0,STANDARD,22,302.6786193847656,0.0,0.6644705533981323,15,R_A2,2018-01-01
30,1671.304931640625,302.8172912597656,16,0,STANDARD,22,302.8172912597656,0.0,0.9509267807006836,16,R_A2,2018-01-01
30,1673.372314453125,302.95599365234375,17,0,STANDARD,22,302.95599365234375,0.0,0.926007091999054,17,R_A2,2018-01-01
29,1672.1275634765625,302.87249755859375,18,0,STANDARD,22,302.87249755859375,0.0,0.8921594023704529,17,R_A2,2018-01-01
29,1674.0469970703125,303.00128173828125,19,0,STANDARD,22,303.00128173828125,0.0,0.9493764638900757,18,R_A2,2018-01-01
29,1675.8466796875,303.12200927734375,20,0,STANDARD,22,303.12200927734375,0.0,0.23869173228740692,26,R_A2,2018-01-01
29,1677.6182861328125,303.2408752441406,21,0,STANDARD,22,303.2408752441406,0.0,1.0,27,R_A2,2018-01-01
29,1679.3897705078125,303.3597412109375,22,0,STANDARD,22,303.3597412109375,0.0,1.0,28,R_A2,2018-01-01
29,1681.161376953125,303.4786071777344,23,0,STANDARD,22,303.4786071777344,0.0,1.0,29,R_A2,2018-01-01
29,1682.932861328125,303.64569091796875,24,0,STANDARD,22,303.64569091796875,0.0,1.0,30,R_A2,2018-01-01
41,1609.6204833984375,298.68115234375,1,0,STANDARD,28,298.68115234375,0.0,0.6481541991233826,1,R_A3,2018-01-01
41,1611.6651611328125,298.81817626953125,2,0,STANDARD,28,298.81817626953125,0.0,0.19537529349327087,2,R_A3,2018-01-01
41,1613.7098388671875,298.9552001953125,3,0,STANDARD,28,298.9552001953125,0.0,0.18813316524028778,3,R_A3,2018-01-01
41,1615.754638671875,299.0922546386719,4,0,STANDARD,28,299.0922546386719,0.0,0.3683336079120636,4,R_A3,2018-01-01
41,1607.146484375,298.51531982421875,5,0,STANDARD,29,298.51531982421875,0.0,0.8005275130271912,5,R_A3,2018-01-01
41,1609.275146484375,298.6579895019531,6,0,STANDARD,29,298.6579895019531,0.0,0.670156717300415,6,R_A3,2018-01-01
41,1611.40380859375,298.8006591796875,7,0,STANDARD,29,298.8006591796875,0.0,0.6481541991233826,7,R_A3,2018-01-01
41,1613.532470703125,298.9433288574219,8,0,STANDARD,29,298.9433288574219,0.0,0.1948910504579544,8,R_A3,2018-01-01
41,1615.6612548828125,299.08599853515625,9,0,STANDARD,29,299.08599853515625,0.0,0.7915903329849243,9,R_A3,2018-01-01
41,1617.7899169921875,299.2286682128906,10,0,STANDARD,29,299.2286682128906,0.0,0.7880766987800598,10,R_A3,2018-01-01
41,1619.9998779296875,299.3768005371094,11,0,STANDARD,29,299.3768005371094,0.0,0.04829507693648338,11,R_A3,2018-01-01
41,1622.291015625,299.5303955078125,12,0,STANDARD,29,299.5303955078125,0.0,0.052674103528261185,12,R_A3,2018-01-01
41,1624.582275390625,299.6839904785156,13,0,STANDARD,29,299.6839904785156,0.0,0.3702118992805481,13,R_A3,2018-01-01
41,1626.8734130859375,299.83758544921875,14,0,STANDARD,29,299.83758544921875,0.0,0.3458337187767029,14,R_A3,2018-01-01
41,1629.1646728515625,299.9911804199219,15,0,STANDARD,29,299.9911804199219,0.0,0.49808603525161743,15,R_A3,2018-01-01
41,1631.1046142578125,300.1212463378906,16,0,STANDARD,29,300.1212463378906,0.0,0.804476261138916,16,R_A3,2018-01-01
41,1633.6910400390625,300.2946472167969,17,0,STANDARD,29,300.2946472167969,0.0,0.6481541991233826,26,R_A3,2018-01-01
41,1637.275390625,300.53497314453125,18,0,STANDARD,29,300.53497314453125,0.0,0.046144843101501465,27,R_A3,2018-01-01
41,1640.8597412109375,300.7752990722656,19,0,STANDARD,29,300.7752990722656,0.0,0.046483363956213,28,R_A3,2018-01-01
