ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4887404,727044,418684,291969,41109298
Valysar,CentralSouth,68803964,12411343,9317566,6497606,914862900
Valysar,CentralNorth,38622937,6838309,5090256,3549691,499796460
Valysar,NorthHorst,5232938,763778,412575,253424,49645846
Valysar,CentralRamp,13676671,2044609,1445179,1007796,141897651
Valysar,CentralHorst,86606813,13976519,10901209,7601959,1070355864
Valysar,EastLowland,1642226,243501,151719,105802,14896856
Therys,WestLowland,1851199,314459,152430,106297,14966648
Therys,CentralSouth,14223952,3571847,2296674,1601586,225503265
Therys,CentralNorth,21490853,3857284,2291879,1598242,225032469
Therys,NorthHorst,7123477,919030,390687,239980,47012030
Therys,CentralRamp,6671578,1554735,1220494,851112,119836506
Therys,CentralHorst,31517213,8020841,6285911,4383481,617194100
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,126192,21852,12779,8912,1254757
Volon,CentralSouth,31827152,6023199,4531550,3160077,444938826
Volon,CentralNorth,6665373,816147,383772,267623,37681359
Volon,NorthHorst,4654719,806865,595082,365529,71607223
Volon,CentralRamp,12700527,2277973,1778163,1240002,174592283
Volon,CentralHorst,82612659,14722821,11501108,8020299,1129258098
Volon,EastLowland,0,0,0,0,0
