REAL SENSNAME SENSCASE RMS_SEED FWL MULTFLT_F1 MULTFLT_F2 MULTFLT_F3 MULTFLT_F4 MULTFLT_F5 MULTZ_MIDREEK INTERPOLATE_WO INTERPOLATE_GO COHIBA_MODEL_MODE 
0 rms_seed p10_p90 1000 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
1 rms_seed p10_p90 1001 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
2 rms_seed p10_p90 1002 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
3 rms_seed p10_p90 1003 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
4 rms_seed p10_p90 1004 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
10 fwl deep 1000 1710 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
11 fwl deep 1001 1710 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
12 fwl deep 1002 1710 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
13 fwl deep 1003 1710 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
14 fwl deep 1004 1710 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
20 fwl shallow 1000 1690 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
21 fwl shallow 1001 1690 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
22 fwl shallow 1002 1690 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
23 fwl shallow 1003 1690 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
24 fwl shallow 1004 1690 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
30 multflt1 open 1000 1705 1 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
31 multflt1 open 1001 1705 1 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
32 multflt1 open 1002 1705 1 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
33 multflt1 open 1003 1705 1 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
34 multflt1 open 1004 1705 1 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
40 multflt1 closed 1000 1705 0.0000010000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
41 multflt1 closed 1001 1705 0.0000010000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
42 multflt1 closed 1002 1705 0.0000010000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
43 multflt1 closed 1003 1705 0.0000010000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
44 multflt1 closed 1004 1705 0.0000010000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 0 
150 relp_wo opt 1000 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 1 0.7000000000 0 
151 relp_wo opt 1001 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 1 0.7000000000 0 
152 relp_wo opt 1002 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 1 0.7000000000 0 
153 relp_wo opt 1003 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 1 0.7000000000 0 
154 relp_wo opt 1004 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 1 0.7000000000 0 
160 relp_wo pes 1000 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 -1 0.7000000000 0 
161 relp_wo pes 1001 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 -1 0.7000000000 0 
162 relp_wo pes 1002 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 -1 0.7000000000 0 
163 relp_wo pes 1003 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 -1 0.7000000000 0 
164 relp_wo pes 1004 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 -1 0.7000000000 0 
190 cohiba simulation 1000 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 1 
191 cohiba simulation 1001 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 1 
192 cohiba simulation 1002 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 1 
193 cohiba simulation 1003 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 1 
194 cohiba simulation 1004 1705 0.1200000000 0.0100000000 0.0400000000 0.1200000000 0.0600000000 0.5000000000 0.3000000000 0.7000000000 1 
