DRAWDOWN,DEPTH,PRESSURE,CONKPOS,SGAS,DATE,WELL,CONIPOS,CONIDX,WELLMODEL,CONBPRES,CONJPOS,SWAT
0,1640.3037109375,300.6819152832031,1,0.0,2018-01-01,R_A2,22,1,STANDARD,300.6819152832031,30,0.05463121086359024
0,1642.054931640625,300.79931640625,2,0.0,2018-01-01,R_A2,22,2,STANDARD,300.79931640625,30,0.055444300174713135
0,1643.80615234375,300.916748046875,3,0.0,2018-01-01,R_A2,22,3,STANDARD,300.916748046875,30,0.05966388061642647
0,1645.5572509765625,301.0341796875,4,0.0,2018-01-01,R_A2,22,4,STANDARD,301.0341796875,30,0.06416133791208267
0,1647.3084716796875,301.151611328125,5,0.0,2018-01-01,R_A2,22,5,STANDARD,301.151611328125,30,0.06689299643039703
0,1649.0595703125,301.26904296875,6,0.0,2018-01-01,R_A2,22,6,STANDARD,301.26904296875,30,0.3169087767601013
0,1650.810791015625,301.3865051269531,7,0.0,2018-01-01,R_A2,22,7,STANDARD,301.3865051269531,30,0.8794601559638977
0,1652.56201171875,301.5039367675781,8,0.0,2018-01-01,R_A2,22,8,STANDARD,301.5039367675781,30,0.878589928150177
0,1654.3131103515625,301.6213684082031,9,0.0,2018-01-01,R_A2,22,9,STANDARD,301.6213684082031,30,0.8812973499298096
0,1656.0643310546875,301.73883056640625,10,0.0,2018-01-01,R_A2,22,10,STANDARD,301.73883056640625,30,0.8982661366462708
0,1657.958251953125,301.8658752441406,11,0.0,2018-01-01,R_A2,22,11,STANDARD,301.8658752441406,30,0.06817597150802612
0,1659.9949951171875,302.0024719238281,12,0.0,2018-01-01,R_A2,22,12,STANDARD,302.0024719238281,30,0.06832225620746613
0,1662.0316162109375,302.1390686035156,13,0.0,2018-01-01,R_A2,22,13,STANDARD,302.1390686035156,30,0.4389873445034027
0,1664.068359375,302.27569580078125,14,0.0,2018-01-01,R_A2,22,14,STANDARD,302.27569580078125,30,0.47860220074653625
0,1666.10498046875,302.4123229980469,15,0.0,2018-01-01,R_A2,22,15,STANDARD,302.4123229980469,30,0.6823893189430237
0,1668.1417236328125,302.5489501953125,16,0.0,2018-01-01,R_A2,22,16,STANDARD,302.5489501953125,30,0.9392006397247314
0,1670.1783447265625,302.6855773925781,17,0.0,2018-01-01,R_A2,22,17,STANDARD,302.6855773925781,30,0.9047598838806152
0,1671.99072265625,302.8071594238281,18,0.0,2018-01-01,R_A2,22,18,STANDARD,302.8071594238281,30,0.9494425654411316
0,1675.8172607421875,303.0638732910156,18,0.0,2018-01-01,R_A2,22,19,STANDARD,303.0638732910156,29,0.9926785826683044
0,1677.44384765625,303.1730041503906,24,0.0,2018-01-01,R_A2,22,20,STANDARD,303.1730041503906,29,0.7244115471839905
0,1679.162109375,303.2882995605469,25,0.0,2018-01-01,R_A2,22,21,STANDARD,303.2882995605469,29,1.0
0,1680.8802490234375,303.7569580078125,26,0.0,2018-01-01,R_A2,22,22,STANDARD,303.7569580078125,29,1.0
0,1682.5985107421875,303.9197692871094,27,0.0,2018-01-01,R_A2,22,23,STANDARD,303.9197692871094,29,1.0
0,1684.316650390625,304.0826110839844,28,0.0,2018-01-01,R_A2,22,24,STANDARD,304.0826110839844,29,1.0
0,1609.461669921875,298.6144104003906,1,0.0,2018-01-01,R_A3,28,1,STANDARD,298.6144104003906,41,0.2514185309410095
0,1611.4443359375,298.7472839355469,2,0.0,2018-01-01,R_A3,28,2,STANDARD,298.7472839355469,41,0.13605797290802002
0,1601.9686279296875,298.1122741699219,2,0.0,2018-01-01,R_A3,29,3,STANDARD,298.1122741699219,41,0.14996030926704407
0,1604.059814453125,298.25238037109375,3,0.0,2018-01-01,R_A3,29,4,STANDARD,298.25238037109375,41,0.1499888300895691
0,1606.1510009765625,298.39251708984375,4,0.0,2018-01-01,R_A3,29,5,STANDARD,298.39251708984375,41,0.18115760385990143
0,1608.2421875,298.5326843261719,5,0.0,2018-01-01,R_A3,29,6,STANDARD,298.5326843261719,41,0.6481541991233826
0,1610.3333740234375,298.6728210449219,6,0.0,2018-01-01,R_A3,29,7,STANDARD,298.6728210449219,41,0.6481541991233826
0,1612.424560546875,298.81298828125,7,0.0,2018-01-01,R_A3,29,8,STANDARD,298.81298828125,41,0.19664794206619263
0,1614.5157470703125,298.953125,8,0.0,2018-01-01,R_A3,29,9,STANDARD,298.953125,41,0.19769534468650818
0,1616.60693359375,299.0932922363281,9,0.0,2018-01-01,R_A3,29,10,STANDARD,299.0932922363281,41,0.2640687823295593
0,1618.6981201171875,299.23345947265625,10,0.0,2018-01-01,R_A3,29,11,STANDARD,299.23345947265625,41,0.2809695303440094
0,1620.84326171875,299.37725830078125,11,0.0,2018-01-01,R_A3,29,12,STANDARD,299.37725830078125,41,0.04577212035655975
0,1623.04248046875,299.524658203125,12,0.0,2018-01-01,R_A3,29,13,STANDARD,299.524658203125,41,0.0524245910346508
0,1625.2415771484375,299.6720886230469,13,0.0,2018-01-01,R_A3,29,14,STANDARD,299.6720886230469,41,0.3676392734050751
0,1627.440673828125,299.8194885253906,14,0.0,2018-01-01,R_A3,29,15,STANDARD,299.8194885253906,41,0.2234676629304886
0,1629.639892578125,299.9669189453125,15,0.0,2018-01-01,R_A3,29,16,STANDARD,299.9669189453125,41,0.49854809045791626
0,1631.6861572265625,300.1041259765625,16,0.0,2018-01-01,R_A3,29,17,STANDARD,300.1041259765625,41,0.804853618144989
0,1634.618408203125,300.30072021484375,24,0.0,2018-01-01,R_A3,29,18,STANDARD,300.30072021484375,41,0.2874835431575775
0,1638.23828125,300.5434265136719,25,0.0,2018-01-01,R_A3,29,19,STANDARD,300.5434265136719,41,0.045284517109394073
0,1641.858154296875,300.7861328125,26,0.0,2018-01-01,R_A3,29,20,STANDARD,300.7861328125,41,0.04996655881404877
0,1645.47802734375,301.02886962890625,27,0.0,2018-01-01,R_A3,29,21,STANDARD,301.02886962890625,41,0.17732784152030945
0,1649.0980224609375,301.2716369628906,28,0.0,2018-01-01,R_A3,29,22,STANDARD,301.2716369628906,41,0.0652100145816803
0,1634.418212890625,300.28729248046875,1,0.0,2018-01-01,R_A4,30,1,STANDARD,300.28729248046875,52,0.05291355401277542
0,1628.9810791015625,299.9227600097656,1,0.0,2018-01-01,R_A4,31,2,STANDARD,299.9227600097656,52,0.07318022847175598
0,1631.0052490234375,300.0584716796875,2,0.0,2018-01-01,R_A4,31,3,STANDARD,300.0584716796875,52,0.051689814776182175
0,1633.0294189453125,300.1941833496094,3,0.0,2018-01-01,R_A4,31,4,STANDARD,300.1941833496094,52,0.05453619360923767
0,1630.5186767578125,300.0258483886719,3,0.0,2018-01-01,R_A4,32,5,STANDARD,300.0258483886719,52,0.053785860538482666
0,1638.3323974609375,300.5497131347656,3,0.0,2018-01-01,R_A4,32,6,STANDARD,300.5497131347656,51,0.059201888740062714
0,1636.4091796875,300.4207763671875,3,0.0,2018-01-01,R_A4,33,7,STANDARD,300.4207763671875,51,0.0576048344373703
0,1634.54638671875,300.2958679199219,2,0.0,2018-01-01,R_A4,33,8,STANDARD,300.2958679199219,51,0.05918910726904869
0,1646.75244140625,301.11431884765625,3,0.0,2018-01-01,R_A4,33,9,STANDARD,301.11431884765625,50,0.06543044745922089
0,1641.988037109375,300.7948303222656,3,0.0,2018-01-01,R_A4,34,10,STANDARD,300.7948303222656,50,0.06193678826093674
0,1640.123779296875,300.6698303222656,2,0.0,2018-01-01,R_A4,34,11,STANDARD,300.6698303222656,50,0.08019525557756424
0,1640.1461181640625,300.67132568359375,2,0.0,2018-01-01,R_A4,35,12,STANDARD,300.67132568359375,50,0.10108469426631927
0,1638.363525390625,300.55181884765625,1,0.0,2018-01-01,R_A4,35,13,STANDARD,300.55181884765625,50,0.14235246181488037
0,1641.31884765625,300.7499694824219,27,0.0,2018-01-01,R_A4,35,14,STANDARD,300.7499694824219,49,0.050264276564121246
0,1635.3912353515625,300.3525085449219,26,0.0,2018-01-01,R_A4,35,15,STANDARD,300.3525085449219,49,0.04513254016637802
0,1643.0609130859375,300.8667907714844,26,0.0,2018-01-01,R_A4,36,16,STANDARD,300.8667907714844,49,0.09196148067712784
0,1642.16650390625,300.80682373046875,26,0.0,2018-01-01,R_A4,36,17,STANDARD,300.80682373046875,48,0.05543554946780205
0,1651.4036865234375,301.4262390136719,26,0.0,2018-01-01,R_A4,37,18,STANDARD,301.4262390136719,48,0.2550407350063324
0,1645.78759765625,301.04962158203125,25,0.0,2018-01-01,R_A4,37,19,STANDARD,301.04962158203125,48,0.2392694354057312
0,1651.906005859375,301.4599304199219,25,0.0,2018-01-01,R_A4,38,20,STANDARD,301.4599304199219,48,0.6481541991233826
0,1661.36083984375,302.0940856933594,25,0.0,2018-01-01,R_A4,38,21,STANDARD,302.0940856933594,47,0.6481541991233826
0,1655.7261962890625,301.7161560058594,24,0.0,2018-01-01,R_A4,38,22,STANDARD,301.7161560058594,47,0.06924111396074295
0,1686.2447509765625,303.95953369140625,1,0.0,2018-01-01,R_A5,31,1,STANDARD,303.95953369140625,20,1.0
0,1688.5155029296875,304.1747131347656,2,0.0,2018-01-01,R_A5,31,2,STANDARD,304.1747131347656,20,1.0
0,1690.7862548828125,304.389892578125,3,0.0,2018-01-01,R_A5,31,3,STANDARD,304.389892578125,20,1.0
0,1693.0570068359375,304.6050720214844,4,0.0,2018-01-01,R_A5,31,4,STANDARD,304.6050720214844,20,1.0
0,1695.32763671875,304.82025146484375,5,0.0,2018-01-01,R_A5,31,5,STANDARD,304.82025146484375,20,1.0
0,1697.598388671875,305.03546142578125,6,0.0,2018-01-01,R_A5,31,6,STANDARD,305.03546142578125,20,1.0
0,1699.869140625,305.5564270019531,7,0.0,2018-01-01,R_A5,31,7,STANDARD,305.5564270019531,20,1.0
0,1708.7352294921875,306.09100341796875,11,0.0,2018-01-01,R_A5,31,8,STANDARD,306.09100341796875,20,1.0
0,1710.5723876953125,306.2651062011719,12,0.0,2018-01-01,R_A5,31,9,STANDARD,306.2651062011719,20,1.0
0,1701.94384765625,305.4473876953125,12,0.0,2018-01-01,R_A5,31,10,STANDARD,305.4473876953125,21,1.0
0,1703.8206787109375,305.63720703125,13,0.0,2018-01-01,R_A5,31,11,STANDARD,305.63720703125,21,1.0
0,1705.697509765625,305.8150939941406,14,0.0,2018-01-01,R_A5,31,12,STANDARD,305.8150939941406,21,1.0
0,1707.5743408203125,305.9929504394531,15,0.0,2018-01-01,R_A5,31,13,STANDARD,305.9929504394531,21,1.0
0,1709.451171875,306.3158264160156,16,0.0,2018-01-01,R_A5,31,14,STANDARD,306.3158264160156,21,1.0
0,1711.3280029296875,306.49371337890625,17,0.0,2018-01-01,R_A5,31,15,STANDARD,306.49371337890625,21,1.0
0,1713.0606689453125,306.6579284667969,18,0.0,2018-01-01,R_A5,31,16,STANDARD,306.6579284667969,21,1.0
0,1714.047119140625,306.75140380859375,19,0.0,2018-01-01,R_A5,31,17,STANDARD,306.75140380859375,21,1.0
0,1715.3597412109375,306.7187194824219,24,0.0,2018-01-01,R_A5,31,18,STANDARD,306.7187194824219,21,1.0
0,1717.6004638671875,306.93109130859375,25,0.0,2018-01-01,R_A5,31,19,STANDARD,306.93109130859375,21,1.0
0,1719.8411865234375,307.44921875,26,0.0,2018-01-01,R_A5,31,20,STANDARD,307.44921875,21,1.0
0,1722.0819091796875,307.6615905761719,27,0.0,2018-01-01,R_A5,31,21,STANDARD,307.6615905761719,21,1.0
0,1724.3226318359375,307.87396240234375,28,0.0,2018-01-01,R_A5,31,22,STANDARD,307.87396240234375,21,1.0
0,1695.6575927734375,305.1573181152344,1,0.0,2018-01-01,R_A6,17,1,STANDARD,305.1573181152344,42,1.0
0,1697.214111328125,305.3048400878906,2,0.0,2018-01-01,R_A6,17,2,STANDARD,305.3048400878906,42,1.0
0,1698.7706298828125,305.45233154296875,3,0.0,2018-01-01,R_A6,17,3,STANDARD,305.45233154296875,42,1.0
0,1700.3271484375,305.599853515625,4,0.0,2018-01-01,R_A6,17,4,STANDARD,305.599853515625,42,1.0
0,1701.8837890625,305.7473449707031,5,0.0,2018-01-01,R_A6,17,5,STANDARD,305.7473449707031,42,1.0
0,1703.4403076171875,305.8948669433594,6,0.0,2018-01-01,R_A6,17,6,STANDARD,305.8948669433594,42,1.0
0,1704.996826171875,305.74334716796875,7,0.0,2018-01-01,R_A6,17,7,STANDARD,305.74334716796875,42,1.0
0,1706.553466796875,305.8908386230469,8,0.0,2018-01-01,R_A6,17,8,STANDARD,305.8908386230469,42,1.0
0,1708.1099853515625,306.33740234375,9,0.0,2018-01-01,R_A6,17,9,STANDARD,306.33740234375,42,1.0
0,1709.66650390625,306.17913818359375,10,0.0,2018-01-01,R_A6,17,10,STANDARD,306.17913818359375,42,1.0
0,1711.5555419921875,306.3583068847656,11,0.0,2018-01-01,R_A6,17,11,STANDARD,306.3583068847656,42,1.0
0,1713.7772216796875,306.56884765625,12,0.0,2018-01-01,R_A6,17,12,STANDARD,306.56884765625,42,1.0
0,1715.998779296875,306.7913513183594,13,0.0,2018-01-01,R_A6,17,13,STANDARD,306.7913513183594,42,1.0
0,1718.220458984375,307.0019226074219,14,0.0,2018-01-01,R_A6,17,14,STANDARD,307.0019226074219,42,1.0
0,1720.4420166015625,307.35748291015625,15,0.0,2018-01-01,R_A6,17,15,STANDARD,307.35748291015625,42,1.0
0,1722.6636962890625,307.56805419921875,16,0.0,2018-01-01,R_A6,17,16,STANDARD,307.56805419921875,42,1.0
0,1724.88525390625,307.7785949707031,17,0.0,2018-01-01,R_A6,17,17,STANDARD,307.7785949707031,42,1.0
0,1726.741455078125,307.95452880859375,18,0.0,2018-01-01,R_A6,17,18,STANDARD,307.95452880859375,42,1.0
0,1728.3525390625,307.95013427734375,24,0.0,2018-01-01,R_A6,17,19,STANDARD,307.95013427734375,42,1.0
