CONJPOS,WELL,SGAS,CONKPOS,SWAT,DATE,WELLMODEL,CONIDX,DRAWDOWN,PRESSURE,DEPTH,CONBPRES,CONIPOS
30,R_A2,0.0,16,0.9098032712936401,2018-01-01,STANDARD,16,0,302.5891418457031,1667.6650390625,302.5891418457031,22
30,R_A2,0.0,17,0.8573973178863525,2018-01-01,STANDARD,17,0,302.72637939453125,1669.7108154296875,302.72637939453125,22
29,R_A2,0.0,17,0.9404790997505188,2018-01-01,STANDARD,18,0,303.0539855957031,1674.593505859375,303.0539855957031,22
29,R_A2,0.0,18,0.9739603400230408,2018-01-01,STANDARD,19,0,303.1759948730469,1676.4122314453125,303.1759948730469,22
29,R_A2,0.0,25,0.7554233074188232,2018-01-01,STANDARD,20,0,303.2867736816406,1678.063232421875,303.2867736816406,22
29,R_A2,0.0,26,0.8395481109619141,2018-01-01,STANDARD,21,0,303.4018249511719,1679.778076171875,303.4018249511719,22
29,R_A2,0.0,27,0.8470672965049744,2018-01-01,STANDARD,22,0,303.51690673828125,1681.4930419921875,303.51690673828125,22
29,R_A2,0.0,28,1.0,2018-01-01,STANDARD,23,0,303.9775390625,1683.2078857421875,303.9775390625,22
29,R_A2,0.0,29,1.0,2018-01-01,STANDARD,24,0,304.1400451660156,1684.9228515625,304.1400451660156,22
41,R_A3,0.0,1,0.24982328712940216,2018-01-01,STANDARD,1,0,298.7126159667969,1609.8509521484375,298.7126159667969,28
41,R_A3,0.0,2,0.15155397355556488,2018-01-01,STANDARD,2,0,298.8469543457031,1611.85546875,298.8469543457031,28
41,R_A3,0.0,2,0.18419276177883148,2018-01-01,STANDARD,3,0,298.0329284667969,1599.708740234375,298.0329284667969,29
41,R_A3,0.0,3,0.11823459714651108,2018-01-01,STANDARD,4,0,298.18170166015625,1601.9288330078125,298.18170166015625,29
41,R_A3,0.0,4,0.14941288530826569,2018-01-01,STANDARD,5,0,298.3304748535156,1604.1488037109375,298.3304748535156,29
41,R_A3,0.0,5,0.6750618815422058,2018-01-01,STANDARD,6,0,298.479248046875,1606.368896484375,298.479248046875,29
41,R_A3,0.0,6,0.6481541991233826,2018-01-01,STANDARD,7,0,298.6280212402344,1608.5888671875,298.6280212402344,29
41,R_A3,0.0,7,0.18989844620227814,2018-01-01,STANDARD,8,0,298.77679443359375,1610.808837890625,298.77679443359375,29
41,R_A3,0.0,8,0.19287560880184174,2018-01-01,STANDARD,9,0,298.92559814453125,1613.02880859375,298.92559814453125,29
41,R_A3,0.0,9,0.7919167280197144,2018-01-01,STANDARD,10,0,299.07440185546875,1615.2489013671875,299.07440185546875,29
41,R_A3,0.0,10,0.7941746711730957,2018-01-01,STANDARD,11,0,299.2231750488281,1617.4688720703125,299.2231750488281,29
41,R_A3,0.0,11,0.047440726310014725,2018-01-01,STANDARD,12,0,299.3764343261719,1619.755126953125,299.3764343261719,29
41,R_A3,0.0,12,0.05137551948428154,2018-01-01,STANDARD,13,0,299.5341491699219,1622.1077880859375,299.5341491699219,29
41,R_A3,0.0,13,0.365980327129364,2018-01-01,STANDARD,14,0,299.69183349609375,1624.46044921875,299.69183349609375,29
41,R_A3,0.0,14,0.05371318385004997,2018-01-01,STANDARD,15,0,299.84954833984375,1626.81298828125,299.84954833984375,29
41,R_A3,0.0,15,0.47416582703590393,2018-01-01,STANDARD,16,0,300.00726318359375,1629.1656494140625,300.00726318359375,29
