DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-01-01,0.0527576319873333,STANDARD,1,30,0.0,1639.49609375,1,300.6985168457031,0,300.6985168457031,22,R_A2
2018-01-01,0.05473293736577034,STANDARD,2,30,0.0,1641.2518310546875,2,300.8162536621094,0,300.8162536621094,22,R_A2
2018-01-01,0.056097108870744705,STANDARD,3,30,0.0,1643.007568359375,3,300.9339904785156,0,300.9339904785156,22,R_A2
2018-01-01,0.06021181493997574,STANDARD,4,30,0.0,1644.7633056640625,4,301.0517272949219,0,301.0517272949219,22,R_A2
2018-01-01,0.06466825306415558,STANDARD,5,30,0.0,1646.51904296875,5,301.1694641113281,0,301.1694641113281,22,R_A2
2018-01-01,0.2931835651397705,STANDARD,6,30,0.0,1648.27490234375,6,301.2872009277344,0,301.2872009277344,22,R_A2
2018-01-01,0.8605868816375732,STANDARD,7,30,0.0,1650.0306396484375,7,301.4049377441406,0,301.4049377441406,22,R_A2
2018-01-01,0.862360417842865,STANDARD,8,30,0.0,1651.786376953125,8,301.522705078125,0,301.522705078125,22,R_A2
2018-01-01,0.8688045144081116,STANDARD,9,30,0.0,1653.5421142578125,9,301.64044189453125,0,301.64044189453125,22,R_A2
2018-01-01,0.8798239827156067,STANDARD,10,30,0.0,1655.2979736328125,10,301.7582092285156,0,301.7582092285156,22,R_A2
2018-01-01,0.06621053814888,STANDARD,11,30,0.0,1657.221435546875,11,301.8872375488281,0,301.8872375488281,22,R_A2
2018-01-01,0.12293129414319992,STANDARD,12,30,0.0,1659.3125,12,302.0274963378906,0,302.0274963378906,22,R_A2
2018-01-01,0.42084887623786926,STANDARD,13,30,0.0,1661.403564453125,13,302.1677551269531,0,302.1677551269531,22,R_A2
2018-01-01,0.4661141037940979,STANDARD,14,30,0.0,1663.49462890625,14,302.3080139160156,0,302.3080139160156,22,R_A2
2018-01-01,0.8921868801116943,STANDARD,15,30,0.0,1665.585693359375,15,302.4482727050781,0,302.4482727050781,22,R_A2
2018-01-01,0.9013708829879761,STANDARD,16,30,0.0,1667.6767578125,16,302.58856201171875,0,302.58856201171875,22,R_A2
2018-01-01,0.8659158945083618,STANDARD,17,30,0.0,1669.767822265625,17,302.7288513183594,0,302.7288513183594,22,R_A2
2018-01-01,0.9346339106559753,STANDARD,18,30,0.0,1671.41455078125,18,302.83929443359375,0,302.83929443359375,22,R_A2
2018-01-01,0.3927243947982788,STANDARD,26,30,0.0,1672.9730224609375,19,302.9438781738281,0,302.9438781738281,22,R_A2
2018-01-01,1.0,STANDARD,27,30,0.0,1674.6656494140625,20,303.05743408203125,0,303.05743408203125,22,R_A2
2018-01-01,0.8079394102096558,STANDARD,27,29,0.0,1679.9407958984375,21,303.411376953125,0,303.411376953125,22,R_A2
2018-01-01,0.8463841080665588,STANDARD,28,29,0.0,1681.750732421875,22,303.5328063964844,0,303.5328063964844,22,R_A2
2018-01-01,1.0,STANDARD,29,29,0.0,1683.560791015625,23,304.0109558105469,0,304.0109558105469,22,R_A2
2018-01-01,1.0,STANDARD,30,29,0.0,1685.3707275390625,24,304.1824951171875,0,304.1824951171875,22,R_A2
2018-01-01,0.6481541991233826,STANDARD,1,41,0.0,1610.6644287109375,1,298.7657470703125,0,298.7657470703125,28,R_A3
2018-01-01,0.14592008292675018,STANDARD,2,41,0.0,1612.690673828125,2,298.90155029296875,0,298.90155029296875,28,R_A3
2018-01-01,0.10402712970972061,STANDARD,3,41,0.0,1614.7169189453125,3,299.037353515625,0,299.037353515625,28,R_A3
2018-01-01,0.1802828013896942,STANDARD,3,41,0.0,1601.1185302734375,4,298.12603759765625,0,298.12603759765625,29,R_A3
2018-01-01,0.3570013642311096,STANDARD,4,41,0.0,1603.3834228515625,5,298.2778015136719,0,298.2778015136719,29,R_A3
2018-01-01,0.8058425784111023,STANDARD,5,41,0.0,1605.6484375,6,298.4295654296875,0,298.4295654296875,29,R_A3
2018-01-01,0.6481541991233826,STANDARD,6,41,0.0,1607.913330078125,7,298.58135986328125,0,298.58135986328125,29,R_A3
2018-01-01,0.19325053691864014,STANDARD,7,41,0.0,1610.1783447265625,8,298.733154296875,0,298.733154296875,29,R_A3
2018-01-01,0.19376590847969055,STANDARD,8,41,0.0,1612.443359375,9,298.8849792480469,0,298.8849792480469,29,R_A3
2018-01-01,0.7974845170974731,STANDARD,9,41,0.0,1614.7083740234375,10,299.0367736816406,0,299.0367736816406,29,R_A3
2018-01-01,0.7937484383583069,STANDARD,10,41,0.0,1616.973388671875,11,299.1885986328125,0,299.1885986328125,29,R_A3
2018-01-01,0.047440458089113235,STANDARD,11,41,0.0,1619.25927734375,12,299.3418273925781,0,299.3418273925781,29,R_A3
2018-01-01,0.053245674818754196,STANDARD,12,41,0.0,1621.5662841796875,13,299.4964599609375,0,299.4964599609375,29,R_A3
2018-01-01,0.3591814935207367,STANDARD,13,41,0.0,1623.873291015625,14,299.6510925292969,0,299.6510925292969,29,R_A3
2018-01-01,0.05085628852248192,STANDARD,14,41,0.0,1626.18017578125,15,299.8057556152344,0,299.8057556152344,29,R_A3
2018-01-01,0.4879245162010193,STANDARD,15,41,0.0,1628.4871826171875,16,299.9604187011719,0,299.9604187011719,29,R_A3
