Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 16:52:41
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       269849888.75         46922705.71         36751412.89         23114095.77
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  269849888.75         46922705.71         36751412.89         23114095.77
MidReek    1                       202640975.74         39577997.76         31877778.15         20048916.74
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  202640975.74         39577997.76         31877778.15         20048916.74
LowerReek  1                       129567028.70         26903484.93         22226773.68         13979102.71
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  129567028.70         26903484.93         22226773.68         13979102.71
Totals     1                       602057893.19        113404188.40         90855964.72         57142115.23
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  602057893.19        113404188.40         90855964.72         57142115.23
