DRAWDOWN,DEPTH,DATE,CONKPOS,CONIDX,CONIPOS,SWAT,WELLMODEL,WELL,PRESSURE,CONBPRES,CONJPOS,SGAS
0,1641.114501953125,2018-01-01,1,1,22,0.05312575399875641,STANDARD,R_A2,300.7907409667969,300.7907409667969,30,0.0
0,1642.857666015625,2018-01-01,2,2,22,0.056104641407728195,STANDARD,R_A2,300.9076232910156,300.9076232910156,30,0.0
0,1644.600830078125,2018-01-01,3,3,22,0.05946534872055054,STANDARD,R_A2,301.0245056152344,301.0245056152344,30,0.0
0,1646.343994140625,2018-01-01,4,4,22,0.06283818930387497,STANDARD,R_A2,301.14141845703125,301.14141845703125,30,0.0
0,1648.087158203125,2018-01-01,5,5,22,0.0669112354516983,STANDARD,R_A2,301.25830078125,301.25830078125,30,0.0
0,1649.830322265625,2018-01-01,6,6,22,0.6925615072250366,STANDARD,R_A2,301.3752136230469,301.3752136230469,30,0.0
0,1651.573486328125,2018-01-01,7,7,22,0.8834307789802551,STANDARD,R_A2,301.49212646484375,301.49212646484375,30,0.0
0,1653.316650390625,2018-01-01,8,8,22,0.6481541991233826,STANDARD,R_A2,301.6090087890625,301.6090087890625,30,0.0
0,1655.0596923828125,2018-01-01,9,9,22,0.6481541991233826,STANDARD,R_A2,301.7259216308594,301.7259216308594,30,0.0
0,1656.8028564453125,2018-01-01,10,10,22,0.8856531977653503,STANDARD,R_A2,301.84283447265625,301.84283447265625,30,0.0
0,1658.6932373046875,2018-01-01,11,11,22,0.06806009262800217,STANDARD,R_A2,301.9696350097656,301.9696350097656,30,0.0
0,1660.730712890625,2018-01-01,12,12,22,0.06934139877557755,STANDARD,R_A2,302.1062927246094,302.1062927246094,30,0.0
0,1662.7681884765625,2018-01-01,13,13,22,0.43239668011665344,STANDARD,R_A2,302.24298095703125,302.24298095703125,30,0.0
0,1664.8056640625,2018-01-01,14,14,22,0.4672512114048004,STANDARD,R_A2,302.379638671875,302.379638671875,30,0.0
0,1666.8431396484375,2018-01-01,15,15,22,0.9028499722480774,STANDARD,R_A2,302.5163269042969,302.5163269042969,30,0.0
0,1668.880615234375,2018-01-01,16,16,22,0.9308585524559021,STANDARD,R_A2,302.65301513671875,302.65301513671875,30,0.0
0,1670.9180908203125,2018-01-01,17,17,22,0.8660881519317627,STANDARD,R_A2,302.7897033691406,302.7897033691406,30,0.0
0,1674.291015625,2018-01-01,17,18,22,0.9225274920463562,STANDARD,R_A2,303.0159606933594,303.0159606933594,29,0.0
0,1676.1661376953125,2018-01-01,18,19,22,0.9868789315223694,STANDARD,R_A2,303.14178466796875,303.14178466796875,29,0.0
0,1677.9029541015625,2018-01-01,25,20,22,1.0,STANDARD,R_A2,303.2583312988281,303.2583312988281,29,0.0
0,1679.651123046875,2018-01-01,26,21,22,0.8228076696395874,STANDARD,R_A2,303.3756103515625,303.3756103515625,29,0.0
0,1681.3992919921875,2018-01-01,27,22,22,1.0,STANDARD,R_A2,303.80615234375,303.80615234375,29,0.0
0,1683.1474609375,2018-01-01,28,23,22,1.0,STANDARD,R_A2,303.9718017578125,303.9718017578125,29,0.0
0,1684.895751953125,2018-01-01,29,24,22,1.0,STANDARD,R_A2,304.1374816894531,304.1374816894531,29,0.0
0,1609.5123291015625,2018-01-01,1,1,28,0.6481541991233826,STANDARD,R_A3,298.6722412109375,298.6722412109375,41,0.0
0,1611.516845703125,2018-01-01,2,2,28,0.1537802517414093,STANDARD,R_A3,298.80657958984375,298.80657958984375,41,0.0
0,1613.5213623046875,2018-01-01,3,3,28,0.09642791002988815,STANDARD,R_A3,298.94091796875,298.94091796875,41,0.0
0,1603.212890625,2018-01-01,3,4,29,0.11823459714651108,STANDARD,R_A3,298.25006103515625,298.25006103515625,41,0.0
0,1605.362060546875,2018-01-01,4,5,29,0.12065424770116806,STANDARD,R_A3,298.39410400390625,298.39410400390625,41,0.0
0,1607.5111083984375,2018-01-01,5,6,29,0.22429180145263672,STANDARD,R_A3,298.5381164550781,298.5381164550781,41,0.0
0,1609.66015625,2018-01-01,6,7,29,0.24296218156814575,STANDARD,R_A3,298.68212890625,298.68212890625,41,0.0
0,1611.8092041015625,2018-01-01,7,8,29,0.23684129118919373,STANDARD,R_A3,298.826171875,298.826171875,41,0.0
0,1613.9583740234375,2018-01-01,8,9,29,0.2412438690662384,STANDARD,R_A3,298.97021484375,298.97021484375,41,0.0
0,1616.107421875,2018-01-01,9,10,29,0.8012471795082092,STANDARD,R_A3,299.1142578125,299.1142578125,41,0.0
0,1618.2564697265625,2018-01-01,10,11,29,0.7928368449211121,STANDARD,R_A3,299.25830078125,299.25830078125,41,0.0
0,1620.4525146484375,2018-01-01,11,12,29,0.04676042124629021,STANDARD,R_A3,299.4054870605469,299.4054870605469,41,0.0
0,1622.6954345703125,2018-01-01,12,13,29,0.05321572348475456,STANDARD,R_A3,299.55584716796875,299.55584716796875,41,0.0
0,1624.9384765625,2018-01-01,13,14,29,0.3652477264404297,STANDARD,R_A3,299.7062072753906,299.7062072753906,41,0.0
0,1627.181396484375,2018-01-01,14,15,29,0.19327394664287567,STANDARD,R_A3,299.8565673828125,299.8565673828125,41,0.0
0,1629.4244384765625,2018-01-01,15,16,29,0.49648210406303406,STANDARD,R_A3,300.0069274902344,300.0069274902344,41,0.0
0,1631.43310546875,2018-01-01,16,17,29,0.8007031083106995,STANDARD,R_A3,300.1416015625,300.1416015625,41,0.0
0,1634.2974853515625,2018-01-01,25,18,29,0.3569929897785187,STANDARD,R_A3,300.3336486816406,300.3336486816406,41,0.0
0,1637.90283203125,2018-01-01,26,19,29,0.045076172798871994,STANDARD,R_A3,300.57537841796875,300.57537841796875,41,0.0
0,1641.5081787109375,2018-01-01,27,20,29,0.05056876316666603,STANDARD,R_A3,300.817138671875,300.817138671875,41,0.0
0,1645.1134033203125,2018-01-01,28,21,29,0.1932765394449234,STANDARD,R_A3,301.05889892578125,301.05889892578125,41,0.0
0,1648.71875,2018-01-01,29,22,29,0.06136003136634827,STANDARD,R_A3,301.3006591796875,301.3006591796875,41,0.0
0,1632.23779296875,2018-01-01,1,1,30,0.04900461062788963,STANDARD,R_A4,300.195556640625,300.195556640625,52,0.0
0,1626.577392578125,2018-01-01,1,2,31,0.04810069128870964,STANDARD,R_A4,299.8160705566406,299.8160705566406,52,0.0
0,1628.6138916015625,2018-01-01,2,3,31,0.049235470592975616,STANDARD,R_A4,299.9526062011719,299.9526062011719,52,0.0
0,1630.6505126953125,2018-01-01,3,4,31,0.049605246633291245,STANDARD,R_A4,300.0891418457031,300.0891418457031,52,0.0
0,1632.6871337890625,2018-01-01,4,5,31,0.05293881148099899,STANDARD,R_A4,300.2256774902344,300.2256774902344,52,0.0
0,1634.7236328125,2018-01-01,5,6,31,0.054117485880851746,STANDARD,R_A4,300.3622131347656,300.3622131347656,52,0.0
0,1632.849365234375,2018-01-01,5,7,32,0.09111892431974411,STANDARD,R_A4,300.2365417480469,300.2365417480469,52,0.0
0,1636.50439453125,2018-01-01,5,8,32,0.15573406219482422,STANDARD,R_A4,300.48162841796875,300.48162841796875,51,0.0
0,1634.664794921875,2018-01-01,4,9,32,0.05605341121554375,STANDARD,R_A4,300.3582763671875,300.3582763671875,51,0.0
0,1635.6788330078125,2018-01-01,4,10,33,0.05520053952932358,STANDARD,R_A4,300.42626953125,300.42626953125,51,0.0
0,1637.513916015625,2018-01-01,5,11,33,0.09683261811733246,STANDARD,R_A4,300.54931640625,300.54931640625,51,0.0
0,1641.8411865234375,2018-01-01,5,12,33,0.06078043580055237,STANDARD,R_A4,300.8394470214844,300.8394470214844,50,0.0
0,1641.3824462890625,2018-01-01,5,13,34,0.061381127685308456,STANDARD,R_A4,300.8086853027344,300.8086853027344,50,0.0
0,1639.5283203125,2018-01-01,4,14,34,0.05994098260998726,STANDARD,R_A4,300.68438720703125,300.68438720703125,50,0.0
0,1640.8031005859375,2018-01-01,4,15,35,0.061258528381586075,STANDARD,R_A4,300.7698669433594,300.7698669433594,50,0.0
0,1639.0147705078125,2018-01-01,3,16,35,0.22370560467243195,STANDARD,R_A4,300.6499328613281,300.6499328613281,50,0.0
0,1642.86328125,2018-01-01,3,17,35,0.23207350075244904,STANDARD,R_A4,300.9079895019531,300.9079895019531,49,0.0
0,1641.08056640625,2018-01-01,2,18,35,0.22916045784950256,STANDARD,R_A4,300.7884521484375,300.7884521484375,49,0.0
0,1643.2548828125,2018-01-01,28,19,36,0.24578191339969635,STANDARD,R_A4,300.93426513671875,300.93426513671875,49,0.0
