SWAT,CONKPOS,DRAWDOWN,CONIPOS,SGAS,CONBPRES,PRESSURE,WELLMODEL,CONIDX,CONJPOS,DATE,WELL,DEPTH
0.8978570103645325,15,0,22,0.0,302.6033020019531,302.6033020019531,STANDARD,16,29,2018-01-01,R_A2,1667.8717041015625
0.9185355305671692,16,0,22,0.0,302.747802734375,302.747802734375,STANDARD,17,29,2018-01-01,R_A2,1670.0257568359375
0.8760071992874146,17,0,22,0.0,302.8923034667969,302.8923034667969,STANDARD,18,29,2018-01-01,R_A2,1672.1798095703125
0.9399272799491882,18,0,22,0.0,303.0172424316406,303.0172424316406,STANDARD,19,29,2018-01-01,R_A2,1674.0418701171875
0.7760260701179504,26,0,22,0.0,303.1424560546875,303.1424560546875,STANDARD,20,29,2018-01-01,R_A2,1675.908447265625
1.0,27,0,22,0.0,303.2622375488281,303.2622375488281,STANDARD,21,29,2018-01-01,R_A2,1677.693603515625
0.6481541991233826,28,0,22,0.0,303.38201904296875,303.38201904296875,STANDARD,22,29,2018-01-01,R_A2,1679.478759765625
0.7436637878417969,29,0,22,0.0,303.5018005371094,303.5018005371094,STANDARD,23,29,2018-01-01,R_A2,1681.2640380859375
1.0,30,0,22,0.0,303.9624938964844,303.9624938964844,STANDARD,24,29,2018-01-01,R_A2,1683.0491943359375
0.6481541991233826,1,0,28,0.0,298.8283386230469,298.8283386230469,STANDARD,1,41,2018-01-01,R_A3,1611.5738525390625
0.19553722441196442,2,0,28,0.0,298.9601135253906,298.9601135253906,STANDARD,2,41,2018-01-01,R_A3,1613.5399169921875
0.19597376883029938,3,0,28,0.0,299.0918884277344,299.0918884277344,STANDARD,3,41,2018-01-01,R_A3,1615.5059814453125
0.19882237911224365,4,0,28,0.0,299.22369384765625,299.22369384765625,STANDARD,4,41,2018-01-01,R_A3,1617.47216796875
0.7988553643226624,5,0,28,0.0,299.35546875,299.35546875,STANDARD,5,41,2018-01-01,R_A3,1619.438232421875
0.7996575236320496,5,0,29,0.0,298.5638732910156,298.5638732910156,STANDARD,6,41,2018-01-01,R_A3,1607.6273193359375
0.6481541991233826,6,0,29,0.0,298.705810546875,298.705810546875,STANDARD,7,41,2018-01-01,R_A3,1609.74560546875
0.19465768337249756,7,0,29,0.0,298.8478088378906,298.8478088378906,STANDARD,8,41,2018-01-01,R_A3,1611.864013671875
0.19663919508457184,8,0,29,0.0,298.9897766113281,298.9897766113281,STANDARD,9,41,2018-01-01,R_A3,1613.9822998046875
0.6481541991233826,9,0,29,0.0,299.1317443847656,299.1317443847656,STANDARD,10,41,2018-01-01,R_A3,1616.1005859375
0.2736118733882904,10,0,29,0.0,299.27374267578125,299.27374267578125,STANDARD,11,41,2018-01-01,R_A3,1618.2188720703125
0.04844972863793373,11,0,29,0.0,299.4212646484375,299.4212646484375,STANDARD,12,41,2018-01-01,R_A3,1620.419921875
0.05464772507548332,12,0,29,0.0,299.5743408203125,299.5743408203125,STANDARD,13,41,2018-01-01,R_A3,1622.7034912109375
0.37312203645706177,13,0,29,0.0,299.7274169921875,299.7274169921875,STANDARD,14,41,2018-01-01,R_A3,1624.987060546875
0.601466715335846,15,0,29,0.0,300.0335998535156,300.0335998535156,STANDARD,15,41,2018-01-01,R_A3,1629.55419921875
0.8009676933288574,16,0,29,0.0,300.145263671875,300.145263671875,STANDARD,16,41,2018-01-01,R_A3,1631.2197265625
1.0,26,0,29,0.0,300.2967224121094,300.2967224121094,STANDARD,17,41,2018-01-01,R_A3,1633.4788818359375
0.041568856686353683,27,0,29,0.0,300.5294189453125,300.5294189453125,STANDARD,18,41,2018-01-01,R_A3,1636.949462890625
0.1675940752029419,28,0,29,0.0,300.76214599609375,300.76214599609375,STANDARD,19,41,2018-01-01,R_A3,1640.4200439453125
1.0,29,0,29,0.0,300.9948425292969,300.9948425292969,STANDARD,20,41,2018-01-01,R_A3,1643.8905029296875
0.2017524689435959,30,0,29,0.0,301.22760009765625,301.22760009765625,STANDARD,21,41,2018-01-01,R_A3,1647.361083984375
0.048435650765895844,1,0,30,0.0,300.0114440917969,300.0114440917969,STANDARD,1,52,2018-01-01,R_A4,1629.2235107421875
0.047490816563367844,1,0,31,0.0,299.85076904296875,299.85076904296875,STANDARD,2,52,2018-01-01,R_A4,1626.8270263671875
0.048421911895275116,2,0,31,0.0,299.9966735839844,299.9966735839844,STANDARD,3,52,2018-01-01,R_A4,1629.00341796875
0.05148104950785637,3,0,31,0.0,300.142578125,300.142578125,STANDARD,4,52,2018-01-01,R_A4,1631.1798095703125
0.053240980952978134,4,0,31,0.0,300.28851318359375,300.28851318359375,STANDARD,5,52,2018-01-01,R_A4,1633.356201171875
0.05453197658061981,4,0,32,0.0,300.34735107421875,300.34735107421875,STANDARD,6,52,2018-01-01,R_A4,1634.2337646484375
0.27247461676597595,5,0,32,0.0,300.48040771484375,300.48040771484375,STANDARD,7,52,2018-01-01,R_A4,1636.2186279296875
0.2860196828842163,5,0,32,0.0,300.35888671875,300.35888671875,STANDARD,8,51,2018-01-01,R_A4,1634.40576171875
0.05415473133325577,4,0,32,0.0,300.22796630859375,300.22796630859375,STANDARD,9,51,2018-01-01,R_A4,1632.4532470703125
0.27955713868141174,5,0,33,0.0,300.6373291015625,300.6373291015625,STANDARD,10,51,2018-01-01,R_A4,1638.5589599609375
0.05487721413373947,4,0,33,0.0,300.50592041015625,300.50592041015625,STANDARD,11,51,2018-01-01,R_A4,1636.59912109375
0.2740674912929535,5,0,33,0.0,300.6778259277344,300.6778259277344,STANDARD,12,50,2018-01-01,R_A4,1639.162841796875
0.056785233318805695,4,0,33,0.0,300.54949951171875,300.54949951171875,STANDARD,13,50,2018-01-01,R_A4,1637.248779296875
0.060380224138498306,4,0,34,0.0,300.76287841796875,300.76287841796875,STANDARD,14,50,2018-01-01,R_A4,1640.431396484375
0.058433108031749725,3,0,34,0.0,300.6282043457031,300.6282043457031,STANDARD,15,50,2018-01-01,R_A4,1638.4224853515625
0.06258239597082138,3,0,35,0.0,300.9067077636719,300.9067077636719,STANDARD,16,50,2018-01-01,R_A4,1642.576171875
0.055443499237298965,2,0,35,0.0,300.77423095703125,300.77423095703125,STANDARD,17,50,2018-01-01,R_A4,1640.6004638671875
0.20385770499706268,2,0,35,0.0,300.73345947265625,300.73345947265625,STANDARD,18,49,2018-01-01,R_A4,1639.9923095703125
0.09298089891672134,30,0,36,0.0,301.19403076171875,301.19403076171875,STANDARD,19,49,2018-01-01,R_A4,1646.86083984375
0.05502304062247276,29,0,36,0.0,300.7837829589844,300.7837829589844,STANDARD,20,49,2018-01-01,R_A4,1640.742919921875
0.04795481264591217,29,0,36,0.0,300.37994384765625,300.37994384765625,STANDARD,21,48,2018-01-01,R_A4,1634.7200927734375
0.2749978005886078,30,0,36,0.0,300.7733154296875,300.7733154296875,STANDARD,22,48,2018-01-01,R_A4,1640.5869140625
0.8263835310935974,30,0,37,0.0,301.3457336425781,301.3457336425781,STANDARD,23,48,2018-01-01,R_A4,1649.123046875
0.6481541991233826,29,0,37,0.0,300.9642639160156,300.9642639160156,STANDARD,24,48,2018-01-01,R_A4,1643.4342041015625
1.0,29,0,38,0.0,301.46746826171875,301.46746826171875,STANDARD,25,48,2018-01-01,R_A4,1650.93798828125
1.0,29,0,38,0.0,301.7696838378906,301.7696838378906,STANDARD,26,47,2018-01-01,R_A4,1655.4442138671875
1.0,1,0,31,0.0,303.912109375,303.912109375,STANDARD,1,20,2018-01-01,R_A5,1685.7445068359375
1.0,2,0,31,0.0,304.1270446777344,304.1270446777344,STANDARD,2,20,2018-01-01,R_A5,1688.0125732421875
1.0,3,0,31,0.0,304.34197998046875,304.34197998046875,STANDARD,3,20,2018-01-01,R_A5,1690.280517578125
1.0,4,0,31,0.0,304.5569152832031,304.5569152832031,STANDARD,4,20,2018-01-01,R_A5,1692.548583984375
1.0,5,0,31,0.0,304.7718505859375,304.7718505859375,STANDARD,5,20,2018-01-01,R_A5,1694.816650390625
1.0,6,0,31,0.0,304.98675537109375,304.98675537109375,STANDARD,6,20,2018-01-01,R_A5,1697.0845947265625
1.0,7,0,31,0.0,305.50750732421875,305.50750732421875,STANDARD,7,20,2018-01-01,R_A5,1699.3526611328125
1.0,9,0,31,0.0,305.2449645996094,305.2449645996094,STANDARD,8,21,2018-01-01,R_A5,1696.5823974609375
1.0,10,0,31,0.0,305.48150634765625,305.48150634765625,STANDARD,9,21,2018-01-01,R_A5,1699.07861328125
1.0,11,0,31,0.0,305.38580322265625,305.38580322265625,STANDARD,10,21,2018-01-01,R_A5,1701.2939453125
1.0,12,0,31,0.0,305.56915283203125,305.56915283203125,STANDARD,11,21,2018-01-01,R_A5,1703.2286376953125
1.0,13,0,31,0.0,305.76446533203125,305.76446533203125,STANDARD,12,21,2018-01-01,R_A5,1705.163330078125
1.0,14,0,31,0.0,305.94781494140625,305.94781494140625,STANDARD,13,21,2018-01-01,R_A5,1707.0980224609375
1.0,15,0,31,0.0,306.13116455078125,306.13116455078125,STANDARD,14,21,2018-01-01,R_A5,1709.03271484375
1.0,16,0,31,0.0,306.45953369140625,306.45953369140625,STANDARD,15,21,2018-01-01,R_A5,1710.9674072265625
1.0,17,0,31,0.0,306.63232421875,306.63232421875,STANDARD,16,21,2018-01-01,R_A5,1712.7906494140625
1.0,18,0,31,0.0,306.76702880859375,306.76702880859375,STANDARD,17,21,2018-01-01,R_A5,1714.2120361328125
1.0,19,0,31,0.0,306.8360595703125,306.8360595703125,STANDARD,18,21,2018-01-01,R_A5,1714.9403076171875
1.0,26,0,31,0.0,306.79888916015625,306.79888916015625,STANDARD,19,21,2018-01-01,R_A5,1716.205810546875
1.0,27,0,31,0.0,307.0079040527344,307.0079040527344,STANDARD,20,21,2018-01-01,R_A5,1718.4110107421875
1.0,28,0,31,0.0,307.5226745605469,307.5226745605469,STANDARD,21,21,2018-01-01,R_A5,1720.6160888671875
1.0,29,0,31,0.0,307.7316589355469,307.7316589355469,STANDARD,22,21,2018-01-01,R_A5,1722.8212890625
1.0,30,0,31,0.0,307.940673828125,307.940673828125,STANDARD,23,21,2018-01-01,R_A5,1725.0264892578125
1.0,1,0,17,0.0,305.09307861328125,305.09307861328125,STANDARD,1,42,2018-01-01,R_A6,1694.9798583984375
1.0,2,0,17,0.0,305.2392578125,305.2392578125,STANDARD,2,42,2018-01-01,R_A6,1696.5223388671875
1.0,3,0,17,0.0,305.3854675292969,305.3854675292969,STANDARD,3,42,2018-01-01,R_A6,1698.06494140625
1.0,4,0,17,0.0,305.5316467285156,305.5316467285156,STANDARD,4,42,2018-01-01,R_A6,1699.6075439453125
1.0,5,0,17,0.0,305.6778259277344,305.6778259277344,STANDARD,5,42,2018-01-01,R_A6,1701.1500244140625
1.0,6,0,17,0.0,305.8240051269531,305.8240051269531,STANDARD,6,42,2018-01-01,R_A6,1702.6925048828125
