WELL,DATE,CONJPOS,WELLMODEL,CONIPOS,DRAWDOWN,SWAT,SGAS,CONIDX,PRESSURE,DEPTH,CONBPRES,CONKPOS
R_A2,2018-01-01,30,STANDARD,22,0,0.06087041646242142,0.0,1,300.5350341796875,1641.094970703125,300.5350341796875,1
R_A2,2018-01-01,30,STANDARD,22,0,0.064384825527668,0.0,2,300.65533447265625,1642.8890380859375,300.65533447265625,2
R_A2,2018-01-01,30,STANDARD,22,0,0.06765720248222351,0.0,3,300.775634765625,1644.68310546875,300.775634765625,3
R_A2,2018-01-01,30,STANDARD,22,0,0.07217657566070557,0.0,4,300.89593505859375,1646.4771728515625,300.89593505859375,4
R_A2,2018-01-01,30,STANDARD,22,0,0.07734150439500809,0.0,5,301.0162353515625,1648.2713623046875,301.0162353515625,5
R_A2,2018-01-01,30,STANDARD,22,0,0.24986989796161652,0.0,6,301.13653564453125,1650.0654296875,301.13653564453125,6
R_A2,2018-01-01,30,STANDARD,22,0,0.9217303395271301,0.0,7,301.2568664550781,1651.859619140625,301.2568664550781,7
R_A2,2018-01-01,30,STANDARD,22,0,0.8963820934295654,0.0,8,301.3771667480469,1653.6536865234375,301.3771667480469,8
R_A2,2018-01-01,30,STANDARD,22,0,0.9274095296859741,0.0,9,301.49749755859375,1655.44775390625,301.49749755859375,9
R_A2,2018-01-01,30,STANDARD,22,0,0.9413717985153198,0.0,10,301.6178283691406,1657.2418212890625,301.6178283691406,10
R_A2,2018-01-01,30,STANDARD,22,0,0.09073720127344131,0.0,11,301.74493408203125,1659.1368408203125,301.74493408203125,11
R_A2,2018-01-01,30,STANDARD,22,0,0.09625226259231567,0.0,12,301.8787841796875,1661.132568359375,301.8787841796875,12
R_A2,2018-01-01,30,STANDARD,22,0,0.516516923904419,0.0,13,302.01263427734375,1663.12841796875,302.01263427734375,13
R_A2,2018-01-01,30,STANDARD,22,0,0.5922906398773193,0.0,14,302.1465148925781,1665.1241455078125,302.1465148925781,14
R_A2,2018-01-01,30,STANDARD,22,0,0.7667883634567261,0.0,15,302.2803955078125,1667.1199951171875,302.2803955078125,15
R_A2,2018-01-01,30,STANDARD,22,0,1.0,0.0,16,302.4142761230469,1669.11572265625,302.4142761230469,16
R_A2,2018-01-01,30,STANDARD,22,0,0.9987766742706299,0.0,17,302.54815673828125,1671.111572265625,302.54815673828125,17
R_A2,2018-01-01,30,STANDARD,22,0,1.0,0.0,18,302.86041259765625,1672.9881591796875,302.86041259765625,18
R_A2,2018-01-01,29,STANDARD,22,0,1.0,0.0,19,302.97808837890625,1674.229736328125,302.97808837890625,18
R_A2,2018-01-01,29,STANDARD,22,0,1.0,0.0,20,303.0046081542969,1676.1676025390625,303.0046081542969,27
R_A2,2018-01-01,29,STANDARD,22,0,1.0,0.0,21,303.47802734375,1677.9368896484375,303.47802734375,28
R_A2,2018-01-01,29,STANDARD,22,0,1.0,0.0,22,303.64569091796875,1679.7061767578125,303.64569091796875,29
R_A2,2018-01-01,29,STANDARD,22,0,1.0,0.0,23,303.8133544921875,1681.4754638671875,303.8133544921875,30
R_A2,2018-01-01,29,STANDARD,22,0,1.0,0.0,24,303.98101806640625,1683.2447509765625,303.98101806640625,31
R_A3,2018-01-01,41,STANDARD,28,0,0.6481541991233826,0.0,1,298.39996337890625,1609.243408203125,298.39996337890625,1
R_A3,2018-01-01,41,STANDARD,28,0,0.20011429488658905,0.0,2,298.5382995605469,1611.3077392578125,298.5382995605469,2
R_A3,2018-01-01,41,STANDARD,28,0,0.19948048889636993,0.0,3,298.6766357421875,1613.3720703125,298.6766357421875,3
R_A3,2018-01-01,41,STANDARD,28,0,0.37577030062675476,0.0,4,298.81500244140625,1615.4365234375,298.81500244140625,4
R_A3,2018-01-01,41,STANDARD,28,0,0.8437516689300537,0.0,5,298.953369140625,1617.5008544921875,298.953369140625,5
R_A3,2018-01-01,41,STANDARD,28,0,0.6481541991233826,0.0,6,299.09173583984375,1619.565185546875,299.09173583984375,6
R_A3,2018-01-01,41,STANDARD,29,0,0.6481541991233826,0.0,7,298.408203125,1609.3663330078125,298.408203125,6
R_A3,2018-01-01,41,STANDARD,29,0,0.20331525802612305,0.0,8,298.5455627441406,1611.4163818359375,298.5455627441406,7
R_A3,2018-01-01,41,STANDARD,29,0,0.202699676156044,0.0,9,298.6829528808594,1613.46630859375,298.6829528808594,8
R_A3,2018-01-01,41,STANDARD,29,0,0.8094736337661743,0.0,10,298.8203430175781,1615.516357421875,298.8203430175781,9
R_A3,2018-01-01,41,STANDARD,29,0,0.80803382396698,0.0,11,298.9577331542969,1617.5662841796875,298.9577331542969,10
R_A3,2018-01-01,41,STANDARD,29,0,0.05264570564031601,0.0,12,299.1041564941406,1619.750732421875,299.1041564941406,11
R_A3,2018-01-01,41,STANDARD,29,0,0.056839220225811005,0.0,13,299.25958251953125,1622.0697021484375,299.25958251953125,12
R_A3,2018-01-01,41,STANDARD,29,0,0.38146835565567017,0.0,14,299.4150390625,1624.388671875,299.4150390625,13
R_A3,2018-01-01,41,STANDARD,29,0,0.4097127914428711,0.0,15,299.5704650878906,1626.707763671875,299.5704650878906,14
R_A3,2018-01-01,41,STANDARD,29,0,0.5069453716278076,0.0,16,299.7259216308594,1629.026611328125,299.7259216308594,15
R_A3,2018-01-01,41,STANDARD,29,0,0.8202647566795349,0.0,17,299.85467529296875,1630.9468994140625,299.85467529296875,16
R_A3,2018-01-01,41,STANDARD,29,0,1.0,0.0,18,300.027587890625,1633.5262451171875,300.027587890625,27
R_A3,2018-01-01,41,STANDARD,29,0,0.04641459509730339,0.0,19,300.27142333984375,1637.1630859375,300.27142333984375,28
R_A3,2018-01-01,41,STANDARD,29,0,0.05556720867753029,0.0,20,300.5152587890625,1640.8001708984375,300.5152587890625,29
R_A3,2018-01-01,41,STANDARD,29,0,1.0,0.0,21,300.7591247558594,1644.4371337890625,300.7591247558594,30
R_A3,2018-01-01,41,STANDARD,29,0,0.07010108977556229,0.0,22,301.0030212402344,1648.0740966796875,301.0030212402344,31
R_A4,2018-01-01,52,STANDARD,30,0,0.0530792698264122,0.0,1,299.87078857421875,1631.1873779296875,299.87078857421875,1
R_A4,2018-01-01,52,STANDARD,31,0,0.0863252505660057,0.0,2,299.6188659667969,1627.4293212890625,299.6188659667969,1
R_A4,2018-01-01,52,STANDARD,31,0,0.05527925863862038,0.0,3,299.7569580078125,1629.4896240234375,299.7569580078125,2
R_A4,2018-01-01,52,STANDARD,31,0,0.056597910821437836,0.0,4,299.89508056640625,1631.5498046875,299.89508056640625,3
R_A4,2018-01-01,52,STANDARD,31,0,0.05976790189743042,0.0,5,300.033203125,1633.610107421875,300.033203125,4
R_A4,2018-01-01,52,STANDARD,32,0,0.05985567346215248,0.0,6,299.9518737792969,1632.3968505859375,299.9518737792969,4
R_A4,2018-01-01,51,STANDARD,32,0,0.06407105177640915,0.0,7,300.1854248046875,1635.880615234375,300.1854248046875,4
R_A4,2018-01-01,51,STANDARD,33,0,0.06615302711725235,0.0,8,300.2820129394531,1637.321044921875,300.2820129394531,4
R_A4,2018-01-01,51,STANDARD,33,0,0.06223762780427933,0.0,9,300.158203125,1635.474609375,300.158203125,3
R_A4,2018-01-01,50,STANDARD,33,0,0.06774555891752243,0.0,10,300.6056823730469,1642.1485595703125,300.6056823730469,4
R_A4,2018-01-01,50,STANDARD,34,0,0.06697793304920197,0.0,11,300.5375061035156,1641.132080078125,300.5375061035156,4
R_A4,2018-01-01,50,STANDARD,34,0,0.12440425157546997,0.0,12,300.408447265625,1639.20703125,300.408447265625,3
R_A4,2018-01-01,50,STANDARD,35,0,0.10612303018569946,0.0,13,300.5223693847656,1640.9061279296875,300.5223693847656,3
R_A4,2018-01-01,50,STANDARD,35,0,0.19065454602241516,0.0,14,300.3974304199219,1639.0426025390625,300.3974304199219,2
R_A4,2018-01-01,49,STANDARD,35,0,0.25080370903015137,0.0,15,300.5911560058594,1641.93212890625,300.5911560058594,2
R_A4,2018-01-01,49,STANDARD,36,0,0.062492094933986664,0.0,16,300.61968994140625,1642.357421875,300.61968994140625,30
R_A4,2018-01-01,48,STANDARD,36,0,0.6481541991233826,0.0,17,300.43524169921875,1639.6068115234375,300.43524169921875,30
R_A4,2018-01-01,48,STANDARD,37,0,0.06497295200824738,0.0,18,300.914306640625,1646.7513427734375,300.914306640625,30
R_A4,2018-01-01,48,STANDARD,38,0,0.1155976802110672,0.0,19,301.36431884765625,1653.461669921875,301.36431884765625,30
R_A4,2018-01-01,47,STANDARD,38,0,0.08400550484657288,0.0,20,301.656494140625,1657.8184814453125,301.656494140625,30
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,1,303.8440856933594,1685.026611328125,303.8440856933594,1
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,2,304.0601806640625,1687.3070068359375,304.0601806640625,2
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,3,304.27630615234375,1689.5875244140625,304.27630615234375,3
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,4,304.4924011230469,1691.8680419921875,304.4924011230469,4
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,5,304.7085266113281,1694.1485595703125,304.7085266113281,5
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,6,304.9246520996094,1696.4290771484375,304.9246520996094,6
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,7,305.446533203125,1698.70947265625,305.446533203125,7
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,8,305.988037109375,1707.6488037109375,305.988037109375,11
R_A5,2018-01-01,20,STANDARD,31,0,1.0,0.0,9,306.1695251464844,1709.5638427734375,306.1695251464844,12
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,10,305.4322814941406,1701.7845458984375,305.4322814941406,12
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,11,305.6291198730469,1703.735107421875,305.6291198730469,13
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,12,305.81396484375,1705.6856689453125,305.81396484375,14
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,13,305.9988098144531,1707.63623046875,305.9988098144531,15
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,14,306.3287048339844,1709.5867919921875,306.3287048339844,16
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,15,306.5135498046875,1711.537353515625,306.5135498046875,17
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,16,306.6856994628906,1713.35400390625,306.6856994628906,18
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,17,306.7843933105469,1714.3951416015625,306.7843933105469,19
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,18,306.75689697265625,1715.7628173828125,306.75689697265625,27
R_A5,2018-01-01,21,STANDARD,31,0,1.0,0.0,19,306.978271484375,1718.098388671875,306.978271484375,28
