Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 15:43:16
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       269138773.58         40067923.49         29145686.63         18330620.21
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  269138773.58         40067923.49         29145686.63         18330620.21
MidReek    1                       199867702.60         38397116.59         30675947.69         19293048.54
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  199867702.60         38397116.59         30675947.69         19293048.54
LowerReek  1                       128095055.27         24033171.77         19177390.46         12061251.66
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  128095055.27         24033171.77         19177390.46         12061251.66
Totals     1                       597101531.45        102498211.86         78999024.78         49684920.41
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  597101531.45        102498211.86         78999024.78         49684920.41
