DATE,GROUPNAME,GGIR,GGIRH,GGLIR,GGLR,GGOR,GGORH,GGPP,GGPR,GGPRF,GGPRH,GGPRS,GGPT,GGPTF,GGPTH,GGPTS,GLPR,GLPT,GMCTP,GMWPR,GOPP,GOPR,GOPRF,GOPRH,GOPRS,GOPT,GOPTF,GOPTH,GOPTS,GVIR,GVPR,GVPT,GWCT,GWCTH,GWGR,GWIR,GWIRH,GWPP,GWPR,GWPRH,GWPT,GWPTH
2000-07-01,OP,0.0,0.0,0.0,174.6078643798828,184.0,184.03436279296875,59512788.0,1554204.0,0.0,1509394.625,1554204.0,272228736.0,0.0,267051488.0,272228736.0,8901.111328125,1511443.375,0.0,,323439.0625,8446.7607421875,8446.7607421875,8201.7001953125,0.0,1479504.0,1479504.0,1451100.0,0.0,0.0,14047.5341796875,2403393.5,0.05104421079158783,0.09240099042654037,0.000292336248094216,0.0,0.0,20579.91015625,454.3501892089844,835.0,31939.44140625,75951.0
2000-07-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10150.4912109375,0.0,0.0,0.0,0.0,0.0,9833.0,9833.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,OP,0.0,0.0,0.0,171.36749267578125,184.0,184.04969787597656,58263228.0,1441096.75,0.0,1398302.75,1441096.75,317100352.0,0.0,310398880.0,317100384.0,8409.39453125,1771537.375,0.0,,316647.96875,7832.0478515625,7832.0478515625,7597.41943359375,0.0,1723371.5,1723371.5,1686620.0,0.0,0.0,13191.07421875,2812250.25,0.06865496933460236,0.11026152968406677,0.00040063008782453835,0.0,0.0,24784.59375,577.3467407226562,941.51611328125,48165.84765625,105138.0
2000-08-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10323.482421875,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,OP,0.0,0.0,0.0,168.79368591308594,184.0,184.0510711669922,57351972.0,1367148.875,0.0,1325874.25,1367148.875,359638016.0,0.0,351500960.0,359638016.0,8099.52587890625,2022151.0,0.0,,311695.5,7430.15673828125,7430.15673828125,7203.8388671875,0.0,1954554.375,1954554.375,1909939.0,0.0,0.0,12643.8935546875,3204153.75,0.08264300972223282,0.1241052895784378,0.0004896096070297062,0.0,0.0,28141.697265625,669.3692016601562,1020.7100219726562,67596.609375,136780.015625
2000-09-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324.029296875,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2000-10-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,OP,0.0,0.0,0.0,166.90756225585938,184.0,184.041748046875,56707236.0,1312150.875,0.0,1270949.375,1312150.875,399113984.0,0.0,389629472.0,399114016.0,7861.5419921875,2257660.25,0.0,,308191.5,7131.2548828125,7131.2548828125,6905.7666015625,0.0,2169097.75,2169097.75,2117112.0,0.0,0.0,12229.32421875,3570988.0,0.09289366006851196,0.13531999289989471,0.0005565574974752963,0.0,0.0,30686.921875,730.2874145507812,1080.7330322265625,88562.421875,169202.0
2000-10-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324.4951171875,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2000-11-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,OP,0.0,0.0,0.0,165.41734313964844,184.0,184.04452514648438,56206612.0,1268826.375,0.0,1227013.0,1268826.375,438539616.0,0.0,427666848.0,438539648.0,7670.45556640625,2495166.0,0.0,,305470.71875,6895.79541015625,6895.79541015625,6666.935546875,0.0,2383367.5,2383367.5,2323787.0,0.0,0.0,11899.005859375,3939818.75,0.10099273920059204,0.14497117698192596,0.0006105329375714064,0.0,0.0,32792.09375,774.6603393554688,1130.386962890625,111798.421875,204244.0
2000-11-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10324.888671875,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2000-12-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,OP,0.0,0.0,0.0,164.25839233398438,184.0,184.03515625,55823800.0,1235178.625,0.0,1191768.75,1235178.625,475663264.0,0.0,463419936.0,475663264.0,7519.72998046875,2720551.25,0.0,,303390.21875,6712.927734375,6712.927734375,6475.7666015625,0.0,2585126.5,2585126.5,2518060.0,0.0,0.0,11640.1474609375,4288992.5,0.10729137808084488,0.15365681052207947,0.0006531865801662207,0.0,0.0,34464.50390625,806.8021240234375,1175.699951171875,135424.828125,239515.0
2000-12-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10325.2236328125,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,OP,0.0,0.0,0.0,163.26695251464844,184.0,184.0476837158203,55498444.0,1208346.5,0.0,1163525.625,1208346.5,513181888.0,0.0,499489216.0,513181888.0,7401.04736328125,2949802.5,0.0,,301621.96875,6567.1005859375,6567.1005859375,6321.87109375,0.0,2789032.0,2789032.0,2714038.0,0.0,0.0,11435.3203125,4643461.0,0.11267957091331482,0.16123975813388824,0.0006901553715579212,0.0,0.0,35910.6953125,833.9468383789062,1215.2900390625,160770.46875,277189.0
2001-01-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10325.509765625,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2001-02-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,OP,0.0,0.0,0.0,170.32797241210938,184.0,184.05398559570312,104623808.0,1916383.5,0.0,1873729.0,1916383.5,572669184.0,0.0,557574848.0,572669248.0,11251.1376953125,3298350.25,0.0,,568607.6875,10415.1279296875,10415.1279296875,10180.322265625,0.0,3112332.5,3112332.5,3029628.0,0.0,0.0,17651.85546875,5190404.5,0.07430446147918701,0.10548069328069687,0.00043624345562420785,0.0,0.0,37484.28515625,836.009765625,1200.4520263671875,186017.765625,314403.0
2001-02-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10327.24609375,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,OP,0.0,0.0,0.0,167.18482971191406,184.0,184.0896453857422,103555768.0,1435529.375,0.0,1401034.0,1435529.375,612937856.0,0.0,596803776.0,612937920.0,8586.4814453125,3538547.25,0.0,,562803.0625,7801.7900390625,7801.7900390625,7610.60693359375,0.0,3331184.0,3331184.0,3242725.0,0.0,0.0,13389.962890625,5565286.5,0.09138680249452591,0.12431532144546509,0.0005466213915497065,0.0,0.0,40259.921875,784.6911010742188,1080.428955078125,207363.25,344655.0
2001-03-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10327.7021484375,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
