DEPTH,DATE,WELLMODEL,CONJPOS,SWAT,DRAWDOWN,CONIPOS,WELL,SGAS,CONIDX,PRESSURE,CONBPRES,CONKPOS
1640.180419921875,2018-01-01,STANDARD,30,0.05227845907211304,0,22,R_A2,0.0,1,300.7305908203125,300.7305908203125,1
1641.9229736328125,2018-01-01,STANDARD,30,0.05500146374106407,0,22,R_A2,0.0,2,300.8474426269531,300.8474426269531,2
1643.6656494140625,2018-01-01,STANDARD,30,0.057756341993808746,0,22,R_A2,0.0,3,300.96429443359375,300.96429443359375,3
1645.408203125,2018-01-01,STANDARD,30,0.06361808627843857,0,22,R_A2,0.0,4,301.0811462402344,301.0811462402344,4
1647.1507568359375,2018-01-01,STANDARD,30,0.06599131971597672,0,22,R_A2,0.0,5,301.197998046875,301.197998046875,5
1648.8934326171875,2018-01-01,STANDARD,30,0.30866798758506775,0,22,R_A2,0.0,6,301.3148498535156,301.3148498535156,6
1650.635986328125,2018-01-01,STANDARD,30,0.8731963038444519,0,22,R_A2,0.0,7,301.4317321777344,301.4317321777344,7
1652.3785400390625,2018-01-01,STANDARD,30,0.6481541991233826,0,22,R_A2,0.0,8,301.548583984375,301.548583984375,8
1654.12109375,2018-01-01,STANDARD,30,0.6481541991233826,0,22,R_A2,0.0,9,301.66546630859375,301.66546630859375,9
1655.86376953125,2018-01-01,STANDARD,30,0.8820481896400452,0,22,R_A2,0.0,10,301.7823486328125,301.7823486328125,10
1657.7467041015625,2018-01-01,STANDARD,30,0.06750084459781647,0,22,R_A2,0.0,11,301.90863037109375,301.90863037109375,11
1659.77001953125,2018-01-01,STANDARD,30,0.07117965072393417,0,22,R_A2,0.0,12,302.0443420410156,302.0443420410156,12
1661.793212890625,2018-01-01,STANDARD,30,0.42561423778533936,0,22,R_A2,0.0,13,302.1800537109375,302.1800537109375,13
1663.8165283203125,2018-01-01,STANDARD,30,0.47172486782073975,0,22,R_A2,0.0,14,302.3157653808594,302.3157653808594,14
1665.8397216796875,2018-01-01,STANDARD,30,0.9044966697692871,0,22,R_A2,0.0,15,302.4515075683594,302.4515075683594,15
1667.863037109375,2018-01-01,STANDARD,30,0.9196675419807434,0,22,R_A2,0.0,16,302.58721923828125,302.58721923828125,16
1672.7506103515625,2018-01-01,STANDARD,29,0.947130024433136,0,22,R_A2,0.0,17,302.9151306152344,302.9151306152344,16
1674.8839111328125,2018-01-01,STANDARD,29,0.9449200630187988,0,22,R_A2,0.0,18,303.0582275390625,303.0582275390625,17
1676.6976318359375,2018-01-01,STANDARD,29,0.9953857064247131,0,22,R_A2,0.0,19,303.179931640625,303.179931640625,18
1678.3148193359375,2018-01-01,STANDARD,29,0.6481541991233826,0,22,R_A2,0.0,20,303.2884216308594,303.2884216308594,25
1680.0550537109375,2018-01-01,STANDARD,29,0.6481541991233826,0,22,R_A2,0.0,21,303.40521240234375,303.40521240234375,26
1681.7952880859375,2018-01-01,STANDARD,29,1.0,0,22,R_A2,0.0,22,303.8436584472656,303.8436584472656,27
1683.5355224609375,2018-01-01,STANDARD,29,1.0,0,22,R_A2,0.0,23,304.0085754394531,304.0085754394531,28
1685.2757568359375,2018-01-01,STANDARD,29,1.0,0,22,R_A2,0.0,24,304.1734924316406,304.1734924316406,29
1609.052734375,2018-01-01,STANDARD,41,0.6481541991233826,0,28,R_A3,0.0,1,298.6439208984375,298.6439208984375,1
1611.0535888671875,2018-01-01,STANDARD,41,0.1920423060655594,0,28,R_A3,0.0,2,298.77801513671875,298.77801513671875,2
